,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
Gse1,0.88511634,-1.6660855,0.018007886,0.23522387,0.057899315,0.0984805,0.20324884,-1.9195764,0.011535818,0.5010087,-0.6912209
Irf8,-1.8025057,2.322993,-0.67005175,-0.46824074,-0.35760826,0.51035225,-0.822499,1.692416,-1.354408,-0.5046339,-0.41288581
Cox4i1,0.008778688,1.0963293,0.3269325,-0.96666056,-1.5686994,0.033125836,-0.36440644,1.189494,-0.6703056,-0.19449529,-0.9458616
Map1lc3b,0.88976806,-0.63417655,-0.8724879,-0.17374755,-0.5857229,0.055390865,-0.53978753,-0.4767618,0.49341616,-0.5963571,0.055623427
Cyba,-0.8820087,2.615721,-0.047654122,-1.001437,-1.2529986,-0.6066823,-1.5793295,2.1471329,-1.1135879,-1.0695503,-0.56121266
Rnf166,0.71173286,-1.8546373,-0.7693193,0.5095339,0.07946319,0.38634354,0.38353777,-1.2160838,0.43506122,-0.5988914,-0.24561259
Cbfa2t3,0.017679771,-1.1462209,-0.3465052,0.45491558,0.22776489,0.19248968,0.043069754,-1.2049085,0.0044959732,0.23496446,0.43104154
Ankrd11,0.22764683,-1.3975465,0.3164599,0.5512411,0.5036061,-0.29802915,0.32642403,-1.4796221,-0.6446351,0.57748884,0.53166986
Tcf25,0.13457046,0.69231284,-0.40697938,0.17361237,-0.2517563,-0.38630387,-0.41179958,0.101089984,-0.059815265,-0.5644827,-0.24410634
Ttc13,0.040179286,-0.72782445,0.28366846,0.54826695,0.1528657,-0.16086757,-0.12715127,-0.39979738,-0.1509458,0.53940547,0.57733595
Egln1,-0.071802035,-0.3716682,-0.17989837,0.17974484,0.24597472,0.17897719,-0.453035,-0.18494192,-0.010592489,-0.0028201034,-0.21792814
Tsnax,0.5675099,-0.3968423,-0.6045435,-1.0380316,0.14261216,0.068752006,-0.6638695,-0.094146505,0.006404088,-0.09935664,0.42175776
Irf2bp2,-0.2928185,1.2580535,-0.060827453,-0.5193962,-0.8126498,-0.14660624,-0.70483387,0.5260842,-0.103805386,-0.35280842,-0.05860386
Itgb1,-0.053135775,0.3609743,0.017898234,-0.35004777,-0.81331795,-0.0087460615,-0.061912354,0.18629971,-0.03413354,-0.0056600515,-0.5733752
Gm26870,-3.5772195,-4.080382,-1.2937313,-1.500979,2.155973,1.5982693,-0.4906904,-2.1213272,-2.9459853,-0.65924656,1.2205715
Dcun1d5,0.57076645,-0.75121164,-0.41959757,-0.3072983,0.13204119,0.007053361,-0.3059402,-0.36658043,0.058408532,-0.07496924,0.5977426
Tmem123,-0.86561346,2.317121,-0.13251293,-0.29226372,-1.2690856,-0.5270172,-0.84959,1.6110977,-0.9094653,-0.78965604,-0.6544919
Birc2,-1.2290157,2.1129441,0.47142375,-0.42518088,-0.46375656,-0.93963885,-0.31465948,1.3597481,-1.1184511,-0.8210981,0.037961747
Ccdc82,0.24502142,-1.5199327,0.3543095,0.7260075,-0.59676933,-0.27844,-0.23967423,-0.294147,0.0024124999,0.072723046,-0.38391003
Sesn3,-1.6236213,1.9085848,0.043965403,-0.40182182,-0.0068485304,0.016965173,-0.1847437,1.3744006,-0.5284006,-0.88309693,-0.49389005
Amotl1,-1.1970462,1.6986601,-0.5955547,-1.356,0.3218882,0.66822195,-1.0275986,0.90617514,-0.7217932,-0.7953882,0.2933015
Cwc15,0.49617866,0.024832234,0.08391295,-0.040032417,-1.2789171,-0.9043359,-0.3763164,-0.04737283,-0.048500065,0.3331157,-0.7011648
Maml2,-0.794528,0.352604,0.2432777,0.41356462,0.3397846,-0.16548632,0.3597982,0.23402004,-0.37923908,0.1991841,-0.3623628
Panx1,-1.7050282,2.3312883,0.42513084,-0.77570665,-0.025419101,-1.2412794,-0.3611553,1.6422662,-1.6165752,-0.33521572,-1.0207283
Taf1d,0.28328934,-0.6143783,-1.0526499,0.7090801,-0.42897072,0.58039373,0.46951824,-0.72158396,0.12316337,-0.5924274,-0.21978849
Chordc1,0.43664294,-0.115465865,-0.13645332,-0.8186836,-0.58324254,-0.19707635,-0.02648816,-0.2680046,0.016708808,-0.11444838,-0.63249594
Zfp26,0.17132,-0.9518359,0.05041959,0.20528895,0.27015787,-0.5042266,0.2277603,-0.2659619,-0.045346312,0.59720325,0.13693956
Pin1,1.4978411,-1.9066719,-1.090313,-0.57850707,0.24806184,0.49317595,-0.93822503,-1.1660191,1.1303033,-0.3820158,-0.5146983
Fbxl12,1.5048809,-4.1938314,-0.6305248,0.44435695,0.4012454,0.5526028,0.6895333,-3.2516878,1.1754948,0.30626392,0.73056275
Eif3g,0.4935275,-0.6038063,-0.6607714,-0.3571086,0.06886409,0.090767495,-0.6059539,-0.6407522,0.31119165,-0.2649682,0.6146691
Icam1,-3.4128366,3.5332289,-0.6740648,-0.91595095,-1.5372864,0.6167975,-1.2175044,2.5390055,-2.1091592,-0.97309476,-0.93191457
Dnmt1,0.73298985,-1.5849745,-0.5067132,0.31538853,-0.6790061,0.06337024,-0.18345498,-1.1854564,0.60253227,-0.9327807,0.5823477
Keap1,-1.985541,1.0970169,0.45452634,-0.4601667,0.12126288,0.7302793,-0.5174138,0.6407024,-1.1702685,0.39066106,-0.31219873
