,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,Protein private topic 1,Protein private topic 6,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
56_16,5.934224,2.5816407,1.1034526,1.1379331,2.4025102,12.529252,0.7369256,2.244857,1.3765992,2.9615846,26.734617,0.99378633,2.4905903
97_41,13.625354,2.8894958,2.2036254,1.0770953,1.2106628,1.0886619,0.5925192,2.6018631,1.491578,3.070234,14.787409,1.1222423,1.0621907
83_36,30.19824,2.1661098,0.67384446,1.1310275,1.0020988,1.5010622,0.27152795,2.4483223,1.0850391,2.511093,27.439205,1.037677,1.0110562
86_51,7.3550925,2.6409516,0.92895913,1.3026459,1.6394669,3.3729832,0.22263463,1.2590971,1.6454576,1.5381943,13.534068,0.7651265,2.2777474
39_38,9.93691,2.8835251,2.307911,1.6243312,1.0075963,0.5915444,0.4551593,1.9065297,4.127871,2.1748967,20.62412,3.1076317,1.5505782
24_56,13.228661,2.0452132,0.88779515,1.2559906,1.2959881,0.9562225,0.16528504,2.5263703,4.4147425,2.815744,9.878783,2.5539973,1.3179791
99_58,15.80442,1.8560102,0.77155805,2.9522061,2.2342284,1.4715817,0.1618995,1.5020032,1.3643973,1.8797854,18.610771,0.85291606,1.2966701
48_40,1.6481345,46.35094,3.39579,0.71081424,0.7551842,0.6424196,2.8787088,0.95046175,0.83869773,12.622122,2.2273467,1.1263026,0.50574785
85_18,1.5755227,67.06115,1.5991085,0.5998689,0.6508423,0.54222953,2.9562368,0.92792964,0.4919037,13.088951,1.9103764,0.74864566,0.3824236
82_52,35.77205,2.294774,1.6444271,2.0273798,2.187831,0.748514,0.19779499,1.7072812,1.2471524,2.826562,25.147638,0.78687245,1.1882617
75_37,1.5459609,83.494606,3.281467,0.5916796,0.66336495,0.54745317,3.2510734,0.8868017,0.7687622,20.142994,2.1973524,1.132097,0.4623103
65_29,6.5848513,3.9095683,4.9688926,1.0154631,1.0737149,1.1377821,2.7282112,1.6019533,1.8133483,4.395537,9.927635,3.0740952,0.84586835
64_23,3.9273055,3.822182,11.380648,1.1225244,1.1487715,0.6896102,1.1480402,1.6715939,1.9020315,4.9000373,4.6549196,33.401306,1.2802342
93_46,3.0484495,5.024236,0.9612416,0.64235735,0.6828644,24.915674,4.425057,2.8854492,0.97753847,4.6531596,27.805187,0.7664535,1.0109227
64_18,7.305197,2.812974,1.9996549,1.0387648,1.0645168,1.3060694,0.7761351,3.6347861,1.3976724,2.510557,72.64168,2.2334688,1.0022165
10_46,2.6390817,4.422259,35.487755,0.9231992,0.8770253,1.7868547,1.6522079,1.9331839,1.6338577,8.103231,3.5034268,5.510456,0.5621799
85_7,18.392595,2.2279317,0.7923971,2.8877487,1.407017,0.93233854,0.20302309,0.6036313,2.032426,2.1298304,8.5241585,0.9032833,2.7970915
33_25,5.9318075,2.7917635,0.91020155,1.2426605,40.135483,3.3178403,0.41353002,5.2212768,2.538133,2.1754975,5.321836,1.4778188,3.1458025
32_39,9.4662,3.1690984,15.808615,1.1779381,2.4765718,0.8510362,0.6020612,1.9237846,29.156916,2.1489499,4.1254725,9.738376,1.7442005
88_45,25.968493,2.283832,1.258173,1.6431031,1.1403781,0.4573092,0.17696129,2.0274246,1.7783986,2.1198807,37.314,1.2944779,1.0637732
78_4,5.318762,1.9014895,0.8659743,18.62091,1.3952733,0.7053764,0.1037021,1.3795741,1.7142954,1.7789137,8.771496,0.77049196,2.5539985
21_44,10.933675,2.6007433,3.0297732,1.6078459,2.1789742,0.85579044,0.27552176,2.0726411,7.530033,1.5234586,7.796732,2.1906238,5.238885
57_29,1.665204,47.7919,3.9921217,0.6383008,0.7761068,0.6296057,3.8401911,0.7734516,0.69859946,33.988377,2.2301905,1.8570967,0.55455405
84_10,45.968266,2.0307398,0.85487485,1.3523743,1.6465476,1.0694209,0.12147141,1.62594,2.141311,1.7589681,13.300982,1.1789669,2.4688995
92_33,2.5493343,6.312458,3.818724,0.71310806,0.85134345,1.3191983,2.615652,0.87465024,0.4949712,25.961674,4.0751824,1.7383885,0.5857786
68_49,2.4606137,2.9716935,1.094581,1.4614236,23.3441,3.2507322,0.74546945,13.667382,1.0715647,2.6722631,3.8063407,1.405389,2.7145255
83_7,41.92599,1.9613152,0.91514397,1.535214,1.8840425,1.1031015,0.11345458,1.3435861,1.5257702,1.8744128,14.1761265,0.93681145,3.4352653
105_49,14.212107,2.2731233,0.80268157,1.2370284,1.3463452,1.5577989,0.2945093,1.4089867,2.3337889,2.407354,16.05056,0.89081544,2.0625978
103_28,12.445597,2.4418736,0.99959767,1.0254769,1.3235683,1.021569,0.22011913,1.620957,1.255328,2.7612488,17.483784,0.790465,1.1909989
97_20,2.6039293,5.209134,10.672253,0.8555769,0.943606,1.641203,1.2151217,1.4114958,1.2843362,6.5995674,2.9166608,1.6510942,0.8858215
72_32,1.5382189,37.00841,1.0543067,0.58252996,0.6309957,0.617857,2.8361778,0.80118173,0.5542604,21.956875,2.02675,0.89062905,0.47611076
40_26,34.759785,2.7675543,1.5980783,1.1514709,0.99739754,1.9112644,0.4938804,2.095798,3.5841756,3.0371103,13.606443,4.625769,1.4470984
91_48,30.885698,2.4272912,0.9072189,1.0694815,1.0752814,0.877275,0.19377755,1.827148,1.195441,2.0203986,21.555609,1.342239,0.8743144
91_50,13.570328,2.5432014,0.8631732,1.2555988,0.9812555,0.8381361,0.18933126,1.5887281,2.2372065,2.4159956,27.327768,1.5619549,1.919351
78_47,6.0042276,3.563063,1.9227996,0.8929659,1.1991297,4.153349,3.5222633,2.695082,0.9970377,4.320813,30.195896,0.93760735,0.8115149
39_40,6.303314,5.5357676,5.1721363,0.91637605,0.80111855,2.1529684,0.59915733,1.9629076,0.79553384,10.063605,14.95896,1.428836,0.8925667
59_44,6.7844353,1.7027534,0.8053375,8.2761135,1.4422803,0.7460719,0.09591274,1.4125988,2.2577145,2.5015848,9.183784,1.6175531,2.992928
80_55,3.6467924,2.9557874,2.6733594,1.3942924,4.416823,18.921024,3.0008807,3.85555,1.1764859,4.288007,3.6990333,0.6069863,4.117135
79_26,11.23687,2.824239,3.623303,1.350575,1.3560405,0.79688495,0.32940415,1.4139187,3.6839387,2.0427117,12.388823,2.2531242,1.781062
34_33,5.002542,3.2997618,12.7793865,1.6231614,1.1418533,0.70856595,0.76360244,0.96059483,1.881929,5.382312,8.803581,3.1668522,0.7003164
31_47,1.8778269,15.563099,5.761405,0.6770811,0.79768205,0.5376727,1.4009974,0.7947219,1.207982,30.103968,1.9461294,1.6569707,0.7219332
77_5,17.766151,1.9649398,0.82540214,2.50047,1.6660283,1.3709569,0.16730796,1.5643125,1.7524472,1.3538522,16.283932,0.7761956,2.6795156
67_22,1.443335,52.40558,2.4351978,0.5823941,0.62293845,1.0097995,4.139249,0.94393706,0.6654909,14.147925,2.428131,1.4686383,0.41945654
122_57,4.728659,1.70267,0.914512,11.559997,1.6864076,1.3114153,0.23388253,2.1427875,2.5395863,1.1067472,12.157431,0.4838861,3.5724525
92_20,5.8252296,3.6854773,6.876938,0.89965844,0.97089034,1.8216307,1.8934476,2.5480628,1.4674602,3.92844,20.883018,4.5653,0.68628544
26_58,22.038742,1.8783858,0.83164465,3.7870607,2.2200472,0.79061437,0.12372445,1.7069585,8.25556,1.7336054,8.390356,1.3018486,4.562292
18_43,22.276115,1.7571242,0.86196554,3.3106318,1.7949535,0.6516364,0.17739391,1.9154826,2.857959,1.4520986,12.000359,0.9915118,3.2413344
37_40,14.887047,3.0091727,3.540683,1.390053,1.7585952,1.2413962,0.50251323,1.9440442,1.5096393,3.3295212,6.979761,9.903528,6.1655827
21_42,29.282047,1.9719644,1.0902271,2.5150096,1.6752317,0.5338287,0.22291721,1.8440545,2.1272838,1.9331986,14.476422,1.5339817,1.3830857
32_38,20.709831,2.8444293,9.1845875,1.5027733,2.4249601,1.0392534,0.34992957,2.2480216,2.4101508,4.3129888,20.105663,2.6318612,1.2050298
43_32,1.777312,17.06021,18.686737,0.79560244,0.7231929,0.94045985,1.2229137,3.2521806,0.9435613,19.339025,2.8411095,1.5237226,0.6521847
43_28,1.6358435,22.684189,2.0401955,0.62975425,0.81915563,1.9375359,4.026431,1.0818192,0.6550372,10.2657,2.3968651,1.9603224,0.75237083
86_55,15.319975,2.0621114,1.1149833,2.300684,1.2448431,0.7682946,0.08370577,0.8283542,1.1865529,2.888285,79.08557,1.2902642,1.3426158
88_31,8.982929,2.4630694,1.6838666,1.0769924,1.2811556,1.3634182,0.35730934,1.8715667,1.595201,3.150842,19.275324,1.7138262,1.0396314
89_32,7.9937935,2.7541854,2.1221178,1.1117148,1.2815223,0.74212503,0.3585983,1.7736527,1.7036781,3.2631254,19.885843,0.922199,0.9144063
1_50,2.3258011,3.2121353,0.7676801,2.4635801,45.397224,1.1612574,0.27694824,53.244995,3.2019851,2.5173006,2.9594796,0.7290193,2.243247
29_48,1.4456286,33.984333,1.7658101,0.57223105,0.6616003,0.61152554,2.527861,0.74078363,0.43437895,21.311474,1.6730186,0.512447,0.25885025
39_29,1.6702867,18.325735,3.1679926,0.66092885,0.7854422,0.8391179,2.958156,0.83162063,0.5997785,22.662748,2.5697398,1.0663624,0.7785374
98_15,5.2389107,1.6590496,1.0407724,17.532528,1.9987924,0.7072811,0.15243688,1.7847319,2.7772985,1.5066597,5.5125647,0.6931011,2.5376704
119_65,7.085923,2.4892602,2.1466124,1.6878736,1.5869982,1.1952977,0.1796883,0.95041466,7.0268683,3.6017103,9.274797,4.7612205,2.3687813
115_60,3.868766,3.1073053,11.194224,1.1948962,1.4189744,0.642177,1.9714811,1.1355991,15.123109,3.288009,3.802907,49.186417,2.1632447
81_55,3.1231472,1.8641713,0.7077829,16.120975,4.469005,1.1206683,0.38055453,4.7791395,2.6739836,1.5705253,3.508158,1.0051724,5.8341813
27_36,4.783315,1.7169253,0.6483234,13.8284855,3.5522423,0.7359775,0.22628795,1.5402302,2.5840251,1.5540197,8.631698,0.6631272,4.611533
98_46,30.99159,2.8158627,0.6996992,1.2072002,0.84381413,1.5250199,0.44518638,1.9152658,1.5955293,2.15432,18.157007,0.95003265,1.2182496
101_28,1.7508383,16.527958,3.335294,0.6470928,0.68429434,0.8325882,2.3449993,1.2008756,0.6398645,22.753836,2.848301,0.71231115,0.5612084
66_24,1.3678052,24.07784,2.0147123,0.56404006,0.49714726,0.43915507,3.5819054,0.9213949,0.7120959,10.646122,2.2814693,0.90877396,0.410524
54_16,9.7067375,2.3211894,1.2612716,3.7726376,1.6071001,1.0565131,1.1220382,0.9319079,1.2376882,2.1781535,18.170189,0.9654282,1.9755695
116_61,3.5447764,4.0372915,52.268806,1.2513387,1.3129461,0.6658142,1.5778539,1.0534811,1.2532606,12.245951,4.6050854,2.80602,0.8666371
86_15,1.6405011,72.3234,1.2120242,0.5757874,0.6342435,0.6382831,3.4481406,0.8248507,0.4812049,12.979681,1.8171065,0.80206054,0.38176066
39_25,25.67818,2.3269162,1.3192472,1.8641523,1.1422625,0.90956163,0.18396313,1.376322,3.8003314,3.1633697,7.423132,1.8780819,2.4652622
95_49,30.963366,2.203572,0.790113,1.2890475,1.0659475,1.0241532,0.20844449,2.191866,1.7356398,3.0195892,11.02936,1.2390226,1.9974526
29_45,1.5038751,34.200844,1.2907972,0.57891226,0.6902561,0.6130866,2.8130665,0.8390084,0.45298377,10.037028,2.0227737,1.087034,0.42059094
