,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Exoc2,0.019666128,-0.52993065,0.09758033,0.12763126,0.2025115,0.2384609,-0.3203591,-0.28480163,0.012248045,-0.78578,0.4709449,-0.09177393,0.15094396,-0.5068615,0.024203504,-0.37292412,-0.006830336,0.014324486,-0.48788983,0.049397916
Eci2,-0.42301026,0.6374465,-0.46250752,0.19059388,0.09092411,0.5997309,-0.81158453,1.2346867,-0.58732265,-0.9206433,0.074925095,-0.1674765,-0.27501318,0.15067513,-0.578699,0.06676752,-0.548283,0.9414919,-0.3199725,-0.8366329
Nrn1,-1.3722181,-0.6032473,1.1443793,-1.7556928,-1.777939,-0.6873508,-1.2390049,-0.16642576,0.74784654,1.4139707,-1.539143,-1.2353944,-0.34893027,-0.5942341,0.52037627,1.6087232,-0.476585,-1.2687341,-1.5872647,0.83492285
Rreb1,0.8880756,-0.65435904,-1.229272,1.1179212,0.041571986,-0.91302085,0.7343784,0.34474108,-1.9404243,-1.186738,1.5694826,0.36073977,-0.92580336,-0.36915523,-1.030367,-0.7659703,-1.4056284,0.16003478,0.465193,-0.68985003
Riok1,0.007281136,-0.228802,0.22147651,0.5606662,0.13483486,-0.1346381,-0.09411466,-0.29778472,-0.02255825,-0.86783624,0.055999946,-0.2912279,-1.2653953,-0.29185522,-0.09481276,-0.24995068,-0.014897884,0.24218445,0.06598254,0.19006525
Snrnp48,0.08673704,-0.3378548,0.0011059679,0.31036082,0.35890558,0.2198728,-0.20217615,0.15873049,-0.21348171,-0.949472,0.23822165,-0.021976938,0.14516293,-0.1886991,-0.06694659,-0.09516869,-0.06011899,0.08141198,-0.013618661,-0.2320065
Pak1ip1,0.0010342693,0.13870247,-0.034299865,-0.026466174,0.08773496,0.024906095,-0.013870387,-1.2315784,0.1683914,-0.12886311,-0.0023621707,-0.0074392892,-0.46785435,-0.5243855,0.027742831,-0.03545493,-0.046668362,-0.24092895,-0.027553484,0.042162437
Hivep1,-1.241298,-0.011395409,0.35398594,-0.9439222,-1.132169,-0.7222904,-1.1401412,0.7201129,0.899033,0.7729658,-0.38182056,-1.3701385,-0.057047386,-0.5878118,0.47308105,0.15128481,1.0466706,0.13202614,-0.5210602,0.3050428
Phactr1,0.2275396,-0.120455675,-0.79857874,0.19199431,-0.104806304,-0.4637041,0.67782015,-0.06559384,-0.39764246,0.06250855,0.1759908,0.6970413,0.4266976,-0.20140058,-0.83101004,-0.13499172,-0.4487197,-0.6872348,0.6366775,-0.58155066
Nol7,0.09386405,0.31431153,-0.15439767,0.11543358,-0.64694506,0.22994806,0.4460739,-0.066338524,-0.53265166,-0.10197757,0.19290861,0.00990861,-0.36571884,0.5295173,-0.10936281,0.04190965,-0.48635522,0.11980965,0.25653967,-1.0019349
Nup153,0.19618927,-0.4874272,-0.20309198,0.076528564,0.23345207,-0.0072914185,0.0696391,0.034707088,-0.008000693,-0.2131951,0.15916795,-0.03680753,-0.079112485,-0.04324384,-0.051595256,-0.17256096,-0.10888717,0.5961214,0.0123210065,-0.053913154
Kif13a,0.34494123,0.31533498,-0.2214014,-0.34032607,-0.5761876,0.85491407,0.040205482,0.11877082,-0.27306792,-0.18192787,-0.39421487,0.20133016,-0.45680726,0.4754278,-0.22854222,-0.12902379,0.10136047,0.5636519,-0.4011848,-0.16468754
Dek,0.31881544,0.22489338,-0.09121307,0.020980591,0.08443556,0.19708563,0.07472819,-0.090737484,-0.104467504,-0.4353639,6.704828e-05,0.2746442,-0.6984926,0.04612325,-0.41402143,-0.24668209,-0.19519818,0.72325736,-0.33186984,-0.0402757
Id4,0.5816825,0.3999315,-1.7824173,0.3090322,0.25544846,0.37640196,1.2453265,0.6497299,-1.7646295,-1.5566994,0.50775164,0.5888401,-0.15953343,-0.03396949,-1.4431564,-1.5209411,-1.2044582,1.1482288,0.7778313,-1.130521
Phf2,0.015464686,-0.24247825,0.04019932,0.219102,0.27476227,-0.30140743,-0.43338257,0.8551963,-0.29600045,-0.60043097,-0.09875718,0.16973616,0.6873807,-0.3478977,-0.24590786,-0.19711052,-0.24999055,0.09511881,-0.19574614,-0.046974406
Wnk2,-0.5437027,-0.5853754,0.32381564,0.056397013,0.26815706,-0.8683575,0.07400838,0.3436712,-0.030172495,0.021448037,-0.038032413,-0.23352742,0.11946614,-0.47065789,-0.041348524,-0.05874107,-0.0767137,0.32137758,-0.032046076,0.048397128
Nol8,0.54711777,-0.21470071,0.2362294,-0.13893254,0.17002197,-0.022178253,-0.22809291,-0.6869572,-0.3784088,-0.3360556,0.062337894,0.20374478,-0.7442564,-0.26727423,-0.049542457,-0.13647458,-0.03639267,0.23172434,-0.09232323,-0.040014952
Iars,-0.12710902,0.32481015,0.23176801,-0.5239874,-0.037257377,0.86663204,-0.7522404,-1.0090548,0.51471204,-0.46917647,-0.33730534,-1.1105773,-0.9242949,0.54356647,0.38294718,0.010950208,0.19300999,0.4321851,-0.46059436,-0.13087782
Spin1,-0.32011634,-0.56347024,0.06582668,0.15035647,-0.26569608,-0.9462821,0.05809681,0.102215275,0.2643058,0.46705765,0.17047854,-0.4342423,0.66002756,-0.5296896,0.039243482,-0.5467225,0.31143406,-0.8829069,0.029295454,0.04355182
Secisbp2,0.13051872,-0.22947006,-0.0027853479,0.46892127,0.118081786,0.29650757,-0.02537716,-0.4065025,0.067216516,-1.0896333,0.1296353,0.15877351,-0.9768466,-0.053487096,-0.025672214,-0.28243077,-0.10201006,0.3270484,-0.02012837,-0.006410639
