,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
20_37,1.3119493,44.53434,1.3075259,0.7492012,0.6629755,0.7305855,0.45691964,1.3364505,0.46754166,0.7250722,0.577716,1.1015848
43_86,2.6194296,7.8380375,1.3886392,1.1471062,5.076567,0.9422713,0.8616806,10.982078,0.86600983,22.582642,4.4069605,7.924424
26_59,1.3588767,38.92113,1.3145041,0.78906465,0.8778175,0.72365874,0.5414354,0.5909351,0.4680989,0.743459,0.6653537,0.64509445
24_80,6.513037,2.3901393,6.1420517,2.9822536,2.1362383,1.4263085,3.9547052,5.3943567,4.4579,0.96642464,1.1276582,1.1062837
59_84,48.85945,3.1122212,1.6299744,0.822216,1.254025,1.4011123,1.0856547,1.0958748,0.60305846,0.687842,986.23785,1.2368124
42_54,1.3203936,38.8557,1.1802025,0.810922,0.71445453,0.7472467,0.43852636,1.1332451,0.45131758,0.95408386,0.60776323,0.86256564
13_39,2.9010217,3.1702492,12.0675,2.1830385,0.9586698,0.7635882,10.207537,3.9812298,3.3466516,1.1939348,1.4370409,1.3579696
29_58,1.2878625,38.888462,1.2668083,0.9865004,0.64864194,0.88620055,0.5145549,1.4098288,0.5124983,0.8284266,0.7717309,1.4069363
39_87,3.4488347,3.5608647,2.3382711,1.5629468,20.912886,1.1969392,4.918801,10.322924,3.6703763,1.5697851,1.0200773,2.860841
58_106,4.9021287,2.9553394,6.8491993,2.1705208,2.2947795,4.526078,24.284828,2.1247258,1.7838709,1.3813701,1.6113605,0.8868107
24_25,8.631566,2.6027846,9.3377495,1.5576274,1.0765458,0.9827315,2.060666,2.0558622,10.494533,0.62478304,1.2514424,0.62249196
25_72,2.6029563,4.2137327,3.2014782,9.879036,1.4608196,1.1929798,4.6702223,16.41985,3.1703837,1.3636689,1.1967231,3.390048
32_64,2.756588,4.129921,4.063321,1.7312045,3.1917782,1.11087,2.9461143,9.012048,1.2249572,1.7394152,1.9044257,2.3314312
37_72,1.8557806,51.302162,1.2596161,0.77638066,1.8388109,0.97243416,0.6717888,2.0326238,0.6689187,10.188647,1.3839693,5.8868513
39_85,3.4071047,3.5643835,2.5762944,1.0844764,8.915269,0.7860815,4.2334065,9.678839,2.2906225,1.9525111,0.93413216,3.9704626
41_83,3.6798537,4.2146707,1.6524534,0.9208759,11.272383,1.0202554,1.8198751,2.4888062,1.1466721,8.063153,2.7178314,1.9159206
