,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
Setd7,0.52836984,-3.1584954,0.98939466,0.24559924,0.44767746,-0.068746425,-0.011692335,0.83528686,0.018089319,-0.55026525,-0.13434622
Maml3,1.7711581,-0.9602174,-0.7777428,-0.20702466,0.2682685,-0.13456716,-0.026222065,-0.039100986,-0.016525129,0.3821226,-0.15894295
Foxo1,-0.46967086,1.8874682,-1.162702,-0.11868667,-0.7775948,-0.87518585,0.0643649,-0.4620158,-0.15689227,-0.11743268,0.21643277
Postn,-2.6203504,4.529208,-3.1952014,-1.2125065,-1.2384827,-1.0387062,-0.22797158,-1.1188965,-0.53267175,-0.84641385,0.18863656
Supt20,0.27846175,-1.6269042,0.49767196,0.00043809644,0.30824837,0.03321672,-0.012905721,0.006501841,0.021753244,0.48852128,-0.14558475
Serp1,-1.0711986,0.9872751,-0.23956506,-0.10636039,0.014768852,-0.047055412,-0.0010032607,-0.045076877,0.0089080045,-0.35080662,0.002563101
Eif2a,-0.047601312,-0.41680536,0.029976472,0.019679794,0.025004352,-0.0652256,0.0002146796,-0.023026321,-0.0005414989,0.4964578,0.0035907496
Selenot,-0.12701724,1.1461338,-0.29485297,0.11588799,-1.0175046,-0.563195,0.019319639,-0.5463017,-0.09665205,0.07171371,-0.06849486
Gmps,0.26130244,-1.9262588,0.88797617,0.26860574,-0.28796425,0.18099172,0.0024059284,0.092037834,-0.11925515,-0.8708944,-0.043535925
Ssr3,-0.99253756,0.89373034,-0.5783641,0.029149234,-0.03832947,-0.0687799,0.0033599022,-0.19965257,-0.007116219,-0.1596747,-0.2766732
Ccnl1,0.67422825,-0.41478822,0.28357372,-0.00088443956,-0.059993524,-0.010534811,-0.00181287,0.0052210214,-0.0067429296,0.21886954,-0.017835421
Rsrc1,0.9321353,-1.9862088,0.2903344,-0.104366615,0.33477816,-0.066080384,-0.027022792,0.041926816,0.044961825,0.52850384,-0.010842699
Mfsd1,-2.5934134,2.7421925,-0.9314035,-0.3587573,-0.22332507,-0.46212944,0.007377452,-0.15703169,-0.038737725,-0.8794768,-0.025765028
Ift80,0.6807855,-2.2184527,0.44024247,-0.021550767,0.3752888,-0.09777122,-0.034850124,0.24952678,0.051201653,-0.33056203,0.034024622
Trim59,-0.54519415,-2.0116007,0.24685551,0.17495836,0.84210193,-0.06641467,-0.014312723,0.21804625,0.20417264,0.022121923,0.041739043
Smc4,0.92265743,-3.4252267,0.99899256,0.33043346,0.025149472,0.66514504,-0.031456754,0.36655164,-0.09225601,0.3288237,-0.606363
Kpna4,0.69098926,-0.7645024,0.57859105,-0.24702403,0.027575765,-0.046226166,0.0004220748,0.009613244,-0.014168372,0.44177896,-0.0125484215
Rapgef2,0.98317814,-0.44938973,-0.8746612,0.035388507,0.13122232,-0.15946867,-0.0057869684,-0.002118519,-0.013451584,0.5626609,0.00937583
Arfip1,-0.30181828,-0.13018422,0.09003932,0.065867975,-0.36510348,0.042040076,0.00020814652,0.045010954,-0.012678564,-0.50864196,-0.011155502
Fbxw7,1.3613081,-2.3670745,0.42555034,-0.58100855,0.6837492,-0.016595056,-0.059272774,0.33357275,-0.099815734,0.41523132,-0.027162798
Tmem131l,0.99868655,-1.6715163,-0.60694456,0.2871929,0.33791772,-0.6663957,-0.059064604,0.17465007,0.10827808,0.54770446,0.6201907
Lrba,1.1887175,-0.029618293,-0.44289732,-0.17897089,0.068443134,-0.09924328,-0.011033119,0.052415006,0.018149663,0.51510674,-0.02560705
Etv3,-1.4271064,2.3917778,-1.1237758,-0.44903925,-0.21625425,-0.25344428,0.037162423,-0.5487437,0.11221595,-1.0029929,0.2225415
Sh2d2a,0.26426306,-0.94532275,1.4008929,-0.30738524,-0.68859625,0.16405389,-0.019173836,0.141109,0.04711445,-0.42883027,-0.3154859
Mrpl24,0.32207927,0.22450903,0.34683973,-0.0041899835,-0.571479,-0.016143408,-0.0014707572,-0.026534975,-0.023916533,-0.41045314,-0.05715979
Hdgf,-1.7947689,0.42007017,-0.42670673,0.2095046,0.27397558,-0.24768008,0.0053518163,-0.60273564,0.12762162,-0.22592388,0.011445891
Mef2d,0.36153835,-0.920557,-0.13775869,-0.020938698,0.07720365,-0.020827344,-0.006792575,-0.017447978,0.008323576,0.44011304,0.030390253
Cct3,-0.4727754,-0.5561138,0.11150705,0.012406824,0.036391,0.036846165,-0.0031178542,-0.07010112,-0.006038679,0.2858054,0.016427308
Lamtor2,-2.1802077,0.37724468,1.0872105,-0.05762822,-0.1827046,0.4822658,0.0042347554,0.21829449,-0.106381744,-0.99970275,-0.040711008
Ssr2,0.52375835,-1.0658401,0.8283006,0.1808481,-0.7994585,0.38177052,-0.036303956,0.13949877,-0.16566253,-0.50262535,-0.32248855
Arhgef2,0.2481434,-0.25500193,-0.22074571,0.0069992607,-0.047567535,0.015323698,-0.0010255912,-0.085241966,-0.001164647,0.10379135,-0.011631722
Krtcap2,-1.683966,-0.17993498,1.2825956,-0.024843287,0.39275557,0.6944358,-0.056405164,-0.26714006,-0.23166645,-1.0141923,-0.48538727
Ash1l,1.9367044,-3.5390718,0.73334026,-0.22497849,-0.084993675,-0.013413908,-0.13538802,0.4771835,0.012748747,0.752601,-0.34250006
Dpm3,-1.6669412,-0.18455009,1.35894,0.37915665,-0.6500428,0.11924542,-0.020613221,-0.06885408,-0.16985159,-0.513981,-0.4335816
