,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
Ctdnep1,0.3569947,0.8857916,-0.93392885,0.01561492,-0.16852352,-0.1339615,-0.0021106435,-0.10682313,-0.0027871625,0.072755635,-0.013745121
Eif5a,-0.8210072,-0.60938823,0.7227639,0.26156795,-0.43761942,0.11742838,-0.017360847,0.3462937,-0.027146896,-0.33165258,-0.034782004
Gabarap,-1.4529593,1.2907207,0.44627672,0.03699298,-1.1483034,0.29407662,-0.018604863,-0.2522185,-0.7166148,-1.4746183,0.014205018
Arrb2,-1.6619257,2.0590131,-1.4420846,0.1812653,-0.31773108,-0.70132595,0.074566975,-0.542196,-0.1416902,-0.7037556,0.5648713
Cxcl16,-2.6062593,4.7943273,-3.3265367,-1.4914403,-0.8447453,-1.2287972,0.023773257,-1.3965073,0.12119638,-0.3686104,-0.0078086755
Psmb6,-0.24780077,-1.3591301,0.8721279,0.6405592,-0.61752254,0.36262417,-0.010880554,0.18549705,-0.6770555,-0.034182303,-0.14454365
Rnf167,-1.221191,0.3411457,-0.078749865,-0.012904808,0.20584258,0.060412817,-0.0008366875,-0.39938504,0.0444436,-0.25503626,-0.0010853824
Rabep1,0.64879817,0.19227962,-0.28352898,-0.07897788,-0.14207655,-0.04598463,-0.0025004293,0.006690291,-0.0032546497,-0.12846462,0.0041717184
C1qbp,-1.9879873,0.45102566,0.458937,0.08813218,-0.044069152,-0.06953403,-0.005021462,-0.17571308,-0.005758556,-0.77407855,-0.022394978
Txndc17,-0.9584793,1.6859711,-0.018851161,-0.6157179,-0.9650963,-0.17617269,-0.03792546,-0.2742442,-0.36950672,-0.101832055,0.08997308
Ube2g1,0.7509241,-2.3728297,0.8663134,0.45092177,0.05643616,0.24134059,-0.06240639,0.5237304,-0.124938674,-0.23176484,-0.42128146
Ankfy1,-0.21362984,1.2441775,-0.90750635,0.018326728,-0.21838652,-0.11552196,-0.0019666536,-0.33605993,-0.01933765,-0.45428893,0.009606133
Zzef1,1.0074558,-0.6226039,-0.15552998,-0.26472938,0.028507032,-0.06404065,-0.010767308,0.03720407,0.0032101423,0.78032005,0.011056263
Ncbp3,-0.357027,-0.86080223,-0.31774396,0.07394867,0.12622674,-0.05164801,0.0015281934,-0.0058808434,0.012751465,0.10476588,0.015467886
Emc6,-2.5065346,0.7264261,0.3270483,0.25081033,-0.35468897,-0.012084583,0.0075932983,-0.09793802,-0.027088428,-0.07589974,0.0006432585
Pafah1b1,0.2379928,-0.8188423,0.27981758,0.024955755,0.122749604,0.13601533,-0.0031952446,-0.084815376,-0.01766089,0.25755605,-0.0061331387
Smg6,1.527799,-1.2350618,-0.42020684,-0.063846,0.2607397,-0.15687656,-0.02898705,0.18847932,0.013383007,0.8637585,-0.006491876
Prpf8,-0.47467193,-1.3566467,0.6080183,0.07599791,0.43526003,0.34832722,-0.026043158,-0.099686876,-0.031646267,0.36918035,-0.109953314
Slc43a2,0.6692531,-1.3808385,0.08655877,-0.0648483,0.61450595,0.090635926,-0.012902733,0.17026308,-0.059143677,0.62330854,-0.10474041
Inpp5k,-0.6578609,-0.3846156,0.071906336,0.078925624,-0.020182533,-0.004538671,-0.002482554,0.01231673,0.018103719,-0.3215548,0.014133098
Pitpna,0.2507436,-0.1866592,0.25318483,-0.086341724,-0.053692605,0.013773724,0.00024605688,-0.08547606,0.0013665509,-0.15558855,-0.03582587
Crk,0.77546227,-0.5376698,0.95218277,-0.25643492,-0.77753025,0.067449406,-0.025683139,0.30296645,-0.20580795,-0.57734394,-0.39544988
Ywhae,0.33822164,-1.6319737,0.33074158,0.5269014,-0.08841138,0.14457195,-0.023094656,0.14730214,0.047413234,-0.038832225,-0.24353702
Nxn,0.22024798,1.5750314,-1.3810248,0.077595666,-1.0427759,-0.7133583,-0.008289412,0.12479582,-0.15635668,-0.094429575,0.10607623
Abr,-0.037627533,0.22258155,0.036398865,-0.10008174,0.008564132,0.032221235,-0.0008228178,-0.024574276,-0.0025921399,-0.355291,-0.021437155
Blmh,-0.83698225,0.92228645,-0.9707701,-0.11676804,0.11825693,-0.07262931,-0.010083127,-0.36189297,0.22891575,-0.42770883,0.4327677
Taok1,1.0464218,-1.9632735,0.91365445,0.021902042,0.10016634,0.3471667,-0.062725775,0.67914045,-0.07770148,-0.977053,-0.37549666
Ssh2,1.0781219,0.19436741,-0.5154786,-0.08296222,-0.055736374,-0.16013451,0.0027282536,0.05358984,-0.015183319,0.36631247,-0.009180448
Nufip2,0.7277081,-0.60400534,0.18375668,-0.07318817,-0.10214557,0.015427658,-0.0093559055,0.07459714,-0.15323462,-0.83441925,-0.014475588
Myo18a,1.0027528,-1.3443801,0.21738032,-0.06360226,-0.06371064,0.056467187,-0.011540882,0.15528402,0.017206356,0.061329696,0.037626963
Phf12,1.2582387,-1.4851532,0.5552733,0.00990407,0.012359346,0.10183716,-0.008554377,0.19139355,-0.046804983,-0.5080995,-0.15799567
Sdf2,-0.75215876,1.8821472,-0.55389524,-0.26946482,-0.35430515,0.06424616,-0.019479543,-0.3599999,-0.14088218,-0.96044177,0.08954352
2610507B11Rik,0.91387355,-0.40783113,-0.12815964,-0.029648963,-0.155897,-0.05276591,-0.0033129742,0.031890683,0.0024025242,0.8898376,-0.010631413
Ift20,-0.9862063,0.47128063,0.20469132,0.06740943,-0.210984,0.0011943241,-0.0012410973,-0.04060733,-0.016032632,-1.075387,0.008350202
Nlk,1.6025922,-1.3282617,-0.7251961,-0.6380308,0.54685044,0.03816439,0.007720068,-0.21328829,-0.045728233,0.6463153,-0.075711265
Lgals9,-0.55895984,-1.5618792,1.229211,0.5488839,-0.5811761,0.26363355,0.028275287,0.3700529,-0.730226,-0.34528828,-0.44196564
Wsb1,0.4447484,-0.9583901,-0.017388895,0.12258998,0.106056035,-0.15502879,-0.00016773774,-0.036601413,-0.021593641,-0.08511843,-0.10709274
Nf1,1.8500922,-2.759256,0.6523149,-0.47545215,-0.016338263,-0.21319295,-0.091753975,0.19470607,-0.069116436,1.1649048,-0.16499166
Rab11fip4,0.24841362,-0.45057628,-0.0863536,-0.012660789,-0.30835983,0.026244828,-0.0057547064,0.1460802,0.08280582,0.259396,-0.056045163
Suz12,0.7163296,-2.272951,0.46139807,0.17684391,0.099738665,0.16821387,-0.020932164,0.07862633,0.13102958,-0.010084159,-0.023475025
Crlf3,-0.1708171,-1.8448875,0.56367946,0.15240026,0.20884784,0.25128284,-0.007760306,0.15809625,0.06305991,-0.9941385,-0.028654814
Rhot1,-0.14362916,-2.1325395,0.63689363,0.21582384,0.20353828,0.054149404,-0.018590773,0.019913727,0.013954604,-0.78647435,0.12259705
Zfp207,1.3302455,-2.231256,0.5905353,0.27494627,-0.283744,0.35583198,-0.09850178,0.3111159,-0.08335286,0.78772545,-0.12132339
Psmd11,-0.2735905,-0.51668113,0.073649734,-0.051682975,0.037700288,0.043130953,-0.0010757077,-0.0091848625,0.007915201,0.64977396,-0.012145371
Slfn2,-1.7975891,2.3248582,-0.8492077,-0.85332316,0.08879619,-0.8309086,0.08687485,-0.56510025,-0.07714907,-0.684413,0.584732
Ap2b1,1.0216798,-0.5330256,0.7984551,-0.52965075,-0.52167183,0.21252996,-0.06827699,0.1881932,-0.44201615,0.9535539,-0.30172825
Taf15,1.069074,-0.14176758,-1.1529565,0.11411031,-0.19146457,-0.2419596,-0.020986777,0.028613497,-0.09153298,0.9798401,0.05151766
Ccl5,-3.1979852,5.241723,-3.3698802,-1.7677469,-1.5920054,-1.3803656,-0.31101885,-1.3242975,-0.9457736,-1.038031,-0.43409574
Wfdc18,-3.4370492,6.386563,-3.6018248,-1.8530389,-1.7659882,-1.4368246,-0.71297795,-1.5261481,-0.979143,-1.2021834,-0.8816062
Synrg,1.0173407,-0.9868319,-0.02014102,-0.02899563,0.021572987,0.04343709,-0.0052570216,0.08078629,-0.020206947,0.52687466,-0.006112775
Ggnbp2,1.0233915,-1.5430135,-0.047118016,0.26693577,0.019748017,0.03714865,-0.0054504797,0.03161415,-0.0929325,-0.12479134,-0.11944679
Usp32,0.5986817,-1.3459988,0.18568079,-0.10500715,0.71464884,0.14159146,-0.016476108,0.38973024,-0.04101326,-0.72047466,-0.15879521
Appbp2,-0.509532,-1.3070178,0.58480746,0.037200283,0.35446188,-0.18020003,0.0009930802,0.1936276,-0.016574034,-0.94869643,-0.0016746874
Bcas3,1.6511097,-2.2957416,-0.338443,-0.124848895,0.25683188,-0.1790522,-0.058987882,0.24776593,0.058890194,0.9986474,0.037139926
Brip1os,0.72306347,-1.260221,0.6403203,-0.9726139,0.5127096,-0.18333243,-0.03443456,0.3250152,-0.0030560521,-0.59262204,-0.06054561
Med13,1.3809326,-2.3741088,0.78269666,-0.14276344,-0.02000049,0.16218917,-0.045791924,0.68204147,-0.11703063,0.19910936,-0.3957151
Vmp1,-0.10120933,1.0321544,-0.5078406,0.16234553,-0.87602,-0.019644914,-0.002501358,-0.19767262,-0.044573423,-0.23134798,-0.054885276
Ypel2,1.5782874,-2.9880836,0.34247532,-0.31285843,0.45563912,-0.16431683,-0.05744908,0.47038126,0.30131844,0.69317144,-0.20532821
Ska2,0.62206125,-3.3413029,1.387026,0.5958642,-0.016040137,0.06405528,-0.032237805,0.38663325,-0.2607417,-0.34861308,-0.25499
Cltc,-1.0667796,0.41672623,-0.043129858,-0.09354205,0.04353757,0.16868255,0.0013761888,-0.6218304,-0.00017589952,-0.3460102,0.03293211
Dynll2,0.48635015,0.07007694,0.25161856,-0.020196741,-1.074038,-0.24553397,-0.022115286,0.12579003,-0.1921011,0.13372135,-0.24721047
Vezf1,1.0500209,-2.3040218,0.7351927,-0.110322334,0.08891374,0.25127923,-0.057211712,0.20324273,-0.10604112,0.47908485,-0.32133314
Srsf1,-0.31671014,-1.0801334,0.6903986,0.17502323,0.048253812,0.20467229,-0.003941927,0.0101843495,-0.030955216,-0.3608296,-0.026389424
Trim25,-1.0865741,2.1174548,-0.9882719,-1.0269114,-0.14244424,-0.46009007,0.10453893,-0.73877203,-0.0118545275,-0.39059418,0.331233
Msi2,1.7130873,-1.1734052,-0.6228945,-0.20018132,0.16167244,-0.026631767,-0.032911945,0.07415606,0.053860422,0.08410481,0.13846172
Dgke,1.9025517,-5.1983237,0.74499905,0.090617165,0.6507226,-0.0015683088,-0.16503927,0.74563235,0.43305025,0.9081445,0.11658266
Mbtd1,1.1939567,-3.7997966,1.0246289,0.3064173,0.36887658,0.73976684,-0.103654414,0.34396476,-0.024967536,0.045802,-0.5408494
Nme1,-1.328224,0.59248877,-0.7214137,0.1270479,0.23365481,-0.0762774,0.0060524885,-0.43659237,0.02781316,0.08047133,0.0361406
Spag9,1.1169889,-1.981551,0.15918154,0.14135064,-0.04575303,-0.21639362,-0.019012854,0.66350526,0.029686658,-0.4012233,-0.15514944
Ankrd40,0.035581857,-0.055854157,0.8113278,-0.1822202,-0.8727217,0.2095899,-0.008121242,0.018286847,-0.033760842,-0.10082098,-0.019377884
Luc7l3,-0.013050556,0.057476193,-0.043757103,-5.5840388e-05,-0.0073436466,-0.016682774,-0.00039535324,-0.004935827,-0.0005962574,-0.26202208,0.005251553
Fam117a,0.9334305,-2.5808387,0.9084599,-0.030802509,0.17997457,0.4647093,-0.07803791,0.16062951,-0.09059363,0.44700193,-0.10470247
Spop,0.50390446,0.3175209,-0.5930089,-0.013871302,-0.025445078,-0.030281343,-0.0032922423,-0.03230822,0.0051421723,0.09639653,-0.0035003175
Abi3,0.5357644,-2.9345388,1.1545197,-0.025747705,0.23677313,0.10848892,-0.06151277,0.41149187,0.053680543,0.6589099,0.037526753
Snf8,-0.677905,0.896882,-0.48776984,-0.014181895,-0.059682783,0.008279131,0.0014245062,-0.3003817,0.0011648721,-0.07018138,-0.007925273
Zfp652,0.9478306,-0.06677161,-0.30939755,-0.025854293,-0.031129435,-0.117612116,-0.0022086136,-0.018702228,-0.006168795,0.8057612,-0.011945197
Ube2z,-0.97565925,1.965047,-1.0580626,-0.122944616,-0.17068155,-0.9467191,0.09982549,-0.5363873,-0.16590063,-0.041504417,0.18665609
Cbx1,0.12361568,-2.0353744,1.048847,0.25587797,-0.17926519,0.44528466,-0.02975837,0.3509992,-0.05232424,-0.8983674,-0.048257157
Nfe2l1,-2.3127117,3.2692723,-1.807281,-0.761819,-0.20956072,-0.7460343,0.041847862,-0.5550448,-0.21763627,-0.58110553,0.60261685
Kpnb1,-0.6118325,-0.42457032,0.085891575,0.093935564,-0.0019246852,0.036040436,-0.0023587958,0.018155335,-0.0055004056,-0.034637436,0.004691691
Npepps,0.5977521,-1.6160073,0.06591228,-0.14286305,0.47516727,0.07616566,-0.0124924285,-0.045784786,0.11223648,0.55125445,-0.0043241335
Mllt6,-1.8246402,3.2354784,-1.5616801,-1.0389074,-1.0780227,-0.8654632,0.14729738,-0.48763475,0.032449316,-0.98284733,0.12057151
Plxdc1,2.0301352,-5.333109,0.5707902,0.57059765,0.47865143,0.5177401,-0.13323957,0.7688025,-0.24783468,-0.3345309,-0.13625658
Lasp1,-1.7270932,2.214452,-0.9954443,-0.60290563,0.26222938,-0.86504006,0.092919275,-0.85998225,-0.2189006,-0.14799564,0.2815688
Arl5c,1.0083994,-5.1463056,1.9856329,0.70536995,-0.80473894,0.82336146,-0.54899275,1.1594921,-0.52944195,-1.0267842,-0.7483966
Fbxl20,1.5038966,-2.8265023,-0.34957293,-0.0332357,0.47414717,0.28040695,-0.10827199,0.40924108,0.30836153,-0.09654215,0.03164247
Med1,0.107366204,-0.85224617,0.16580959,0.30827934,-0.14155914,-0.3426919,-0.006518024,0.04238012,-0.04999001,0.9956681,0.007865097
Cdk12,1.381994,-0.8570472,0.50086397,-0.06369144,-0.31409132,-0.0014118754,-0.0031669666,0.10264905,-0.082064845,-0.3377194,-0.06831009
Mien1,-1.5967597,-1.1415308,0.7517507,0.1856419,0.376652,0.25291237,-0.004349462,-0.28540963,-0.004380321,-0.7351882,0.0070076482
Ikzf3,1.8314899,-2.5928345,0.5010208,-0.7660807,-0.048722196,-0.19391343,-0.13420343,0.62244,-0.14565326,0.9060722,-0.7485168
Psmd3,-0.11700082,-0.6707138,0.70139444,0.3069845,-0.47418886,-0.025365604,-0.0025226227,0.2508754,-0.0077507235,-1.2904271,-0.03421118
Msl1,-1.3992227,0.77972794,-0.21946715,-0.030306965,-0.22056285,-0.09339677,0.015101013,-0.289374,0.021256952,-0.22983454,0.029857261
Casc3,-0.3690799,0.758005,-0.3550522,-0.058762822,-0.01567909,-0.11285531,-0.005408723,-0.10267044,0.0030994017,0.16630368,-0.026292404
Rara,0.8487736,-0.25795788,-0.0012016334,-0.035609994,-0.073112585,0.010580374,-0.0016984632,0.048089605,-0.012991985,0.00083119055,-0.0016973267
Skap1,1.491457,-2.191638,-0.3672105,-0.2364328,0.44520503,0.28212187,-0.39694476,-0.038854986,0.14147235,0.9578218,0.13354392
Top2a,0.81456697,-4.0959954,1.1350744,0.83046734,0.020976627,0.40196908,-0.1536218,0.56606644,-0.19521815,0.49273303,-0.22218896
Igfbp4,-2.0452318,4.5562363,-3.4688663,-0.64470834,-1.7706686,-1.6042328,0.13206904,-1.4337158,-0.82213324,-0.95656055,0.079008006
Ccr7,-3.508367,5.449431,-3.6750646,-1.9550506,-1.550834,-1.3861245,0.079156205,-1.5703853,-0.9402313,-1.1763461,-0.3404669
Krt17,-2.362415,3.968345,-1.4675987,-1.6311774,-0.95133364,-1.018302,-0.04391869,-0.9839361,-0.5860599,-1.0498669,0.53818136
Krt14,-3.124845,5.346398,-3.082972,-1.2186664,-1.5527538,-1.2579921,-0.24261156,-1.1708326,-1.0798392,-1.207678,-0.2644006
Jup,0.18972205,-0.9198889,0.5385421,0.009010424,-0.07747368,-0.028867364,-0.004326186,0.10534116,-0.0039906097,-0.060327873,0.0041192123
Eif1,-0.24396992,-0.5396286,0.6038493,0.4445685,-0.574921,0.02383456,-0.013506722,0.065528035,-0.13106602,-1.0260003,-0.3355194
Cnp,0.2067241,-0.8065202,0.63264513,0.19468273,-0.074994326,0.15343313,-0.0017876084,0.24473311,-0.06349212,-0.71053296,-0.119171575
Dnajc7,0.0015313327,-0.039752543,0.29413822,-0.023682823,-0.12661538,-0.004246851,-0.001496296,0.002507853,-0.004291307,0.42647636,5.6071898e-05
Stat5b,0.2885214,-0.9316855,0.22653969,0.00027187675,0.029851368,-0.0010609387,-0.003938445,0.0042702556,0.0017720308,0.01790912,-0.013225079
Stat5a,-0.06965685,1.094388,-0.13011992,-0.25941846,-0.36271575,-0.020164464,-0.0014569638,-0.09994154,-0.367837,-0.31458837,-0.01359086
Ezh1,-0.4399169,0.54587746,-0.43034047,0.07974819,-0.2005336,0.0578783,-0.0004772588,-0.18550026,-0.021352762,-0.54350764,-0.030589808
Ramp2,0.3574416,0.84789413,-0.66332364,-0.58068055,-0.20408891,0.015948953,0.0020526329,-0.16377902,-0.046302386,-0.03211443,0.035387553
Coa3,-1.851129,0.17639852,1.0645093,-0.030191489,-0.262735,0.019352434,-0.002439619,-0.14023818,-0.013803383,-0.33093393,-0.11102402
Stat3,-0.27084115,1.9297222,-1.9606068,-0.44391614,0.13130584,-0.71153843,-0.016100133,-0.62483776,-0.062327243,0.2479305,0.06993269
Becn1,-0.56465226,0.72386396,-0.3769496,0.0034719794,-0.053529132,-0.14472745,0.00080249493,-0.19013245,0.004685947,-0.55663353,0.00033312675
Psme3,-0.7506901,0.02618891,0.2803694,0.031685997,-0.2610652,0.0014288339,-0.006759264,0.011606869,0.0034530244,-0.2095208,-0.00596885
Ifi35,-1.6565785,3.088482,-1.1159432,-0.2599158,-1.4219763,-0.81550044,0.078310214,-0.5224055,-0.24388547,-1.0315166,0.18287587
Dhx8,0.37965688,-1.6923349,1.1727915,-0.048660688,0.124312826,-0.13464795,-0.012469977,0.1785061,0.00082647725,-0.45457748,-0.032057177
Slc25a39,-1.2970934,0.99817705,0.1168749,0.4696193,-0.9572306,-0.02764431,-0.012885529,-0.47136006,-0.24147142,-0.60064757,0.009555801
Grn,-1.4387383,1.5942159,-1.6876957,0.2889466,-0.069696195,-0.63435006,0.053852748,-0.38817537,-0.051566724,-0.42260903,0.33629802
Gpatch8,1.5538785,-2.252848,0.08229151,-0.18955289,0.6087478,-0.09841918,-0.06215298,0.44570827,-0.05833073,0.50053364,-0.25024748
Eftud2,0.025061741,-0.08043207,0.3561113,-0.007230981,-0.021588549,-0.01983315,2.4077774e-05,-0.036215004,-0.007909719,0.85869014,-0.004840971
Ubtf,-1.1018139,0.66157746,-0.8189436,0.07312259,0.21479855,-0.3393569,0.026873231,-0.7214523,0.5777459,-0.94332474,-0.035657313
Hexim1,-0.2936972,-0.21428843,0.095147885,-0.010098515,0.04400542,-0.010806406,-0.0011649057,-0.029051615,-0.0036823761,0.012898123,-0.001734774
Plekhm1,-0.50386477,-0.58887035,-0.16942324,-0.041425172,0.3946764,0.07152492,0.0010270753,-0.009146147,0.009293187,-0.7460786,-0.014822976
Nsf,0.7500229,0.12264988,-1.172266,-0.020080227,-0.1261069,-0.278889,-0.003323398,-0.0238249,0.08360936,-0.1364761,-0.010412366
Kansl1,1.3696737,-1.8790455,-0.028132644,-0.31293356,0.41949806,-0.2235359,-0.048242338,0.103807084,0.10289181,0.824692,0.005477246
Dcaf7,-0.47731918,0.5863364,0.031724602,-0.03370612,-0.22016862,-0.0063043498,-0.00086930115,0.0632742,-0.008676203,-0.7352901,0.014498962
Ddx42,0.04359144,-0.55699307,0.014455102,0.022198092,0.053804364,0.016468495,-0.0012944014,0.026482206,0.003638032,-0.44740537,0.00072175974
Psmc5,-1.2851185,0.65235347,0.46303967,0.0051673152,-0.5498097,0.0057513425,-0.0006847476,-0.18076186,-0.033131532,-1.1330954,-0.072758295
Limd2,-0.65776163,0.42494473,-0.035589688,-0.4021371,0.09904392,-0.12149,0.018219365,-0.5462268,0.052901402,0.07240585,-0.13199392
Pecam1,0.89016813,-0.16361338,-0.02417466,-0.073440306,-0.15263788,-0.0068426915,-0.0014409043,-0.022499923,-0.040610675,0.7732174,0.024719944
Smurf2,0.31862378,1.1693084,-1.0605512,-0.3042419,-0.29677615,-0.6964511,-0.0018857713,-0.332569,-0.007872627,-0.033243567,0.0043392647
Bptf,0.6379118,-1.3534474,0.40012363,0.33128843,-0.24437353,0.44264874,-0.017482301,0.23070666,-0.09323968,-0.52115285,0.009496073
Pitpnc1,1.1305113,0.1172769,-0.66099787,-0.10074544,-0.06875271,-0.25624835,-0.0021189293,-0.109756954,-0.032359004,0.6728404,0.0129215075
Helz,1.0802357,-3.358426,0.738699,0.19590817,0.37577224,0.23328759,-0.3062575,0.26994896,0.056138773,1.1705658,-0.2074568
Prkca,1.4768549,0.20234299,-1.4743584,0.027178869,-0.3105326,-0.20520669,0.0007947076,0.058247205,-0.06926779,0.4324722,0.03677761
Gna13,0.050382316,-1.1138625,0.7629173,0.05539464,-0.0011581642,0.04244627,-0.0053888583,0.0059005367,-0.013586835,-0.94665223,0.004201604
Prkar1a,-1.4773849,-0.20940916,0.25808528,0.015712636,0.04096293,0.0579054,-0.0018114838,-0.0789156,-0.0040923147,-0.36703318,-0.002828033
2610035D17Rik,0.99311846,-2.0578098,-0.26212576,-0.042720526,0.55106086,0.027285378,-0.007924033,0.2583062,0.009095063,-0.014226004,-0.110782005
Slc9a3r1,-0.58946204,0.23206885,0.022706207,0.021268977,-0.02880101,-0.025220305,0.00083438185,-0.0061458233,-0.001160451,-0.41592756,-0.0080198245
Mrpl58,0.13228957,-4.023993,1.907862,0.79987055,-0.4940936,1.0544138,-0.16918351,0.29128045,0.046731103,-0.76534754,-0.6754257
Kctd2,0.53936887,-1.2808397,0.3783171,0.24149048,-0.6430753,-0.05096981,-0.004029448,0.044859674,0.008316057,0.36532858,-0.080096126
Jpt1,-0.71161264,-0.23503557,0.2450123,0.08082709,-0.024355395,-0.034162108,0.0016372884,-0.21351469,0.023329,0.19392556,0.0065016546
Gga3,-0.021264255,-0.5489357,0.29475042,0.0245924,-0.20302247,0.014742082,0.0019104001,0.045002036,-0.0030932964,-0.22439529,0.0056580575
Grb2,0.010799572,-0.0920498,-0.14793058,0.0075255376,0.018815054,-0.0049069556,0.00017600112,-0.0066301557,-0.0026083735,-0.43174464,-0.0011616084
Ten1,-1.4337384,-0.3792614,0.21908575,0.13503596,0.3477132,-0.07661877,0.005549741,-0.09222553,-0.030749137,-0.67976004,0.055883802
Sec14l1,0.19692329,-0.724401,-0.0789685,0.037028525,0.03872133,-0.12669657,-0.004181792,-0.14523639,0.010828049,0.834712,-0.028854962
Sept9,0.7915379,-0.49848276,0.31829262,-0.023144465,-0.0343945,0.10046365,-0.005996065,-0.018667469,-0.015723022,0.65513,-0.016402071
Tmc6,-0.17500652,1.9182246,-2.0461736,-0.6119097,-0.07631748,-0.6216881,0.012683401,-0.4775453,0.051517725,0.4780346,-0.014220362
Tnrc6c,0.9641284,-1.3105342,-0.05826301,-0.091164425,0.11727489,-0.08008056,-0.006748444,0.0799059,0.06749621,0.24623896,0.032822397
Syngr2,-3.4529333,5.1551785,-3.0566635,-1.3000861,-1.0850364,-1.4379151,0.068318024,-1.2799767,-0.33554012,-1.4242073,-0.1311537
Birc5,0.19713165,-2.6369488,0.6282477,0.86992604,0.19090655,0.37255666,-0.04865723,0.1319864,-0.01339235,0.07035413,-0.33277526
Pgs1,-0.4525295,-1.447911,0.90354085,-0.10624437,0.42346328,0.21362405,-0.014429536,-0.18619676,0.071063265,0.37498516,0.016398305
Cyth1,1.0674623,0.7245201,-0.55496264,-0.5983874,-0.68799484,-0.5802871,-0.028093684,-0.023114825,-0.029297503,0.9811016,-0.012408999
Timp2,-1.5027702,0.95711005,-1.0735488,0.26196912,-0.026184455,-0.26342285,0.014118653,-0.31861743,-0.026892727,-1.160911,0.033971447
Lgals3bp,-0.7032598,2.4588232,-1.4876813,-0.06644917,-0.9452034,-0.28461286,-0.016896455,-0.5583784,-0.26039028,-0.8808909,-0.25431117
Cbx4,-0.70343053,0.37721348,-0.480263,0.009746268,0.016739499,-0.05195369,0.0011680324,-0.14697513,0.018514832,0.09581169,0.0028878292
Eif4a3,-0.2622707,-1.4186597,0.8383338,0.76120186,-0.71212655,0.18628857,-0.0060700784,0.5321186,-0.3537031,-0.5539233,-0.05387847
Rnf213,-0.8038064,2.8097055,-1.8489952,-0.8538874,-0.6593395,-0.8584244,0.022019405,-0.9098807,-0.23444647,0.21837762,0.3933742
Ndufaf8,-1.137002,0.9431174,-0.03203851,-0.01453337,-0.4077206,-0.0158764,0.008070791,-0.17370905,-0.03838645,-0.8263083,0.000726699
Nploc4,-1.1606964,0.7563351,-0.6877899,0.032635972,-0.073881455,-0.31189105,-0.0023070844,-0.012125638,0.011669002,-0.7199012,0.14753978
Mrpl12,-0.8935952,0.9584733,0.00883138,-0.09876968,-0.17595035,-0.026105683,0.00081776007,-0.27326274,-0.044761796,-0.7450052,0.036110483
Mcrip1,-2.1876535,2.0128646,-0.8650584,-0.37627286,0.06530621,-0.16679423,0.1242082,-0.70356756,0.24901333,-1.2364109,0.013346178
P4hb,-0.17739168,0.93331295,-0.2818747,-0.32862148,-0.15778099,-0.013218932,0.0014062393,-0.20388938,-0.012401828,-0.24286442,-0.023624977
Anapc11,0.0023039281,-0.049059078,0.95490384,-0.41500762,-1.2918513,-0.09831545,-0.024328107,0.0048880717,-0.07865195,-0.20652057,-0.006349424
Arhgdia,-0.45569688,-0.26039636,0.09872895,0.014415121,-0.025743464,9.9783196e-05,-0.0003903152,-0.022567645,0.0020744782,0.18301912,-0.000107615924
Cbr2,0.14751998,-3.8720043,1.1177039,0.908224,0.12817514,0.671123,-0.01817484,0.4253732,0.13252616,-0.4115011,-0.16036774
Fasn,0.45999876,-1.8866458,1.3307333,0.09867858,-0.54282546,-0.041519165,-0.010041261,0.28078067,0.039297245,-0.6701562,-0.046587855
BC017643,-0.8939998,0.16786112,-0.006143503,-0.013798999,0.039959293,0.0014045034,-0.0007159781,-0.03190056,0.0027512081,-0.90214694,-0.01436107
Csnk1d,0.3104697,-0.15419507,-0.60983706,0.00561488,0.024889553,-0.043907035,-0.0017309834,0.004888854,-0.000105887586,-0.3081681,-0.040026866
Wdr45b,-0.33933905,0.30888307,-0.7122238,0.047836162,0.108277574,-0.07741484,0.0033970084,-0.072196685,-0.015760068,-0.1716588,0.021349894
Tbcd,0.8013767,-0.46064728,-0.11199652,-0.021834165,-0.31975132,-0.16042683,-0.0022432378,0.16992913,-0.03051202,0.2583644,-0.0044034095
Rab10,0.44694775,-0.31500685,0.23719907,0.011067576,-0.37727976,0.0425153,-0.0012372906,0.0029179351,-0.025091374,-0.8520167,-0.02772406
Asxl2,1.1443219,-2.390379,0.92066956,0.3379559,-0.1915383,0.4470396,-0.05592452,0.6695211,-0.051087655,-0.21953508,-0.5452961
Dnmt3a,-0.94136524,0.98459554,-0.41687337,-0.3752896,0.2264632,-0.109495245,0.014918221,-0.18849733,-0.040511344,-1.0929657,-0.0007647434
Ncoa1,1.6530366,-1.7302308,0.3794535,-0.034897767,-0.023124462,0.081317656,-0.031561103,0.2917309,-0.18104565,0.6965397,-0.05639
Itsn2,0.99655116,-0.829873,0.2719902,-0.03772834,-0.61521035,0.10992535,0.0002715686,0.024076536,-0.02935632,0.46928093,0.005917031
Sf3b6,-1.491108,0.3741476,-0.8190032,0.24292862,0.49456215,-0.1168725,0.10580279,-0.8546376,0.31160805,-1.2038025,0.45504722
Klhl29,0.4145764,-0.20308599,-0.8262855,0.5874457,-0.4496653,-0.18891722,-0.0005184652,0.06453173,-0.09140611,0.742721,0.014291792
