,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10
221.18619238088982,1.1507474,0.9791941,0.5393964,-0.41749114,0.14950226,-0.4109135,-4.022285,0.63054115,0.18212171,-1.387782,0.12466212,-0.07213465,-2.5314746,-1.3462847,-0.19750497,-3.9646838,0.93476135,0.9858657,-1.1980528,0.99654496
222.1963781206182,1.2819972,-0.23704374,-0.18203337,-2.9869847,1.0639192,-0.7045143,-0.85630506,0.6207966,-2.1034803,0.6809469,-1.167402,0.09223679,-2.672366,-1.2422671,-1.099277,-0.2787847,1.3374571,0.7523423,-0.0993056,0.66649103
223.10945238689277,-2.9457865,-0.18704307,-0.03109714,-0.14888394,0.67581624,0.6584199,0.4977407,-0.3773932,0.24858896,-0.10493351,-1.0116844,0.6817976,-0.860082,-0.19702579,0.25960746,0.3916427,0.5647166,-1.4297701,0.6992189,-0.9418882
227.06803885421309,-2.8733554,-0.085850835,0.049720623,-0.0077135307,0.60631794,0.43148893,0.11669646,-0.24951848,-0.022473056,-0.2655524,-0.98204863,0.005440937,-1.0005383,-0.055042222,0.097951405,-0.080426246,0.6567165,-1.618657,0.43637434,-0.18082783
231.06294028159982,-0.4198329,0.15086038,0.04337795,-0.04734148,0.4962966,0.4252955,0.011713357,0.0050695585,-0.13020457,-0.5912746,-1.0847735,0.11678843,-1.4132893,-0.15643674,0.23756532,-0.1296014,0.75472015,-0.36519322,0.3816541,-0.051199734
233.02111811266192,-3.4889438,-0.074502334,0.04108261,0.009467328,0.60659486,0.41263482,0.06786844,-0.035384938,0.14356752,-0.14632787,-0.7171997,0.16625595,-1.0396571,-0.058810018,0.20174614,-0.11880183,0.600223,-1.9129151,0.48113897,-0.15232857
241.0473618927395,-3.3106625,0.1281517,0.008433325,-0.11247127,0.67593,0.46429724,0.1032769,-0.06054218,0.015875168,-0.19385727,-0.7030402,0.046583403,-1.4472309,0.015183356,0.39611772,-0.09936807,0.650044,-1.9958056,0.43689963,-0.06082296
243.0829710976259,-1.7245237,0.3683548,0.063069336,-0.10895138,0.50214976,0.4034425,-0.26552197,-0.075506344,0.0057455953,-0.4313153,-0.75848687,0.2670779,-1.38945,0.11668005,0.093520194,-0.40258312,0.59106576,-0.49804085,0.21818231,0.051317368
243.09931152472012,-0.6010018,0.0103723,-0.017279794,-0.05236507,0.5182109,0.26853675,0.060870256,-0.014014063,0.11530252,-0.17674002,-0.84197825,0.56321573,-1.5121324,-0.023445264,-0.07376549,0.04195803,0.56843746,-0.2351202,0.24043304,-0.13816796
247.09425491750557,-1.5465407,0.20273083,0.07793632,-0.3270176,0.6409526,0.49682322,0.01070065,0.08700148,-0.11425029,-0.25749514,-1.0241697,0.22498262,-2.0211902,-0.18074122,0.17662767,-0.11653243,0.9257549,-0.5551447,0.35212085,-0.09871512
247.2017817863967,1.2685735,1.9557626,0.759157,-2.2203896,-2.3696363,-3.110399,-3.6962287,1.3715149,0.14917931,-3.3364687,0.41248342,-2.1547263,-3.0129123,-3.1813633,-2.3372476,-3.4491165,0.68117917,1.5129164,-3.151408,1.9348791
249.12513134687242,-0.3571908,-2.0042567,-0.2046281,0.20544443,0.009752636,-0.26613164,0.4509041,0.26005998,0.2902922,0.17570136,-0.3661043,0.48447064,-1.6588011,0.20877548,0.2622711,0.100454204,0.80770123,-3.0338128,0.17558968,-1.2433493
251.10447077523585,-3.0247843,0.14754637,0.056434736,-0.16235882,0.6678296,0.532038,0.24572034,-0.11703511,-0.15517029,-0.18832359,-0.90607876,-0.32600972,-1.2470536,0.036752235,0.31939366,0.1059324,0.7417386,-1.6970817,0.6114932,-0.027197896
253.08364230631653,-1.9710469,-0.00060307793,0.0301813,-0.05088416,0.5620222,0.33968064,0.0784597,-0.08165401,0.1312504,-0.31541494,-0.780145,0.3040773,-1.3855314,-0.056076,0.057560004,-0.07663548,0.57704145,-0.98330086,0.2980788,-0.1671834
255.09915080142363,-0.93803227,0.03227771,0.0006103184,-0.055355147,0.48884493,0.24502018,0.018758887,0.04632709,0.0073922854,-0.20461369,-0.85363084,0.35353193,-1.2005192,-0.033074874,0.0057753464,-0.08097145,0.57988757,-0.24166326,0.20736028,-0.10849704
261.07334112304517,-0.72440016,0.01860473,0.12653735,-0.06783824,0.5959997,0.6018842,0.053507425,-0.00060530147,-0.17073387,-0.3956996,-1.3223715,0.10067628,-1.3693265,-0.12734495,0.25640234,-0.15731406,0.9947971,-0.80626625,0.51416916,-0.23733728
261.10966185035926,-0.29342225,-0.16670859,-0.0015159383,-0.014458522,0.56716365,0.3900246,0.32763463,-0.049100682,0.015131953,-0.09443701,-1.116331,0.45973596,-1.3115736,0.056324326,-0.003026786,0.27224118,0.6242176,-0.3180334,0.27884156,-0.27668932
265.11193587583034,-2.4902353,0.11428337,0.68822646,1.1641067,-1.0510807,1.0981991,0.9516626,-0.63116217,-0.22313203,-3.4489338,-1.3447753,-1.2298726,0.13767213,-1.8648685,0.8074411,0.118597455,-0.112645335,-0.39856127,-0.8447677,0.2577131
265.11993582059335,-2.4964392,-0.39928165,0.015075939,0.030637268,0.49568108,0.3380377,0.16081353,-0.11211401,0.084965736,-0.0981898,-0.88263613,0.31749803,-1.0815064,0.10336431,0.30331522,0.040981792,0.61425,-1.6507308,0.30242038,-0.7840296
267.09922367205917,-1.0582701,0.029018262,-0.020050291,-0.06361801,0.5265157,0.2199351,0.008493856,0.03069042,0.16600902,-0.17661737,-0.7570026,0.4897308,-1.3969944,-0.07651011,-0.06996422,-0.10401546,0.5062393,-0.33687705,0.2127552,0.029610183
267.1355665990693,-1.9797443,0.04869573,0.20334215,-0.12538381,0.5778503,0.6249804,0.14484546,-0.2247072,-0.34179503,-0.4207464,-1.0462615,-0.5615983,-0.9199546,-0.16768152,0.51036805,0.055575233,0.47430718,-1.1231855,0.46637595,0.026437053
269.114922695292,-1.999846,-0.003652508,0.021256719,-0.053368304,0.5451215,0.3111366,0.038294025,-0.04395317,0.040841732,-0.2075805,-0.8632658,0.1809362,-1.1362925,0.06210384,0.115527056,-0.015837414,0.55601305,-1.0724275,0.33339468,-0.038049456
275.12535495048786,-3.0316799,0.15922917,0.12430715,-0.2770798,0.47838962,0.61323,0.0540034,-0.10747313,0.18516347,-0.3906359,-1.2817614,0.3647044,-0.9831896,-0.1611848,0.3207102,-0.04066993,0.79046774,-0.95320684,0.49538884,-0.35929337
277.1046854722379,0.1818735,0.0006212549,0.0035304506,-0.036895234,0.41901925,0.31406265,0.05297276,-0.046103947,0.1057981,-0.45886198,-0.8689346,0.6308918,-1.5808634,-0.10415683,-0.07372406,0.021555752,0.64297885,0.1337165,0.21926191,-0.108663045
277.1199314280742,-2.5060894,0.0029190676,0.17093256,-0.041840564,0.6380643,0.5709468,0.0129904505,-0.016072806,-0.22396071,-0.2270814,-1.0778555,-0.15093072,-0.9531949,-0.3418571,0.32606027,-0.106521524,0.69164366,-2.2071757,0.65051633,0.045229785
281.09553527735085,-1.9710673,0.6961358,0.30862468,-0.3715644,0.700543,-0.03413124,-1.957861,0.586286,0.24273644,-0.41645473,0.0040981723,-0.24992125,-2.0135624,-0.23438911,0.09129881,-2.9028687,1.007128,0.026956571,-0.36919978,0.7415583
281.1149839238734,-2.7137928,-0.3672072,0.043083273,-0.009208299,0.5078372,0.4808356,0.23355879,-0.28486523,-0.058972325,-0.019009298,-0.9208954,0.22342424,-1.1177962,0.14933236,0.48631543,-0.0147449225,0.5680843,-1.8357201,0.46604928,-0.80696076
