,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
24,0.764655,0.5078568,0.8075801,0.89849776,1.2531984,1.4403188,13.027781,0.84290874,0.5393499,0.75279003,0.43889505,1.0381188,0.6606138,1.1875125,1.3213551,52.201126,1.0716662,0.5971242,2.2171004,1.0535834,1.8199959,0.72539645,0.7257063,0.7685232,0.53282666,0.81521577,1.1204633,0.7580029,1.7027842,1.5020249
25,0.77657294,0.44159365,0.79903924,1.3837659,1.2277992,1.269619,11.148957,0.84161794,0.593212,0.65967125,0.51472473,0.86186,0.828879,0.859928,1.359375,64.90152,0.9877055,0.4495012,6.829994,1.0413522,1.7756662,0.846263,0.88083404,0.69654137,0.60511965,1.0660789,0.9828185,0.56006736,1.4284427,0.6670253
26,0.72881985,0.4285245,0.91442394,1.882421,1.289054,1.3800942,9.074963,0.7271199,0.6326291,0.6953617,0.45274538,1.1289436,2.9030797,0.7590018,0.95323974,37.935844,0.7451438,0.48211545,7.681439,0.6852562,2.184431,0.71009237,0.5902739,1.0546118,0.6620157,0.99917513,1.0609651,0.8376991,1.5929071,1.7307861
27,0.6724632,0.4352575,0.8717433,2.5094168,1.1965386,1.5527521,6.5612946,0.6418037,0.6422692,0.7335722,0.58533436,1.2246059,7.1336937,0.7566112,0.880162,32.31973,0.730764,0.5145682,4.7552495,0.61146605,2.6974814,0.8664754,0.6037707,0.5210272,0.8391493,0.66944027,0.8423678,0.7171927,1.4406552,1.299594
28,0.4070302,0.7481133,0.5823925,0.42001128,2.0845428,1.3360982,10.989273,0.5817343,0.55597436,0.93948865,0.8110535,1.2457093,0.6503378,2.9335494,1.2514263,184.93935,1.1913412,0.91000545,1.1583537,1.2814066,1.6775408,1.2870952,0.8863305,1.0771302,2.4917204,0.90594596,0.8641274,6.211308,1.0345974,11.183857
29,0.3705345,0.80238223,0.61256135,0.37408894,1.6798315,1.2417649,12.209904,0.6392464,0.46374303,0.96156037,0.7865912,1.0566447,0.61757314,3.0336678,1.5538421,167.14818,1.1459714,0.8452403,1.0032012,1.4284209,1.9396496,1.2096136,0.881938,1.3106686,1.8807425,0.9862982,0.83571684,5.1865153,0.9862444,11.487293
30,0.43203515,0.75186044,0.63702834,0.43106252,1.5729046,1.1674633,12.704593,0.663754,0.50520504,0.89578575,0.74844956,0.96098435,0.63889486,3.718221,1.7604588,113.46224,1.0924596,0.7687507,0.9051719,1.1356426,1.8255166,0.8809542,0.72379774,1.4434087,0.8335004,0.96588266,0.69809383,2.2663994,0.7635105,12.145691
31,0.58573276,0.6595254,0.7457391,0.6223509,1.2003849,0.94349957,15.221507,0.8186934,0.5482339,0.8591931,0.7239053,0.952936,0.8445536,2.491012,1.3775681,72.6507,0.96773875,0.6991136,1.1065611,1.05111,2.3178046,0.7815659,0.70321894,1.338247,0.5370371,0.8397775,0.8206528,1.0407472,0.883885,5.437861
32,0.48591518,0.700467,0.70589566,0.5681071,1.3182874,0.85802114,14.097087,0.82674736,0.64069694,0.9145957,0.5539219,1.1181997,0.6392719,3.4411817,1.3027959,125.32851,0.8743006,0.700186,0.9808375,1.1442912,2.2541478,0.84822196,0.5766999,0.78816724,0.63818944,0.57383746,1.0645229,1.4531683,1.0388921,7.785444
33,0.49368125,0.62586415,0.72206,0.60486066,1.6844113,0.9496807,14.054188,0.86840874,0.52222604,0.9497682,0.69982034,0.9998883,2.329453,1.296996,1.046091,52.888905,0.8207348,0.57304186,2.0626302,0.7891874,1.8478016,0.9855222,0.6075803,0.55733854,0.8331775,0.50873727,1.8051715,1.2327635,1.7451066,2.1626801
34,1.0078762,0.5011506,1.1593041,1.500433,0.7832426,1.0619485,18.277807,0.86477613,0.45836177,0.5923977,0.5732984,0.89627093,0.8671186,1.1253455,1.1098317,46.01775,0.92099726,0.552246,2.5996664,0.9974124,1.2219305,0.91386783,0.6193501,0.43868655,0.8872522,0.51349103,2.3359873,0.79472184,2.335628,0.54919004
35,0.9308195,0.52695596,1.0271693,1.2378983,0.9685026,1.1779089,17.184475,0.91655374,0.4899959,0.7275945,0.5610996,1.0614843,1.4118927,1.1609486,0.82493883,51.794514,0.85426545,0.6145807,3.019935,0.81827086,1.064607,0.8064597,0.7652371,0.46606582,0.6432197,0.63256335,1.4846427,0.64408946,1.8033624,0.6014421
36,0.8782916,0.57941234,0.8804934,0.839442,1.2039839,1.1357353,16.352242,0.92515576,0.51244754,0.77375805,0.5329088,1.0005425,0.8803746,1.5464425,1.2014297,65.37042,0.9971571,0.6192111,1.9029719,1.0267196,1.3450228,0.66129696,0.64554185,0.6645303,0.54111934,0.9870846,1.1053678,0.5597681,1.3693149,0.5553097
37,0.88615924,0.4744107,1.2250507,1.5309734,0.8286156,1.008625,16.615967,0.8655968,0.61984754,0.5452765,0.49699372,0.9558582,0.64065826,2.0739427,2.0381353,50.076485,1.1630888,0.5638036,1.6635965,1.0317177,1.5930856,0.8461613,1.1883929,0.38030547,0.43595043,0.9648281,0.8684617,0.3252859,0.9671378,0.22405192
38,0.8846752,0.5468234,1.0650586,1.6934922,0.9607919,1.5446663,12.205507,0.7912301,0.4943936,0.72088504,0.49921593,1.2210574,4.1932573,0.75815654,0.8459194,31.955948,0.7763029,0.5333671,4.307906,0.6389571,2.2764232,0.77628595,0.7235608,0.67676187,0.544775,1.1522323,0.961128,0.509433,1.2257234,0.51339924
39,0.887573,0.44195428,0.9861253,3.5211892,1.1003764,1.069005,11.2975645,0.7579666,0.65264314,0.69942963,0.54670095,1.2143791,6.2336974,0.7426639,0.909634,31.035116,0.7794731,0.53382117,3.109764,0.63881403,3.1004355,0.7865115,0.8282314,0.61269444,0.5944816,1.0806222,0.80148745,0.50584465,0.83641464,0.48581308
40,0.6708787,0.43801507,0.80524087,1.9133373,1.5808171,1.3975503,7.0523005,0.6620182,0.6383818,0.7377964,0.6332873,1.3886999,10.809373,0.76295257,0.9502784,32.781265,0.84603167,0.5818167,3.1292908,0.6304414,3.6888618,0.919397,0.55718535,0.71436715,0.88156724,0.6514909,0.8751526,1.5786654,1.1058452,4.238052
41,0.512022,0.63039804,0.5945594,0.8505696,2.3336713,2.0992892,7.2671804,0.6653236,0.52885175,1.0145355,0.47787315,1.0640782,2.6489449,0.8257376,1.0492281,24.002438,0.7202175,0.4996142,8.287459,0.63815415,4.60561,0.92815566,0.52492064,0.70707947,0.7687456,0.68310076,0.9139881,1.825941,0.92907757,5.003278
42,0.44539267,0.47203037,0.50985134,0.5126117,1.9241786,3.2954047,5.995427,0.67473763,0.4708979,0.85957086,0.56642115,0.8896849,0.93096596,1.2330322,2.739976,25.765087,0.8192582,0.56938356,17.745934,0.78469676,5.3928733,0.57277775,0.41904986,0.53782415,0.93403757,0.4159773,0.4968632,1.239102,0.7799149,3.793894
43,0.41389006,0.66215575,0.5966979,0.5363513,2.085299,1.2788073,11.21106,0.6194262,0.7035695,0.84516627,0.8199922,1.3805872,0.8150789,3.029848,1.0008079,171.03246,0.9023347,1.0167952,1.0797005,1.204635,2.0458915,1.2109327,0.8449081,1.1942939,1.9653481,0.91746926,0.87592715,5.539816,1.0677963,10.07789
44,0.35566252,0.8251151,0.56878555,0.3550651,2.2276375,1.2713324,10.789415,0.64268583,0.46532142,1.0630059,0.8642106,1.0996741,0.53575844,2.2745178,1.6786627,183.68259,1.628717,0.8237216,1.2887299,1.4826179,2.0402646,1.0595227,0.7954805,1.3249836,1.4553585,1.0000111,0.7799612,4.096785,0.9209244,9.726574
45,0.39153832,0.8142768,0.618539,0.37642807,1.8263085,1.2737591,11.252772,0.6803285,0.46569526,0.9642414,0.8458286,0.968571,0.54692113,2.7172918,1.9444616,157.97354,1.4814306,0.79448587,1.1629682,1.3691381,3.5341525,0.7327086,0.646544,1.4515481,0.6173392,1.0169231,0.59231496,1.6806298,0.6710311,14.117652
46,0.4245541,0.8579988,0.61384887,0.40759557,1.9630761,1.2966444,10.837655,0.68326426,0.44502047,0.9919408,0.56479794,1.1861005,0.48052484,2.4202614,1.4905763,161.12355,1.3424491,0.81331766,0.9681955,1.616472,2.725084,0.7229362,0.63885087,1.4471766,0.58620757,0.90982145,0.6100991,1.671064,0.6841858,13.362526
47,0.4161564,0.8191147,0.68660927,0.40340596,1.4467864,1.189259,12.372542,0.6894526,0.49052933,0.92119193,0.5820444,1.042423,0.7185137,2.0335522,1.0142181,78.090485,0.93676054,0.7143195,1.0614709,1.0803068,1.9546019,0.6965172,0.60309684,1.3711449,0.6159608,0.8228503,0.62875897,1.8409177,0.6805066,12.334473
48,0.5546953,0.6918975,0.8116232,0.68416107,1.2355342,1.6919662,14.184313,0.8124528,0.49288073,0.86202323,0.4640629,1.044224,0.88744396,1.0818979,1.0114456,45.764996,0.9489923,0.604229,2.2690687,0.96452343,2.6914403,0.8331623,0.6352429,0.84194314,0.5699926,0.6062503,1.0418543,1.4439406,1.1014168,7.2101016
49,0.67682207,0.5518201,0.9556451,0.74593884,1.0534314,0.9168838,16.745123,0.9349103,0.5443605,0.80615485,0.6687766,0.92351663,1.5689406,1.388411,0.8783039,39.94783,0.7902339,0.6100139,1.3619324,0.84198,1.8091463,0.92815006,0.70123386,0.5637076,0.70543754,0.6125651,1.6227096,0.90470165,1.7996726,1.2724661
50,0.8919759,0.54224414,1.0873708,0.8731761,1.126564,1.1876967,21.492191,0.9233934,0.54422057,0.69827616,0.7502057,0.94671804,2.5362291,1.2334882,0.7532678,39.051136,0.70736,0.62165356,1.486185,0.7587868,1.089471,0.8328596,0.72157264,0.44635013,0.6575984,0.63703936,1.6437877,0.63149476,1.8743932,0.4445766
