,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
P4HA2,-1.102529,-0.19832453,-0.67127764,0.33825412,0.07226487,0.17228284,0.32349798,0.058896195,-0.7296489,0.13878135,0.32412598,0.24479824,-1.2015239,-0.18046714,-0.34865394,-0.038574506,-0.5034288,-0.080457196,-0.40729922,0.03411481
IRF1,-2.188207,0.64144176,0.73115045,-0.052219443,-0.4844818,0.5495828,-0.3990507,-0.55027544,0.6017402,-0.88694865,-0.49713522,0.29899263,-1.1942986,0.6691315,0.08627789,0.73595375,-0.7815617,-0.6150261,-0.32390818,-0.6487033
UQCRQ,-0.35374725,-0.060276236,0.036036156,0.035589498,-0.026725095,-0.04024022,0.02894745,0.2016512,-0.271079,0.024307724,-0.014527259,-0.033215765,0.3553117,-0.013533729,-0.5577887,-0.02045199,0.16585755,-0.05291144,-0.027027532,-0.01142539
C5orf15,0.070785336,0.17029393,0.07249194,-1.8487202,-0.031865276,0.107543066,-0.0018673319,-0.062083606,-0.33902135,0.0014240018,0.03479814,0.30236512,-0.18169448,0.020005668,-0.5809075,-0.017127112,-1.4077296,0.0071967845,-0.8777084,-0.048861396
VDAC1,0.4535917,-0.16576377,-0.026057096,-0.045776427,-0.04468172,-0.009528079,0.05110963,0.25027826,-0.06737631,0.14568245,-0.021713639,0.40376732,0.15733035,-0.024471637,0.027445693,-0.05170056,0.17435981,-0.009175942,0.20087583,-0.022759786
SKP1,0.37995255,-0.06407415,0.011105736,0.0047605517,-0.009163415,-0.03039287,-0.0074790646,0.040171124,0.06975565,-0.0026998296,-0.0083124535,0.31624886,0.35975865,-0.0025416422,0.16933213,0.0068212063,-0.070590876,-0.05480476,-0.00060564413,-0.04491533
PPP2CA,-0.74299586,-0.026549181,-0.16484046,0.009342422,-0.024965193,0.0010634526,0.1883908,0.10743348,0.17095175,-0.103556365,0.016610613,-1.4289911,-0.20982504,0.025985502,0.017399345,0.033697627,-0.38221487,-0.13088444,-0.0638992,-0.04916948
UBE2B,-0.18342051,0.2708118,-0.012307947,-0.7060507,-0.081286624,-0.0009119915,-0.0009887004,0.20677188,-0.01423794,0.1180777,-0.009155191,-1.5636075,-1.0671101,-0.019061984,-0.32993174,-0.017393354,0.13461989,0.52658,-0.077413455,-0.038545627
CAMLG,-0.21987027,0.59182554,-0.51954645,-1.4361001,0.3400396,-0.14759573,-0.90310484,0.25280386,-0.0033069996,0.43598592,-0.5124139,-0.4313415,-0.41543812,0.21539511,-0.8673825,-0.057027336,0.64025164,0.2643325,-1.3986105,0.6551591
H2AFY,-0.18527709,0.39617604,-0.09400564,0.00575177,0.115314715,-0.0013942647,-0.11455216,-0.21176809,-0.10859119,-0.14715625,-0.08167346,0.3604026,-0.44829923,0.021957053,-0.09565327,-0.041226976,-0.4358189,-0.043656867,0.20989886,0.23571315
CXCL14,0.5797425,-0.34186897,0.06998632,0.15716189,-0.14257316,0.006658682,0.21995866,-0.07651524,-0.16176738,-0.114352316,0.045123745,0.2982818,0.3051477,-0.022572178,0.12575722,-0.00074675336,0.110210165,-0.6294221,0.118546635,-0.08780442
HNRNPA0,0.58313733,0.01897562,0.011403475,-0.10962079,0.018507227,-0.031101542,0.10197508,0.047668774,-0.2304981,-0.03164373,-0.0066894456,0.006202737,0.16165183,0.0042396886,-0.39280117,-0.34948525,-0.1177948,0.12494847,0.038572714,-0.06708373
