,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
50,1.6131861,3.4850957,0.38867748,0.44532478,0.4410832,0.4580135,23.507816,1.4005457,0.3259266,1.0611016,0.7134328,2.1844916,1.0314084,0.8805639,13.401128,0.6804471,0.5238498,274.61478,1.0645009,23.27082,1.2031903,1.129194
51,1.5174682,4.01306,0.31975967,0.5005383,0.41354138,0.47924423,20.526169,1.3036242,0.32327777,1.1311713,0.6381016,2.737589,1.4459722,1.7638656,8.115772,0.6755515,0.46135628,124.97195,0.77413327,47.290997,1.31791,1.087146
52,9.307673,3.6654716,0.33665377,0.50828373,0.374017,0.4451364,10.965519,1.2172079,0.34665918,1.0320134,0.81677455,1.5864009,1.1768321,1.2072706,2.3469727,1.2650594,0.598491,75.50024,0.85160494,19.834488,1.3243654,0.95544946
53,10.729805,2.074501,0.38624537,0.5171534,0.5214278,0.5064744,2.130216,1.1230683,0.60430825,0.8555196,0.9005654,1.407283,0.9962056,1.1682779,1.8659889,2.1806138,0.47815606,49.4864,1.5279973,110.39199,1.7008913,1.5603346
54,9.52529,2.2622416,0.35127446,0.5118655,0.49258566,0.4764371,5.1384687,1.2900803,0.5300674,0.7265332,1.0296737,1.433956,0.9483834,1.0745934,1.8430433,1.4084908,0.44411957,37.99345,2.346465,51.534218,1.3926605,1.3682874
55,9.18827,3.314825,0.36964568,0.5077344,0.48950452,0.5153966,10.744965,1.2753333,0.41595,0.77445334,0.71391565,3.980034,1.0351669,1.1486458,2.3187795,1.6271877,0.38784716,43.12828,0.9517784,18.546093,1.304498,1.0555291
56,10.863275,3.426561,0.41580674,0.5221885,0.5489608,0.43057632,13.333914,1.3063037,0.34897682,0.8580572,0.5680116,6.908628,1.5687805,1.4261287,5.6648493,1.6333152,0.27530006,26.050386,0.6062063,11.334027,1.1922386,1.1563704
57,9.548155,2.9523284,0.3871389,0.56674993,0.4521144,0.51648456,7.6358547,1.1676862,0.36188066,0.9247594,0.53722566,4.9623327,1.2364218,1.7608837,1.9802375,1.7361039,0.3484431,18.460688,0.4297211,29.369095,1.304351,1.0445746
58,10.181556,2.1296916,0.43154538,0.5363873,0.48582006,0.5124985,2.3640404,1.2398648,0.42891562,0.907289,0.52788913,2.5422695,1.0251045,1.7212249,1.7456005,2.7302227,0.42793173,12.577105,0.6802197,76.430824,1.5801588,1.468486
59,13.256478,1.9527569,0.39692754,0.5802559,0.4916735,0.5136645,1.7139649,1.1116005,0.506327,0.98217255,0.6021562,2.9537861,1.2805009,2.2262602,2.0295947,1.7130741,0.3473002,12.85395,0.41697654,158.66951,1.7451322,1.6462312
