,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
JAK1,-0.0038587851,0.9536506,-0.07073766,-0.012103643,0.03773104,0.0016144139,-0.01147449,-0.22478049,-0.00041551286,-0.57819015,-0.16933215,0.72864985,0.1272662,0.2790497,0.29013768,0.010593436,-0.25658098,0.0125127565,0.06952826
AK4,-0.03619357,-0.32216996,-0.1346212,0.28576475,0.11459084,0.031375613,0.011280952,-0.39316693,-0.012923571,-0.36041623,0.01944152,-0.0897829,-1.8994757,0.350437,0.19846074,-0.23887563,-0.48368445,0.48285133,0.46425676
LEPROT,-0.013721933,0.8750423,-0.09405651,0.014391106,0.039812643,-0.0102791665,0.15172929,-0.3058926,-0.059104368,-0.56744605,-0.033892598,0.2907357,-0.22840017,0.41872784,0.25150058,-0.15702799,-0.34303227,0.41251263,0.13361733
SERBP1,-0.022358844,-0.30018178,0.031315606,0.025160028,0.010238561,0.004101779,-0.2185547,-0.027878368,-0.00051477604,-0.24808028,-0.096984744,-0.11667662,0.22078349,0.29798076,-0.2487801,-0.0739184,0.12731828,-0.007749697,-0.017376402
GADD45A,0.0986929,-2.4136019,0.83711785,-0.34190172,-0.16735336,0.041017804,0.021321673,-0.09599294,-0.39737394,-1.3049252,1.0558655,-0.19182071,-0.26375997,-0.44775844,-2.6480472,0.48263797,0.2177404,-1.3467742,0.47408095
GNG12,-0.013241069,-2.4417124,0.011246901,-0.022554621,0.049922064,0.008707862,-0.058542173,-0.034633443,0.003391659,-0.19639565,5.59411e-05,-2.0814984,0.33525068,0.0889246,-0.3801114,0.009717166,0.25349584,0.30475953,0.14815527
SRSF11,-0.11869842,1.2488297,-0.1941355,0.23141429,-0.047292016,0.016253714,-0.001296261,-0.43030578,-0.027703147,-0.7569962,0.022565387,0.89208305,-0.048105933,0.7300436,-0.5130589,-0.9659241,-0.33064932,0.54153025,-0.07847989
CRYZ,0.109159775,-4.2406406,-0.0025729323,0.123726204,0.4038254,0.07252825,0.42394418,-1.4123497,-0.02459766,-1.6559291,0.32751536,-2.5564632,-0.8791173,-0.7688755,-0.14144024,0.2311092,-0.2553683,0.7152676,0.74672866
ACADM,0.103319995,-3.1099372,0.11358536,-0.008112953,0.38368818,0.15650691,0.36820662,-1.7170142,-0.04787204,-1.408922,0.6197591,-1.2747142,-0.4573773,-1.1695082,-0.0674561,0.16397971,-0.19028847,0.13890669,0.79019254
RABGGTB,0.16785097,-2.904546,0.41483954,0.018765798,0.13613537,0.40897256,0.049452692,-0.56198144,-0.34179425,-1.8401585,0.728895,-1.920132,-1.6633643,-0.20877486,-1.9473914,0.36968964,0.69649357,0.16341422,-0.28475222
GIPC2,0.123216785,-3.815682,0.39021188,-0.22392507,0.53786075,0.07864704,0.4791183,-1.0398717,0.013032428,-1.8321867,1.3288765,-1.8992074,-2.3084366,-1.7135173,-0.25661683,-0.24449025,-0.008634677,-0.051959384,0.7424992
ADGRL4,-0.08031463,1.5166576,-0.3943889,-0.07331491,-0.10746934,-0.01811059,-0.20666102,0.079785466,0.04129659,0.14989801,-0.4032309,0.8935661,0.732973,0.5419688,-0.07513235,-0.84088,-0.80787885,0.2831609,-0.4557694
GNG5,-0.03544749,-0.4637255,0.18707886,-0.3833823,0.09020782,0.0019350693,-0.042787917,0.020995263,-0.0052328976,-0.045042645,0.028163748,-1.7081237,-0.21994561,-0.09853195,0.12165163,0.36998546,0.24894227,-0.08517655,0.121830404
DDAH1,-0.037324283,-1.7731752,-0.23800284,0.31287533,0.17542386,0.0452557,0.16834925,-0.73015976,-0.001727105,-2.0205169,0.20210463,-0.11585275,-1.193579,-0.8072258,0.01859712,-0.17923994,-0.31222287,0.62828225,0.53516984
CCN1,-0.24037255,-0.18165557,0.014633468,0.53476655,0.04174975,-0.0037490525,-0.020310448,0.18781428,-0.0414329,-0.22523034,0.6245441,0.57997465,-1.5086157,-0.80647063,-0.13450144,-1.0493774,-1.736065,0.58570206,0.7863551
