,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
609.5120455413432,-1.9568367,-9.966572,2.9604235,2.7633264,2.1036637,2.6321795,0.98905444,-3.8216188,-2.8786454,-10.21978,8.830534,-4.2614875
610.5152924075304,-5.145902,-10.288775,3.0767045,2.1160455,2.8475559,2.8304825,1.2488879,-4.7649946,-4.5227838,-14.831702,4.3397336,-4.258175
611.5274919331004,-2.587428,-10.019154,2.9587305,2.761304,2.0606701,2.6607926,0.9404355,-4.0661573,-1.0874074,-10.379692,8.729864,-4.107769
612.5309407070264,-5.456427,-10.580227,3.028912,2.184983,2.6890287,2.794955,0.9489806,-4.75218,-4.224735,-15.800728,5.0039325,-4.628232
633.511752861228,-1.7012836,-10.491768,2.958395,2.7853007,2.134167,2.6308846,1.1641545,-4.097869,-2.8925197,-10.361729,8.52839,-4.2495046
634.5147793274784,-5.1867294,-10.396653,2.9827712,2.3019605,2.747777,2.7249916,1.3479902,-4.869532,-4.258373,-14.768013,5.83903,-4.535116
636.5304080879085,-3.165852,-10.24163,2.899937,2.710921,2.1642296,2.61462,1.064942,-4.146041,-3.5522978,-10.6923485,8.430708,-4.4675937
638.5461431462845,-4.316036,-10.516715,3.071382,2.5514185,2.5025516,2.7874537,1.1692528,-4.714129,-4.105025,-14.92161,7.709092,-4.2597632
639.5565550087291,-5.062442,-9.695054,3.0334883,1.5082179,2.9587812,2.8837714,0.94034857,-4.813222,-4.2736344,-19.62402,4.0051265,-3.9742408
653.4927876789029,-4.9998255,-10.021589,3.254971,2.8421714,0.77560925,3.1895213,-3.9341407,-4.960042,-1.6128983,-26.255962,9.309038,-4.197118
654.496269279783,-4.626424,-10.349113,3.0536318,3.0155842,1.5780942,2.78784,0.14396958,-5.105351,1.6571116,-22.388096,9.416768,-4.0329614
655.504882557469,-4.9169517,-9.997641,3.2847123,2.8753698,0.5224555,3.2081258,-4.336296,-4.934154,-1.184105,-26.781673,9.457488,-4.1350822
656.51187934263,-4.1705227,-10.769749,2.9201677,2.8197894,1.4787176,2.692225,0.040119417,-4.991339,2.2045581,-22.046732,9.270019,-4.121228
657.5118501948282,-4.816455,-10.296826,3.1558983,2.7781162,2.2189603,2.7976677,0.9690431,-4.964178,-3.155945,-18.330267,8.63871,-4.1887817
659.5264959269217,-4.1488433,-9.726767,3.1486502,1.7542883,2.8002129,2.61649,1.3349094,-4.817576,-4.4149446,-15.624641,6.314718,-4.1284437
678.4974836530346,-4.7040496,-9.739208,3.3795278,3.0282805,1.3565805,2.9570875,-2.356538,-4.7804317,-2.4537659,-25.059656,9.235227,-4.226152
680.5129143532625,-1.4122719,-10.664802,2.7902102,2.795298,1.5289963,2.520646,0.37710735,-5.0301156,2.3254986,-19.108982,9.081022,-3.7860904
681.5157215481386,-4.645815,-10.092803,3.355405,3.0274262,0.46485156,3.04266,-1.0422888,-4.891503,-1.2829986,-24.488775,9.110818,-4.1076684
682.528756123638,-1.6991543,-10.76137,2.810868,2.7754076,1.5231439,2.5870464,0.31359926,-5.099827,2.3728225,-20.007395,9.144356,-4.2646966
683.5125027727631,-4.104397,-7.742242,2.840635,-0.6251842,3.2819152,2.7164586,0.49785978,-3.5760815,-2.7055647,-10.126696,6.9254513,-2.7821355
683.5319333002944,-4.824876,-9.343905,3.522352,2.962066,-2.379788,3.0283735,-4.239977,-4.7624793,0.37351236,-28.2043,9.114836,-3.8139124
786.5324780449847,-4.862917,-9.989801,3.476331,2.2856798,2.3571897,3.1129797,-1.5224192,-4.7960696,-3.5006804,-23.904097,8.987659,-4.3100696
788.5476587894711,-3.7354782,-8.700436,3.0643702,2.427649,1.7463288,2.8547041,-0.5069451,-4.890126,1.9383447,-20.53768,9.234974,-3.6949546
789.5511211850243,-4.7428584,-8.465294,3.6007133,1.3728714,1.6558429,3.3547437,-4.3658733,-4.6529,-2.882615,-26.27675,9.125406,-4.0431166
885.553757973446,-1.7560033,-8.5299225,2.7176187,2.597249,1.7702489,2.4467366,0.6098735,-4.009961,2.7801394,-11.355068,9.100523,-2.789946
886.556970803666,-5.126024,-9.7891035,3.0599647,2.6891968,2.105086,2.7330158,0.29747257,-5.03505,-0.049804255,-20.290333,9.017272,-3.9951365
887.563849728756,-4.9153266,-9.40381,3.4503396,1.9613816,2.6007028,3.2239602,-2.8632095,-4.6478386,-3.7191553,-22.488392,7.4962206,-2.9673705
