,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
GBA,0.38198033,-3.2600725,-1.899579,0.23298685,1.1838684,-0.1563593,-3.3598077,0.11296592,0.4415,0.5410763,-1.4091427,-1.2937744,1.3736304,1.661869,-2.0796788,-1.0678604,-2.6886144,-1.4994197,0.47913513,-0.5804511
FDPS,-1.5626602,-0.9156753,0.48292828,0.29684868,-1.5799311,0.48790878,-0.05961381,0.07734784,0.032769937,0.23552638,0.6711327,-1.2917272,1.1700675,-0.2712532,0.1448422,0.060863562,-1.0791289,-1.1318554,-0.11123423,-0.4969368
RIT1,0.58330786,-2.8811257,-1.300314,-0.56660074,1.4741156,0.7241821,-1.5280765,-0.63606924,0.18034038,0.18358612,-0.98581153,-2.6005757,-2.1222448,1.5969445,-1.6694571,-1.4754649,0.55027974,-1.0896469,1.4167728,-2.4443011
SSR2,0.34041783,1.1618966,0.17666523,-0.19302405,0.30928022,-0.16904819,-0.47689247,0.20636098,-0.4186157,-0.6329072,-0.15463398,0.89055914,-0.39231113,-0.7215951,0.21914645,-0.14611843,0.28461704,0.44812047,-0.5576169,0.71663743
LAMTOR2,-0.48980436,0.43618447,-2.6111212,-0.09992845,0.8017313,0.2503214,0.5062711,-3.6315668,0.2928681,0.7189908,-1.0230936,-2.3953648,1.2069439,-0.2523953,-0.6280795,0.12173872,-2.6985605,0.5267148,1.0741571,-3.0428162
LMNA,0.50017226,0.08709997,0.9529589,-0.15450236,0.15590107,-0.7560656,0.72814983,0.4924064,-0.7753323,-1.9431064,0.7258003,1.2610329,0.22308858,-0.71341455,0.29189205,-1.0187796,-0.3674176,0.5544633,-1.8022033,0.12289151
PMF1,-3.4111564,-0.9670109,-1.8962508,0.20633818,0.39352813,0.8509073,-0.41372412,-3.100066,0.41320994,1.0270699,-2.7187316,-2.6135721,0.5006149,1.1716808,-2.4217854,0.60110456,-2.298127,-0.73314774,1.452134,-2.600407
CCT3,-1.5252118,-1.0229226,-0.8461653,0.13978024,0.3640686,0.525486,-1.2290138,-1.1033388,0.11596264,0.3247751,-1.0608582,-2.5175397,0.44982544,0.5035795,0.2546793,0.13317838,0.1953978,-0.057402678,0.18885186,-0.11405255
MRPL24,0.33817956,-0.37853813,-1.9673938,0.59581935,0.5818999,0.46753812,-1.077812,-2.5268207,0.016406013,0.45385584,-2.0662668,-0.40951467,0.895543,0.7013225,-0.2341822,0.12199028,-0.26675302,0.15000114,0.50198704,-2.237178
HDGF,0.37834716,-2.5472212,-0.032518897,0.037834484,0.612504,0.7471723,-0.86596483,-3.3703387,0.088006735,0.5206781,-0.027600305,-2.584938,-0.26767498,0.5746883,-3.248487,0.6847954,0.5608274,0.4315436,0.5863762,-1.5941304
IFI16,-1.0998806,-1.0409675,-1.002499,0.043835953,-2.3175635,0.22195095,-3.4164255,0.98756474,0.25220317,1.2396262,-0.060690004,-1.9825958,1.4476701,-0.36024043,-0.12488877,0.19631563,0.09159263,-2.480552,1.0875217,-2.0381594
DUSP23,-1.1129456,-3.3454294,0.1755919,0.060656216,0.123094,0.42166764,0.41015327,-0.26187086,0.10039017,0.776139,0.65953654,-1.6277635,0.69290143,-0.49235868,-2.4228725,1.3806336,-1.5187347,-1.4112381,0.30966398,-2.0551505
