,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
32,1.854425,0.8793884,0.46100518,2.4022453,0.5089124,0.34898332,1.8159953,166.91936,2.7492194,0.3782201,0.43965414,4.3201823,2.4978876,2.491798,0.9680766,1.9935507,0.90231687,3.73663,98.02319,1.5314139,1.0991924,3.054031,2.9146698,1.249048
33,1.9752512,0.8236936,0.405365,2.003602,0.4209587,0.28260773,2.6256394,45.987766,11.458404,0.293359,0.48811716,4.2433004,2.566093,2.3009598,1.0106391,1.6151506,1.0690193,8.10913,96.5358,1.9486176,1.1981094,3.813331,8.775615,1.1661284
34,1.3736529,0.52344567,0.4107586,0.96418774,0.42939997,0.25430125,1.9180235,33.44945,2.435899,0.29704842,0.45961016,43.651363,2.460782,3.813309,1.2868913,1.8643515,0.9683876,8.383828,127.85525,2.3233664,1.1605984,3.5868614,11.501348,1.0381652
35,1.2888104,0.62647164,0.40101844,0.9292451,0.38567308,0.25114143,2.226807,33.870625,2.3035886,0.29316065,0.49370357,39.81973,2.6095908,3.2166507,1.1862503,1.9636217,1.0021955,8.886662,162.66647,2.4901426,1.2218661,3.8456326,12.304388,1.0631552
36,1.2547152,1.0688367,0.41764498,0.8654244,0.44951913,0.22139269,2.7575455,31.379583,1.8253284,0.27196214,0.51375496,26.135088,2.8840508,3.6265903,1.3446655,2.0949576,1.1614536,5.006648,429.89743,2.1132903,1.3028871,2.3066437,5.6125903,1.261478
37,1.4677669,0.63109565,0.5240806,1.0709761,0.61231256,0.41353917,1.6425376,127.88513,2.6605263,0.5516114,1.2630711,4.6271358,2.6838384,1.306159,0.9561473,19.3625,0.5720232,1.0659838,1.5077715,0.8770499,0.6706468,0.7822841,0.842264,1.5212106
38,1.4992824,0.56595457,0.5235562,0.93136716,0.66618896,0.40245378,1.8333129,308.41605,1.601161,0.5962473,2.2120118,4.3790846,2.5396247,1.1064867,0.9561473,19.3625,0.5720232,1.0659838,1.5077715,0.8770499,0.6706468,0.7822841,0.842264,1.5212106
39,1.3165231,0.6083622,0.5992693,1.0177469,0.570011,0.4043014,2.275255,292.55383,1.6449013,0.5027672,0.6859502,4.1887984,3.0303655,1.580053,0.7735704,51.79545,0.49926624,0.4347747,1.058162,0.94308406,0.4927871,0.7610861,0.7150333,1.4522407
40,1.3440133,0.5166407,0.64910233,2.9009657,0.46018898,0.49748024,1.8822043,115.46698,11.129669,0.512127,0.8365571,3.6198344,3.0703952,1.5680016,1.0111796,9.659887,0.5668532,0.84421444,1.5688398,0.9635399,0.6932488,0.8332442,0.8584161,1.1253769
41,1.3633426,0.67933875,0.6262201,2.8417633,0.5276104,0.41507423,1.7627293,69.26309,6.741167,0.45163924,0.8800847,4.610196,2.9050431,1.3626823,1.3139017,1.0794711,0.59540933,0.84458524,2.4631138,1.0332977,0.90435714,1.0144203,0.9616054,0.57280225
