,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9
425.0809919451843,-1.4586927,3.615916,2.9040787,-2.9684553,1.7409599,2.3159864,-0.72713894,-0.72548974,-3.5730593,-2.239827,-3.2053034,-2.2024102,11.00428,-1.9164975
425.9366505887358,-0.32241485,3.058406,0.77771586,-2.4853,2.8506882,2.884304,-4.5298967,-1.4989731,-0.22657292,2.1074834,3.4156795,-2.0747287,9.508337,-1.7589924
431.0332641709292,-4.1888638,2.2380774,0.34081733,-0.94031894,0.14133912,3.6379526,-0.44904724,-4.627127,-1.0359339,3.2102711,0.93594694,-3.62679,12.44679,-0.5461996
432.02560397087444,-0.69276047,2.9071736,-3.0682127,-2.0620103,3.1968699,2.769784,-4.742081,-1.344013,-3.4370348,1.5223619,3.3630114,-2.9778502,7.987136,-1.9426961
437.9553421313627,0.291853,2.1807292,-2.169522,-1.6725352,3.1871283,3.3412962,-5.3576293,-2.5885594,-0.6851195,1.7694244,3.786423,-4.8509226,6.0976133,-1.3880633
439.9524092951356,0.19682612,1.9253325,-4.0136,-1.5502812,3.2893033,2.9579442,-5.2097597,-3.4740465,-2.1280684,1.8780988,3.9980943,-3.9343204,0.9993938,-2.8826435
440.2657472665796,-4.7417717,-4.57789,-4.5900135,-3.989075,2.8631961,-0.14091724,-5.382231,-4.1218624,1.008942,4.0438,4.692996,-7.8457947,-10.299091,-3.5584116
451.9709186513586,0.14433965,1.3959534,-3.7779405,-3.2334535,3.4425676,3.35759,-3.8119018,-3.1251917,-3.9210193,1.905293,4.037438,-6.460608,-1.6788626,-2.4902356
457.90052695249165,-0.017869145,1.403353,-3.914124,-1.9875662,3.5794892,3.0858185,-5.043022,-2.842635,-4.1569204,1.928081,4.1006565,-5.6196237,-1.4276545,-2.8809786
459.8977515489512,-0.17199783,1.1815202,-3.7123628,-1.1486424,3.5335205,3.291373,-5.197608,-3.796131,-3.6698072,1.3843963,4.0510225,-6.7392755,0.83182025,-2.96386
462.0669641770816,-3.7775326,4.029087,-3.2182844,-3.695085,1.6558379,-2.5245543,-4.5145397,-3.4254007,-3.94755,-2.9189646,-2.5051308,-4.468199,-2.0723176,-1.485995
465.986391371257,-0.62102365,0.46001068,-4.3203044,-1.2929657,2.8575156,3.361882,-5.542737,-4.1409354,-0.42605788,2.9068072,4.0785556,-5.5931997,1.6568553,-2.925214
467.30165329986954,-4.498059,-4.226301,-4.171044,-3.9667656,3.1103551,-1.0936375,-4.9480495,-3.941195,-0.052422415,4.2051716,4.8217816,-7.4096336,-14.017641,-3.4547179
467.98362166700974,-0.52094734,-0.15474615,-3.9817123,-2.9977627,3.3572662,3.4210074,-5.349275,-4.336372,-2.0533185,2.8989062,4.285906,-7.024463,0.6150553,-2.7955918
471.91621148448985,0.026719654,-1.7111663,-4.072724,-2.8444011,3.3992126,3.5112777,-5.3380327,-4.580871,-2.695589,2.3689244,4.2872,-6.6226425,-4.208166,-3.0108843
473.91335764945956,0.112243086,-2.1360912,-4.258468,-0.9268483,3.4244437,3.3833895,-5.411736,-4.629351,-3.570018,2.5305116,4.35648,-7.017835,-6.6234846,-3.5127091
528.2732926516458,-0.36641338,-1.7009678,-3.8089724,-2.1585555,2.5695922,3.4557724,-5.8636656,-3.2648237,0.08821732,3.3548608,3.8188589,-6.2360754,9.844881,-3.5215871
529.2763089845431,-1.5662991,-4.1146717,-3.8009422,-3.665099,3.2524376,2.5723398,-4.935143,-4.656178,-3.831259,3.6005306,4.5993357,-7.447981,-5.6006584,-3.292436
556.2687527107976,-0.49830687,-4.568626,-4.115266,-3.381544,3.6736495,2.9166248,-5.4143615,-4.6083417,-4.6470103,3.0389173,4.4855094,-8.075464,-5.848835,-3.503314
557.4581092568693,0.4417591,-4.5723853,-4.119288,-4.1304607,3.9224231,1.0406902,-5.3059425,-5.107239,-4.5448823,2.5602837,4.552442,-8.205858,-11.6792965,-3.688844
583.4739266558681,-0.57907265,-4.214783,-4.035233,-3.934631,3.7222884,-1.4730965,-4.85864,-4.761456,0.26230252,3.4879806,4.810003,-6.7740793,-14.376083,-3.2559316
591.2693226296545,-0.42768124,-4.0992002,-4.2552924,-2.523159,3.3499453,2.632534,-5.071869,-4.4254313,-3.911256,3.407458,4.35856,-7.5200534,-5.098167,-3.132347
606.0749691379767,1.0396266,3.4231725,-3.9260476,-3.1605275,3.584616,-0.2495699,-5.3108244,-3.7231245,-4.1863494,-3.855729,-3.4394293,-1.4182009,-2.4747307,-2.5220714
609.5120455413432,-3.841814,-4.4246955,-4.011966,-4.2617097,2.9339998,0.00035867482,-5.0917244,-4.408281,0.31036347,4.1489286,4.92326,-8.359539,-13.16587,-3.1684773
611.1462666242135,-4.1542797,3.6744392,2.853846,-3.4030073,-0.9900654,-3.0884821,0.50919765,-2.32462,-3.49162,0.7852953,-4.0258746,-1.5864269,7.6450934,-2.0158463
611.5274919331004,-2.6279209,-4.149873,-3.9719923,-3.8982317,3.0378397,-1.3985802,-4.9971747,-3.933279,-0.50325555,4.133477,4.786381,-7.034936,-13.278078,-3.4044914
633.511752861228,-3.2304044,-4.516588,-4.44214,-4.1500297,2.9209423,-1.1424743,-5.0381856,-4.384979,1.0478292,4.1204515,4.801687,-7.4883194,-15.522272,-3.7606463
654.496269279783,-3.2570598,-3.4714315,-3.7700596,-3.9639945,3.8844378,2.675769,-4.8617826,-4.457526,-4.6115713,2.7912095,4.5556183,-7.769109,-5.670502,-3.4766686
656.51187934263,-3.3206258,-2.8700352,-3.9153187,-3.725425,3.9358761,2.095105,-4.970685,-4.638951,-4.114939,2.6672823,4.4428873,-7.280635,-7.7376184,-3.1824694
657.5118501948282,-3.9383729,-4.2920127,-3.9018447,-4.1623178,3.1149304,-1.2728709,-4.920621,-4.3789406,-2.0078921,4.0505157,4.857108,-7.685253,-13.4496155,-3.3498333
659.5264959269217,-4.1322107,-4.047389,-3.9145103,-3.7820268,2.6736245,-1.3898072,-4.842515,-3.8737829,0.79463935,4.25236,4.8426285,-7.0045433,-16.340366,-3.1331081
680.5129143532625,-0.9537022,-4.0401015,-4.252632,-3.7990954,3.7868152,2.2339547,-5.0505776,-4.8352056,-4.445262,2.9029536,4.6471534,-7.7205334,-8.661415,-3.6201715
682.528756123638,-1.8381687,-4.001055,-3.8913963,-4.0204844,3.9037235,2.0031319,-4.8151293,-4.481293,-3.0870945,2.6206975,4.568673,-7.600133,-8.363325,-3.4107752
771.5214283600535,0.96384597,-4.189672,-4.2043643,-3.8297715,3.9871755,2.0460367,-5.0680313,-4.1391206,-4.827604,-0.40260306,4.207041,-7.2337384,-7.3183393,-3.6771734
786.5324780449847,0.6403774,-3.9505296,-3.8891459,-1.9438609,4.167901,1.9895386,-4.9428687,-4.062949,-4.6506414,-1.0201012,4.488379,-6.5467587,-9.395199,-3.124153
788.5476587894711,-0.10668187,-4.3491445,-4.304745,-1.8500607,3.2397583,3.3480415,-5.3517146,-4.944686,-4.9356694,2.9334614,4.363498,-7.8287573,-2.5909915,-3.2722764
885.553757973446,0.16771258,-3.1998286,-4.348555,0.5064039,2.7369528,3.5205011,-5.7895527,-4.394911,-0.8306382,3.1657398,3.9158304,-4.946586,8.363606,-2.8514647
886.556970803666,0.22649707,-4.2432885,-4.3302956,-0.9492814,3.362103,3.1850462,-5.672663,-3.8819587,-4.3462057,2.7395608,4.3837132,-8.041524,-4.6583486,-3.4051192
887.563849728756,0.71976644,-4.2292256,-3.6095817,-3.5081136,4.149573,1.5298846,-4.821367,-4.8016295,-4.5704594,0.77279955,4.436307,-7.2025414,-9.278025,-3.171572
