,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10
602.6316334779631,-4.0771675,0.40577808,0.15905102,-4.5151296,0.32833362,1.0118393,1.414052,2.324032,0.48210543,0.772326,-12.786896,-1.4682574,0.2632797,1.7476447,1.7397988,-3.677114
602.9660757273422,-4.4555054,0.3298878,0.3280504,-4.2841015,-1.0266521,1.052143,1.3905789,2.3123915,0.47146702,0.75370246,-12.208436,-3.3845706,0.7106847,1.7447952,1.3397691,-3.1137056
603.2998283170422,-4.4331217,0.25517747,0.27004313,-4.171172,-3.0865839,1.1358491,1.274497,2.6100366,0.20832554,0.79828113,-11.652042,-3.2095833,-1.3518432,2.0108373,0.42422506,-3.294491
603.6335686535476,-4.0652184,0.21797507,0.5106345,-4.0614324,-3.2765353,1.028707,1.0307678,2.5219429,0.19105287,0.52485573,-11.45928,-3.0421362,-3.1706028,2.1619725,-0.301037,-3.8692095
610.3291443798283,-3.8059356,0.005557482,0.20139965,-2.9272063,-1.7260319,1.1592423,1.3224599,2.4989884,-0.449782,1.1304917,-7.7499466,-2.960683,0.6727574,1.8046415,0.7316902,-3.1687567
611.3324826283111,-3.5697582,-0.6537901,0.011234914,-3.7105474,-3.6831872,1.637821,1.7661295,2.208728,-0.93960196,1.4115814,-9.99288,-3.1929407,-0.79209894,1.9473436,-2.9944954,-3.153006
611.9828288944624,-4.131081,0.39819032,-0.03149482,-4.676569,1.4921048,0.71182644,1.3214673,1.8681732,0.66848165,0.57628936,-13.334635,0.80529404,1.3831636,1.2674763,2.0485847,0.8182681
612.6507417911749,-4.4532304,0.4338708,0.10786885,-4.51513,0.83297443,0.9074718,1.425179,2.090139,0.6810148,0.71627545,-13.140751,-0.32703885,1.4539264,1.5523286,2.0010042,-2.9243267
612.9845472297768,-4.2686763,0.3639568,-0.06783995,-4.423393,-3.7827406,1.2378423,1.6714318,2.3817449,0.7826624,0.8701632,-12.623146,-3.6511862,0.90784365,1.9677627,-0.5737861,-3.7975912
613.2314676950899,1.7987345,-3.7966564,-4.5133677,3.630436,-1.446752,-4.4371324,-4.0429115,-4.237185,-2.915641,-4.225423,4.7872434,-2.0261915,-3.3258696,-3.8665636,-3.448795,3.1996734
