,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
31,0.7221422,1.0862908,0.5852623,0.44604677,0.29696435,0.6428192,1.8719132,3.1760478,30.869823,1.1515741,1.9538412,0.5541382,2.1752434,35.532803,0.60443044,0.57836854,0.481452,0.3364489,0.8624307,1.0024614,0.4493151,0.4917002,0.7745463,0.7354822,0.875812
32,0.71484005,1.3406308,0.4791175,0.41781902,0.25569627,0.6865556,2.0265167,2.7003462,21.153992,3.1278157,1.9718475,0.47637454,2.326502,25.359959,0.5262028,0.7265832,0.3022917,0.266822,1.0116832,1.2727547,0.34355596,0.48840398,0.8286711,0.94510156,1.1109691
33,0.73036784,0.9985415,0.3546087,0.34882262,0.19943231,0.39632678,3.1025453,2.0698788,10.72035,6.6329155,2.3462665,0.46525034,2.6889427,21.949951,0.46963304,0.66118205,0.33770946,0.24846508,1.5159283,1.3178706,0.33388534,0.5503158,0.8241078,1.2763864,1.0573484
34,0.85995877,1.0262358,0.39267617,0.35767204,0.1945737,0.42603415,3.0671391,1.893857,9.981976,6.4541736,1.9244596,0.5508348,2.1944888,43.372925,0.59624505,0.7978914,0.5128681,0.23790647,7.245134,1.5386412,0.32840464,0.9037604,1.0781323,3.9585862,0.981094
35,0.7540874,1.8909328,0.5068515,0.40390706,0.28385794,0.79144025,3.5832286,1.8929158,2.3338816,5.564744,1.958996,0.6123964,1.4787526,63.54805,0.6381692,0.6407836,0.5057763,0.22892526,7.30644,1.5147898,0.2333467,0.7368937,1.151252,4.06185,1.1369731
36,0.5229454,1.9378138,0.50096524,0.30964524,0.23652735,0.528578,5.9268394,1.0359782,1.8236415,7.534209,2.1499639,0.5462401,4.8366976,22.497475,0.74545,0.4632579,0.56349057,0.24435408,6.499359,1.3305258,0.2846455,0.85823435,1.0423045,3.3770752,1.0103731
37,1.0427724,2.7571182,0.75771594,0.3381489,0.34958616,0.83184075,2.5328977,1.8648984,1.5929294,4.4019017,2.3164558,0.4812466,5.5988884,11.107139,0.73929244,0.4471269,1.2063507,0.59994227,1.3192532,0.99511296,1.3723598,1.482857,0.85926247,1.2287246,0.62241006
38,0.84810257,7.446726,0.6682515,0.32219657,0.45217443,0.94868267,1.4377979,1.5896451,1.6283371,1.8507783,2.7302394,0.51448256,6.382596,1.9231164,0.94220686,0.4255431,1.4034259,0.62056834,1.2759161,1.972353,1.1083096,1.3383642,1.3499861,2.2404284,0.9459697
39,0.6279546,1.4765743,0.7398693,0.4312412,0.38211852,0.8601881,6.0703173,2.7752235,2.259679,0.90294266,1.9848095,0.61172503,2.1038764,63.619633,0.67599165,0.56415075,0.88451654,21.4884,2.737342,1.221697,0.69087476,1.2541647,1.0490043,1.0144441,0.97655374
40,0.5678295,1.1640985,0.8776058,0.4749482,0.5782283,0.89461434,5.6906414,2.6368775,1.4318738,0.9642379,2.0780978,0.58440286,1.5221186,46.848392,0.60291564,0.9321396,0.88451654,21.4884,2.737342,1.221697,0.69087476,1.2541647,1.0490043,1.0144441,0.97655374
42,0.6937545,0.88919115,0.52202535,0.38591978,0.26416564,0.5264215,2.6272995,3.1115732,26.001072,1.2326612,2.244309,0.6138465,1.5818353,42.309357,0.59564126,1.0002689,0.50032705,0.4070556,1.1250485,1.3891397,0.43354917,0.62489563,1.0582016,1.0042648,1.5338577
