,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
FMO1,-2.8744235,-1.9885191,2.241008,-0.040173743,-0.5408224,1.1279672,-2.3412924,-2.6531944,-2.4027698,-2.5705194,-1.3256924,1.4963619,-2.0105212,-1.8976368,-2.3265128,-2.3111074,-1.7608049,-2.0341082,-1.8301187
PRDX6,0.1043417,0.44960356,-0.27153778,-0.19728664,-0.25349575,-0.14422582,0.28261688,-0.5734175,0.8382297,0.6550268,-0.46464127,-0.44784823,0.40654466,0.56276274,-0.15994272,-0.16990246,0.026178867,1.0848575,-0.39630598
QSOX1,0.8751365,-0.6989456,0.3883413,0.4325877,0.3209792,-1.4600927,-2.9200532,0.47742334,-0.78546107,-0.3948216,0.100788444,0.48512203,-1.2009779,-2.3718832,0.22458367,0.9536426,0.4675241,-0.47535452,-0.39165705
GLUL,0.46553144,-0.11744761,-0.41537252,-0.36427176,-0.21896552,-0.4287184,-0.13915984,0.57336783,-1.3835709,1.2031994,-0.85081714,-0.06934497,1.1137099,-1.9973258,-0.9943418,1.0753095,0.6336811,0.030711427,0.12849157
LAMC1,0.8000827,-0.5194779,0.10570723,-0.13640824,0.33271185,-0.5553073,0.44243038,0.58341306,-2.204654,-0.08150555,-1.9960481,1.0103531,-0.09577495,-2.5456839,-0.046451334,1.1113403,-0.66513896,-0.98816305,0.1958258
ARPC5,0.08355739,-0.45302093,0.1437472,-0.04227521,-0.044624805,-0.01681314,-0.8932114,0.58605474,-0.5327397,0.8783259,-1.6036457,0.8700716,1.0790615,-1.2426418,0.18449895,0.7795552,-1.6657394,-3.051381,0.4447881
IVNS1ABP,-0.015365428,0.57015246,-0.41662812,-0.49081454,-0.48313028,-0.19804499,0.7116038,-0.3404956,-0.30983984,1.0403218,-0.6946028,-0.71222407,-0.41288385,0.96431494,-1.1712179,0.014489146,0.9170395,0.34255868,1.0073904
RGS1,0.45819703,-2.5493846,-1.017256,-2.085988,-1.7479508,-2.5527995,-2.308424,2.1872313,-2.3699586,1.6717278,-2.083975,-1.9117984,0.0034783946,-2.0566728,1.1093065,2.4132946,-1.8749923,-1.573564,1.0193416
CFH,2.077324,-2.76846,1.9105767,-2.6380494,-2.8177867,-1.8664178,-2.1820354,-0.80968165,-2.1672192,0.8241454,-2.388416,-2.097099,-1.6017827,-1.6713532,1.1193717,2.1139312,-1.7023917,-1.7757815,-1.5059845
TMEM9,0.21930715,-0.6096411,0.45940694,0.020669,0.46025956,-0.20531662,-0.7174464,-0.5366417,1.2463133,-3.1428006,0.80236083,-0.636429,-2.90967,-1.754759,-0.3451511,0.26354972,-2.7663808,0.9069982,-0.80930287
PHLDA3,0.23502883,-2.49497,-0.11043763,0.48403102,-0.022623261,-0.030819058,0.72694355,0.4520632,-1.9414814,-0.07608724,0.7022001,-2.0190885,-2.529813,-0.85243016,0.57133114,0.6665358,-1.1811559,0.3319151,-1.6171412
CSRP1,0.24813576,-0.83436316,-0.43173304,0.18378355,0.21369222,-1.1106641,1.1233785,0.33818236,0.93024826,-1.5901961,0.8006349,-2.074041,-2.8849578,-0.16267489,0.031932984,0.76040506,-2.8269746,0.79542065,-2.7914557
ADIPOR1,-0.53805244,-1.3045808,0.526616,0.14841053,0.81582737,0.3068451,-2.002136,0.6952252,0.32626292,-2.0440097,-0.43101683,-0.036930047,-0.838921,-2.2717054,0.6142353,0.60506475,-1.4298011,-0.638611,-1.4725755
SNRPE,0.38297677,-0.31057778,0.06492889,0.23155634,0.39810178,0.539273,-1.1764073,0.19693379,-2.6502635,-0.045769088,-1.1504828,0.9812419,-0.25832596,-2.4663177,0.7671712,0.16412392,-0.26459396,-0.3793043,-1.5298345
REN,-3.181706,-2.8291185,0.89633405,0.3343062,-1.8872921,-1.3597126,1.5684713,0.14066745,0.4822929,0.92534715,-2.5979943,-2.284886,-2.6976898,0.63507426,-0.954987,-1.5906341,-1.7491896,1.9915475,-1.3320115
CDK18,-0.2036418,0.5055177,-0.102986895,-0.42159387,-0.4710697,-0.057673234,1.0939693,-0.85278505,0.6971196,0.18374205,0.061387286,0.34264287,0.18584903,0.45301768,-0.87519747,-0.6143498,0.8612114,0.68569905,-0.35956758
NUCKS1,0.2503562,0.61159056,-0.11010889,-0.28181437,-0.22845495,0.05850456,1.0034975,-0.668135,-1.1531148,0.48400715,0.06422788,-0.28073093,-0.21965139,0.2944437,-0.14880963,-0.12752903,-0.27161765,0.773719,0.754069
