,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 6,ATAC private topic 9,ATAC private topic 10
611.9828288944624,-4.086527,0.41876346,-0.049410563,-4.7114916,1.5334848,0.71498036,1.3117373,1.9186031,0.6996746,0.50804293,-13.34173,0.87008494,1.3297198,1.2347605,2.34133,0.54621106
612.6507417911749,-4.4479103,0.46146125,0.10111784,-4.53715,0.8454398,0.91471666,1.4246174,2.1566284,0.70506155,0.6525582,-13.269266,-0.30592975,1.4117532,1.5004293,2.251411,-3.0295687
612.9845472297768,-4.2522035,0.39378297,-0.07326723,-4.4356794,-3.8118837,1.2361541,1.6805177,2.4467292,0.7660051,0.8068868,-12.754944,-3.6542456,1.0431798,1.9150242,0.06285834,-3.8539042
613.2314676950899,1.8156282,-3.8068552,-4.537479,3.649405,-1.4503334,-4.4497075,-4.075455,-4.265025,-2.9890592,-4.2268953,4.746972,-2.0363352,-3.3229475,-3.9122286,-3.4078183,3.2722166
615.4957687178843,-2.2132702,-4.0150504,-4.3312764,3.8241231,1.6462728,-1.1057663,-3.6761916,-3.378777,-3.993184,-4.0059924,2.4500256,-2.3965566,-3.161551,-3.6280336,-1.2760682,1.9612476
617.307072248301,-4.4345202,0.34439605,0.32392943,-4.380804,-1.1306711,1.0175948,1.4563899,2.5537705,0.3348057,0.694427,-12.607037,-2.9642098,0.5904269,1.685831,1.3354522,-3.6590955
617.6419495365926,-4.348507,0.26536655,0.20716375,-4.327339,-2.494242,1.0247214,1.3804052,2.575667,0.06519961,0.69194645,-12.537233,-2.8221412,0.25535017,1.8239478,0.68433213,-3.6443944
617.9753606282869,-4.426372,0.49483097,0.27412465,-4.153567,-3.2446456,1.0919212,0.9503884,2.5641885,0.44506407,0.7523914,-12.409608,-3.8398817,-1.4304283,1.9871105,0.7632485,-3.4222884
618.3091164648787,-3.9809752,-0.43843064,0.43277764,-3.8962,-2.9184554,1.3259653,1.3359938,2.6934712,-0.1349634,0.4558936,-10.93504,-1.8540187,-2.4395876,2.1155043,-2.284,-3.3976226
626.0084241371368,-3.891724,-0.5159726,-0.077746995,-3.6597533,-3.4092846,1.8333033,1.2305862,2.5628207,-2.4228892,1.27735,-10.296049,-2.740635,-2.8801892,1.7830197,-3.0566652,-3.254192
626.6576566538322,-2.7834673,0.37233764,0.075517684,-4.576081,1.4031574,0.71452326,1.3481829,2.0181894,0.5959936,0.54612017,-13.469638,1.1605462,1.38152,1.3129265,2.4010842,-0.68667597
626.9925645287154,-3.783269,0.4177782,0.098785475,-4.6131897,1.166561,0.78938997,1.432457,2.0295773,0.7252203,0.5896123,-13.104367,0.82699406,1.3863192,1.4200189,2.2711802,-2.5049412
627.3258403263696,-4.1999645,0.5603218,0.18136413,-4.4132714,0.20602827,0.94853586,1.5095122,2.328402,0.73984504,0.74099886,-13.095923,-1.4184222,1.3431525,1.6016264,1.9916562,-3.5203013
627.6600715072444,-4.5522566,0.15215597,0.1491552,-4.4358373,-3.7810254,0.9997828,1.6313459,2.5090609,0.82643026,0.75106615,-12.390872,-3.4495866,-0.25717866,2.0147758,-2.1000192,-3.6848748
