,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7,Protein private topic 2,Protein private topic 4
84_7,16.870655,2.7154675,1.2030177,0.83147216,0.8657711,164.59683,2.4886937,1.8655245,1.7799833,4.334597,0.7348878
97_56,17.184149,3.2012262,1.7824788,0.82508147,0.54932755,29.311817,1.767619,4.613848,0.95586586,4.893629,0.5441895
39_53,13.042241,2.3921542,11.623083,0.52648544,0.77648973,6.5387087,3.0902305,1.1871954,12.954162,4.6459384,0.590245
102_39,3.0452492,61.695885,0.63388336,0.76932514,1.4847721,3.6087945,0.74420315,0.88904697,0.6286155,2.3252351,1.266532
118_68,22.177046,2.129071,12.965472,0.79346603,0.57152665,3.4570985,1.3883731,0.8183765,0.6028614,9.220421,1.4356368
101_45,15.758709,3.9586916,0.951516,1.4001577,0.7462989,29.435846,1.2148613,3.1338463,0.9155987,15.20503,0.79651856
38_32,11.236798,4.584331,1.3493991,1.3428986,3.385475,5.123026,1.481247,0.94726104,9.498801,2.9603221,0.604957
125_59,8.675276,2.7131903,27.355392,1.0416315,0.8596414,3.6719036,1.7701442,0.9451751,1.431401,17.110521,1.2338026
56_42,27.335983,2.8921192,2.543102,0.96445036,0.79239273,7.912221,1.999199,1.0229071,1.4765508,5.6583567,2.2155244
44_24,15.765356,3.0562632,2.0822644,1.7575462,1.0745386,10.782953,0.7991808,1.4248037,3.4466996,6.8881445,0.658279
111_58,9.693317,3.1613379,6.725047,1.1492175,0.753427,22.589518,1.5827136,2.619093,0.8101522,27.82618,1.7499697
103_38,2.754809,84.4663,0.6057376,0.57697815,1.9387071,2.0604749,0.7933043,0.56096905,0.7203612,2.6847672,1.2819009
80_44,2.3507438,26.562946,0.6145203,0.65561783,1.7659271,2.2434332,0.8126674,0.6187977,1.0396441,2.0337386,3.054444
103_27,2.4208772,47.196426,0.5880581,0.6146391,1.9407904,2.1655216,0.7709803,0.76677763,0.6263485,4.1762867,2.1384492
84_19,2.3607378,36.70565,0.4696632,0.51017857,12.502769,1.3539147,0.65100753,0.3987611,0.5095824,2.4094348,2.5090554
98_39,8.928986,3.567819,0.8591578,2.4982522,0.8733584,18.67686,1.1294013,5.4922757,1.099215,5.6862507,0.8100522
94_51,33.83563,2.8077736,0.97372276,0.984644,0.67213315,18.604898,1.1552522,1.5359063,0.9820742,9.494995,0.6677493
51_40,2.1710677,33.910492,0.6233294,0.513097,4.1098366,1.2226843,0.7076991,0.29391882,1.0792136,3.4036446,4.2153034
85_55,8.7096195,2.9969788,37.88756,1.2698479,0.6368937,5.8137403,1.0561581,1.7662741,0.65458417,32.08099,1.8664939
56_31,2.6685383,27.132645,0.7150732,0.7608123,13.639973,1.9762604,0.9007741,0.5014446,1.2147113,3.2063572,1.0966071
85_38,10.786411,3.124724,1.2259765,3.6847563,0.80703264,29.772171,1.1663555,1.4943234,0.6437709,14.765625,1.0016338
77_31,2.31673,34.12471,0.51258665,0.5956643,13.177993,1.9092503,1.0194535,0.62798846,1.289962,2.6427155,2.4446037
40_23,13.005037,2.737408,1.4587073,0.89902306,0.5066746,83.96201,3.6700633,1.4876066,2.173869,5.6907477,0.9397759
101_37,2.9203954,34.280636,0.5080842,0.8280959,1.3377224,4.469999,0.88785666,1.1671114,0.98008984,2.3925426,1.0500678
102_56,16.34082,2.9792185,1.8063545,1.0527229,0.66790116,44.07319,1.3810145,4.51313,0.89488786,14.345448,1.1375813
72_17,5.8023233,4.549403,0.8503654,9.418826,1.4258687,12.029999,1.2180592,4.1995206,1.346749,11.7560215,1.5155371
100_32,7.644153,5.065375,0.78278303,1.5839261,0.9060249,23.569715,1.1562423,3.4036484,1.0438478,5.602896,0.6767539
73_4,22.81842,2.0406926,4.902789,0.71656054,0.4440326,8.770448,1.6491526,1.0973994,0.6911971,4.429372,1.08293
83_2,36.28773,2.4144955,2.5074852,0.936952,0.5045326,5.973386,1.0801324,1.1939428,0.6578105,3.8954577,0.7064117
80_12,13.752151,3.3264074,1.0529597,1.7145523,1.0621333,15.890789,2.2549872,0.94669,6.8879957,4.241973,0.65748477
39_36,6.5883894,3.6383219,1.7551436,5.5423813,1.0680072,16.853647,1.6464831,2.114651,2.577843,6.3794594,1.2636447
99_60,50.478153,2.081919,4.6363716,0.6802621,0.47193524,3.457232,1.0858831,0.7183422,0.5830494,6.0412207,1.0699375
76_41,2.8902984,19.17941,0.6905585,0.83799785,1.4076805,3.605115,1.1286001,1.1042615,1.205789,2.3441808,5.5855956
74_45,11.638695,2.7826092,5.7955685,1.1649439,0.37212655,10.674263,1.5548129,0.9399638,0.6208362,8.334784,1.2343773
71_21,2.818198,32.63078,0.7147702,0.75323606,12.74181,2.1803627,0.93230695,0.6047577,1.02988,5.513589,1.3483671
40_21,16.269676,2.3054895,4.710399,0.7557938,1.0486104,3.091309,22.276043,1.0168433,2.8578277,5.209244,1.4248115
77_33,2.2381358,43.850822,0.5064279,0.46867722,2.4521124,1.9834232,0.6513702,0.5954921,0.8112607,2.2205472,2.359299
