,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7
Ttc17,0.69203675,-1.3404777,0.578975,-0.71741563,-0.4086041,0.046658736,0.31863746,0.033073157,-0.103507906
Api5,0.45242786,-0.6155273,0.16068059,-0.021102028,-0.010246736,-0.027535375,0.25919178,0.0127695715,-0.046945006
Rag2,3.744238,-7.959092,-0.07848158,0.9571892,-1.5431097,3.2256575,-0.482284,0.8081244,0.08372785
Traf6,0.84530455,-0.43252337,-0.75384927,-0.3769355,-0.14984825,-0.047239386,-1.0275174,0.082670785,-0.21428941
B230118H07Rik,4.062971,-7.5291586,0.84145457,0.05621575,-1.671324,3.0427792,1.1049203,0.6991272,-0.33056104
Ldlrad3,2.6818557,-6.1263123,1.167399,-0.43262327,-0.93499625,1.4515446,1.1316776,-0.030202974,0.45752445
Trim44,0.9948578,-1.4024264,0.5295391,-0.12423793,-1.0148258,0.14878231,0.3236275,-0.1141227,-0.65549296
Rag1,3.304793,-9.213055,0.40103418,0.82204646,-2.2378383,2.8324463,0.43964317,0.7411733,0.8872338
Cd44,-2.2334497,3.1697068,-1.2812109,-0.25108647,0.87502146,-1.3787221,-1.231764,-0.92781866,0.93755466
Cat,0.4166631,-0.7785919,-1.1625885,0.05033074,0.15280075,0.16709143,-0.5147906,0.093125366,-0.39174205
Fbxo3,0.8741893,-1.5087119,0.09198294,-0.02176424,-0.12683906,-0.0131249875,0.03940881,-0.029043186,-0.020019984
Caprin1,1.3273082,-1.6879449,-0.08285138,-0.55837584,-0.18287891,0.4717145,0.33779263,0.44617358,-0.7574093
Abtb2,1.3488522,-3.1063688,0.8114696,0.012162687,-0.8183445,0.040207893,0.4824636,-0.22814162,0.280302
Cstf3,0.68825895,-1.5101671,0.43446067,-0.02493775,-0.08147715,0.06126149,-0.19069546,-0.019411743,0.0548835
Hipk3,-1.1060313,1.5007579,-0.3864137,0.035449564,0.28818098,-0.17294623,0.59104556,-0.042008717,-0.745444
Eif3m,0.6588538,-1.5986502,-0.039519813,-0.08193814,-0.004505547,0.15395638,0.0193821,0.0052009095,-0.69443816
Ccdc34,0.03161469,-1.4945656,-0.1572076,0.47951373,-0.95541215,0.067037135,-0.8902526,0.30457756,-0.40410504
Lin7c,1.1405675,-1.6162107,-0.48338538,-0.25136104,-0.9693267,0.77419513,-0.23638964,0.15426704,-0.62319887
Nop10,-0.08972067,-0.37481678,-1.4725426,0.15181725,-0.5172139,0.015458841,-0.36311802,0.44578788,-0.13699658
Slc12a6,2.0533695,-4.4885654,0.80858296,-0.11866447,-1.2069124,0.8268763,0.18083571,-0.33907804,0.3137056
Aqr,0.74059236,-1.1183069,0.23990151,-0.13908133,-0.9011803,0.024237927,-0.35552186,0.017668186,-0.0764166
Fam98b,-0.5961171,0.26072577,-0.6526254,0.042733278,-0.24906012,0.007052095,-0.95100844,-0.040920187,-0.058343064
Bmf,2.6056073,-5.274986,0.24935147,0.2142205,-0.7973775,1.9622443,0.28143415,-0.34149235,-0.26558977
Rasgrp1,1.3101839,-2.923915,0.036990445,0.2302467,-1.3717526,0.7160692,0.20153904,-0.014334313,-0.158476
Bub1b,0.5561776,-4.3630733,0.75353646,0.88496506,-1.1085187,0.4349464,0.57431144,0.50546944,-0.7529331
Ino80,1.0318054,-1.6247485,0.814531,-0.3264369,-0.01617866,0.119334966,0.6655116,-0.29931232,-0.6654022
Nusap1,1.4439732,-5.391756,0.5667452,0.44815588,-1.0119778,1.7027444,0.5610728,0.67081916,-0.6007043
1700020I14Rik,0.14748806,0.57440364,-0.8016066,-0.4141115,0.17029256,-0.14993894,-0.52518106,-0.011564648,0.60663545
Rtf1,-0.34634715,-0.08904623,-0.7698912,0.0122801345,0.019046132,-0.013818348,-0.796359,0.0041525858,0.29446945
Mga,1.2119148,-2.076412,0.2773348,-0.3203695,-0.24848638,0.112884365,0.18752642,0.036891244,0.2649919
Tmem87a,1.954611,-3.558608,0.71246856,-0.5007603,-0.6672996,0.4711644,-0.8110459,0.15301473,-0.2494788
Zfp106,0.24196354,-0.5836608,-0.70982933,0.056734048,-0.56312525,0.011519379,-0.7160834,0.017054398,-0.0810656
Ubr1,1.3095925,-1.738729,0.60269624,-0.20191745,-0.27121016,-0.18411335,-0.75044835,0.0385229,-0.30587935
Trp53bp1,-0.95241034,1.6723266,-0.75139296,-0.13586414,0.69465244,-0.2984273,-0.7345884,-0.10092009,-0.27341083
Pdia3,-0.9837228,1.944435,-1.3996814,-0.020188903,0.4288795,-0.028351933,-1.1782658,-0.05463787,-0.8568501
Ctdspl2,1.2470065,-2.3826804,-0.19498539,0.0576538,0.078659564,0.28837955,-0.2050943,-0.081175685,-0.17896248
Patl2,0.7017132,-1.3872983,-0.36906323,-0.06113453,-0.84798753,0.1264089,-0.08500818,0.10665358,-0.039025597
Myef2,1.8762372,-3.260961,0.7433331,-0.30427134,-0.8628935,0.09777209,0.40879387,0.14043996,-0.5632511
Dut,1.2964666,-3.6095428,0.17963299,0.43846595,-0.9766096,1.0342919,0.032325268,0.8608532,-1.0533692
Eid1,-0.9428211,0.6769579,-0.4127398,0.114100896,0.33758965,-0.125184,0.013655984,0.026386864,-0.2532646
Secisbp2l,0.8614415,-0.9513439,-0.7916372,-0.21210362,-0.44361585,0.21648316,-0.90587664,-0.10158831,-0.3885603
B2m,-2.6906724,2.4222755,-0.5585187,-0.13985002,0.9890947,-2.8818345,0.029208342,-0.15807325,-0.15761544
Gabpb1,1.0460963,-1.8503425,0.7995208,-0.6043375,-0.8773327,0.035477,0.9180325,-0.12766255,-0.49752745
Usp8,-0.42922732,-0.3335739,0.5867622,-0.032780226,-0.29763895,-0.15562329,0.14561486,0.038568765,-0.24258092
Sppl2a,-0.17766114,0.20450106,0.034027822,-0.3490541,-0.12782598,-0.001404856,-0.15668352,-0.007745722,0.07358926
Snrnp200,0.18618959,-0.6330569,-0.61972636,0.058577307,-0.47601074,0.05105389,-1.2312901,0.15907112,-0.5473376
Tmem127,-1.2375298,0.72227037,0.45111656,0.027393509,-0.19549808,-0.11517381,-0.26098984,0.0053964155,0.21332306
Stard7,-0.9241173,1.123667,-0.6462551,0.101255246,-0.6743843,-0.20557338,-0.99978304,0.010708165,0.5607724
Dusp2,-1.47859,2.3011472,-0.8369861,-0.4437086,-0.031187637,0.06126672,-1.1542096,-0.42878184,-0.31139228
Bcl2l11,-0.10662855,0.6841976,-0.34052527,-0.39579344,0.23606205,-0.031903744,0.5437091,-0.04615017,-0.39014387
Anapc1,1.4565573,-2.1133146,0.32421178,-0.33369473,0.05649435,0.15348676,-0.46926674,0.16805618,-0.96900123
Sirpa,-2.990056,2.023282,-0.5621436,0.72598314,0.0051105428,-1.325601,0.4582231,-0.2755374,0.46318072
Snrpb,-0.15914506,0.08140113,-0.81690335,0.028834384,-0.16842337,-0.012798104,-1.6089879,0.09038791,-0.10868162
Ptpra,0.7348498,-1.8536426,0.7183939,-0.27105558,-0.7594808,0.36877474,0.76346284,-0.117898636,0.10191084
Ddrgk1,-3.6327128,2.9149628,-0.7510765,0.59125525,0.7772823,-1.7509243,-0.9210356,-0.41573766,-0.22582968
Atrn,1.2572296,-1.6775429,0.51417387,-0.4289237,-0.30161738,-0.019782994,0.5418558,-0.010027523,0.2750693
Pank2,-0.15316951,0.2946583,0.2678921,-0.38428134,0.13984685,-0.010723616,0.020799978,0.005424144,-0.053459063
Prnp,-2.9547331,2.9138095,-0.7879788,-0.26567042,0.66215765,-0.92704976,-0.4435868,-0.07367733,-0.19007511
Rassf2,-1.673495,1.5386398,0.033766046,0.09255498,0.037532445,-0.60667557,0.36521733,-0.26967657,0.18729177
Cds2,0.024327122,-0.21560994,-0.18406963,-0.009886353,-0.018440701,0.0035459995,-0.8878064,-0.0030437533,0.061298035
Gpcpd1,0.08959219,-0.30256733,-0.070152186,-0.005344693,-0.2554418,-0.024288736,-0.46671218,0.0030555045,0.0331769
Tasp1,1.9059162,-3.5492814,0.5215891,-0.24830815,-0.86336493,0.93771875,0.3153527,-0.008464499,-0.15008494
Macrod2,-3.0024738,3.0818698,-0.053559113,-1.050156,0.6300133,-1.8818408,0.16440828,-0.5428614,-0.3869932
Snrpb2,-0.20698547,0.39680246,-1.2947096,0.04700811,-0.20341714,0.06926829,-1.0943751,-0.09070552,-0.20095547
Rrbp1,-0.907333,1.5241735,-0.20143765,-0.03481815,0.1894947,-0.18916267,-0.94786274,-0.20255978,0.13163841
Snx5,-0.18445252,0.051875472,-0.2545813,-0.018656265,-0.358891,0.0023637242,-0.9584094,-0.0007257274,0.018718768
Sec23b,-1.0791246,1.8456085,-0.36086747,-0.27619892,0.29275396,-0.5958879,0.15427163,-0.11857879,-0.006057177
Crnkl1,0.08040851,-1.0497999,-0.621174,0.14470814,-0.45137623,0.053201392,0.066201895,0.13646896,-0.060764473
Ralgapa2,0.6447265,-1.0600574,0.5257858,-0.07579206,-0.43316257,-0.08562064,0.43013597,-0.01832086,0.28904295
Pax1,0.8565519,-3.4156666,0.1667763,0.67283845,-1.3325467,1.1877918,-0.15645015,0.40498888,-0.49140638
Acss1,0.42738086,-1.3103766,0.21714634,0.12286723,-0.21668747,0.021327045,0.7573323,-0.03281668,-0.2210831
Cst3,-4.492453,3.7900221,-0.8879623,-0.62766606,0.8581246,-3.1272008,-0.6201364,-0.33088848,-0.5666529
Fkbp1a,0.7147148,-1.8054419,-0.21318187,0.12575871,-0.57567495,0.0298943,0.24306223,-0.028969329,-0.351257
Csnk2a1,0.012735855,-0.508945,0.10622854,0.045791037,-0.23062012,0.002228937,-0.23993468,-0.006888314,0.029645797
Rbck1,-0.58874756,1.111478,-1.042678,0.07039708,-0.15693924,-0.13669312,0.18289621,-0.008974918,0.07835824
H13,-1.2394632,0.78844744,0.042990662,0.265526,0.38754776,-0.22219688,-0.11489037,-0.038141415,0.16552389
Tpx2,1.302583,-2.9670064,0.64851683,-0.25118187,-0.5960641,0.40487295,-0.27398795,0.030395618,-0.14236137
Bcl2l1,0.37837082,-2.5167832,0.39618972,0.46115172,-0.28644794,-0.11252604,0.409796,-0.022762595,0.40916988
Plagl2,0.8683585,-0.85382426,-1.3008205,0.03725515,0.2677053,0.27720475,-0.7306153,-0.13618752,-0.3642393
Asxl1,0.68572927,-2.0710745,0.34915146,0.18136933,-0.21496563,-0.06466382,0.6726245,-0.0373205,-0.10361079
Mapre1,0.16184297,-0.31488213,-0.43962643,0.014576846,-0.05171286,0.05723904,-1.4212575,0.058917984,-0.13755104
Cbfa2t2,0.29922527,-1.210515,0.7430376,-0.043274265,-0.25265047,-0.0050311415,0.67129475,0.015554899,0.26781476
Chmp4b,-1.1113062,1.4659696,-0.44555894,0.17471835,0.44071078,-0.16024813,-0.6861119,-1.028105,-0.3900414
Eif2s2,-0.6235913,1.0766728,-0.82818633,-0.27783644,-0.66959083,-0.21805128,0.12684529,0.06565478,-0.19560036
Raly,1.8176029,-2.0555756,0.46439677,-0.49033198,-0.7585758,0.28128934,-0.61312103,-0.056245584,-0.2776103
Itch,1.2708187,-3.1535478,0.3844784,0.33646402,-0.44893336,0.17066497,0.23537837,-0.25047,0.25479147
Map1lc3a,-3.3359082,2.6150947,-0.6333721,0.23043983,0.739824,-1.0939702,-0.87657803,-0.123523235,0.14486553
Dynlrb1,0.857087,-1.1476271,-0.63434464,-0.17655778,-1.1268226,0.8520485,-0.9834273,0.6401865,-0.88690394
Eif6,-0.47149897,0.39900386,-1.1683879,0.019362172,-0.4149938,-0.26457134,-0.26770893,0.102015615,0.09420414
Trpc4ap,0.6805727,-1.9526327,0.14829709,0.06900346,-0.17335923,0.06472378,-0.19483985,-0.018318215,0.13796265
Cep250,0.8091378,-0.9935379,0.15700932,0.04574457,0.077462375,-0.07213107,-0.9834933,-0.05118325,0.21178962
Ergic3,-0.90201676,0.29765594,-0.022832742,0.054334797,0.21168189,-0.09101285,0.55274737,0.0105093345,-0.1044504
Cpne1,1.0742956,-2.0919802,0.61319184,-0.26308396,-0.9220123,0.12497049,0.3372119,0.38522545,-0.43988988
Romo1,-1.5790597,1.3357962,-0.6037648,0.415548,0.06626655,-0.37499037,-0.1665814,-0.16980413,-0.44341534
Phf20,0.6493019,-2.7059324,1.0680019,-0.13917243,-0.22063658,-0.22421187,0.92902035,-0.1892166,0.57094896
1110008F13Rik,1.2975025,-1.1954421,-0.55940926,-0.8541662,-0.3589712,0.73757154,-0.6629469,0.5189054,-1.0875118
Rbm39,0.80017066,-1.6002539,0.4178588,-0.048206594,-0.5663324,0.17847335,0.26627558,0.01066648,-0.3797151
Samhd1,-6.422188,5.3644032,-1.6078249,-0.75667834,1.3635526,-4.511956,-0.9441948,-1.310008,-0.66657585
Ctnnbl1,0.6017345,-1.6049432,0.58759445,-0.10567777,-0.59447163,-0.07536079,0.2472603,0.09336187,0.3143005
Ralgapb,1.1184516,-2.7722645,0.59216,0.056198165,-1.1508656,0.15215069,0.23270757,-0.05938951,0.09189681
Mafb,-0.8797075,-0.1256266,-0.57312894,0.52509665,-0.51613486,-0.11879328,0.061120357,-0.08364403,0.5940714
Ppp1r16b,0.6684693,-0.8044528,-0.12603328,0.035690878,0.12599732,-0.033172276,-1.1831853,-0.25334603,0.523301
Top1,0.81039464,-1.7479596,0.56180346,-0.22036882,-0.38040012,0.110483974,0.7404808,0.13912255,-0.5788591
Chd6,0.80038565,-1.5038176,0.07098593,-0.040397912,-0.56310165,0.08789515,0.37209794,-0.016036797,-0.029657315
Ttpal,-0.3013249,-0.08213556,-0.32207522,0.0707765,0.19530651,-0.02683292,-0.78770137,-0.0017560469,0.045777783
Serinc3,-1.7047354,1.1591398,0.10300906,0.42018476,0.44157058,-0.85157174,-0.35350314,-0.19125518,0.04061895
Tomm34,-1.1542987,0.8639645,-0.7782504,0.53820133,0.9800291,-0.37454954,-0.6073069,-0.24778159,0.27621347
Ywhab,-0.09855905,-0.15788704,-0.432951,-0.009603901,-0.81996745,-0.20595226,-0.41327733,0.1541771,0.07367265
Sys1,-0.567425,-0.037308097,-0.37186438,0.08196689,0.19829786,0.005236225,-0.13460979,0.017730704,-0.17908038
Sdc4,-2.4977732,2.0272367,-0.76756793,0.55855775,0.86161315,-1.0505135,-0.09182698,-0.1881582,0.5613263
Ctsa,-1.750136,1.8823341,-0.1462438,-0.070519514,0.3866673,-0.24848467,-0.6740781,0.0072774296,0.035055373
Pltp,-0.5043073,-3.1170547,1.0320065,0.65898496,-0.45671728,-0.67695177,1.2313514,0.7411516,-0.42935202
Pcif1,0.52603674,-1.6792278,0.54760903,0.29288393,-0.3180532,-0.05961696,-0.6656171,-0.06002904,-0.035305534
Ncoa5,0.0643001,-0.19439428,-0.5793497,0.082535245,0.30453628,-0.036310222,-0.66376543,0.0058575547,0.007960962
Eya2,-0.098187394,-0.066582784,0.38383552,-0.13430004,0.1023325,-0.004813103,0.31822908,0.002581781,-0.055931754
Zmynd8,-0.56946015,1.0249872,0.31627902,-0.22231457,0.6939952,-0.06023607,-0.77539384,-0.1546466,-0.26566494
Ncoa3,0.5810001,0.43594956,-0.37043852,-0.772799,-0.51642877,0.024765054,-0.5748087,-0.16438401,0.0041705216
Cse1l,0.20374009,-1.5376807,0.06456281,0.07198694,-0.36327398,0.033174653,-0.09330582,0.04767686,-0.059696816
Znfx1,-1.2455219,2.3522844,-1.1291722,-0.5100377,0.69779164,-0.29523778,-0.3589259,-0.071308725,-0.57178456
Prex1,0.3229399,-0.48190495,0.48217872,-0.02770941,-0.22438368,0.0027568508,0.46596077,-0.010504077,0.28017583
Rnf114,-0.7038838,1.212372,-1.2074659,-0.0007877629,-0.3326837,-0.16319971,-1.0246456,-0.005166343,0.23268911
Ptpn1,-0.9657707,1.2106197,0.07246093,-0.20402953,-0.3104788,-0.28829598,0.5082078,-0.055728458,0.30343142
Adnp,0.2750806,-0.17669639,0.010784059,-0.0064354297,0.010531036,0.004468994,-0.09134262,-0.0033810188,-0.016080068
Zfp217,-1.726368,1.5364845,-1.0848695,0.47276995,0.48175204,-0.17036702,-1.0509412,-0.36058018,-0.22303735
Rtf2,-0.060165588,0.1515575,-0.25661495,0.0073285867,0.062435135,-0.019186351,-0.0791595,-0.0017762756,0.036058616
Rae1,-1.1826428,0.725147,-0.13721557,0.08248703,0.10608849,-0.42390054,-0.09190474,-0.07183631,0.8177718
