,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7
Mplkip,1.4123513,-2.4131303,-0.102635674,-0.098512486,-0.9325796,1.2633531,-0.6963836,0.045691904,-0.3157069
Rala,-0.6368432,0.8911453,-0.4789797,0.014874438,-0.01835656,-0.114942744,-0.56715524,-0.02787811,0.027661486
Cdk13,1.6679442,-2.3816721,0.5970867,-0.8556886,-0.73118246,0.24510244,0.086526565,0.17769827,0.02253281
Vps41,-0.07291414,-0.052363977,-0.30736747,-0.05129498,-0.2895125,0.036404535,-0.6037851,-0.00013090638,-0.109365836
Trim27,-0.63692665,-0.32287005,-0.43332338,0.34144974,-0.30355722,-0.12726758,-0.36325613,0.074555516,-0.057960458
Zkscan3,0.24111024,-0.71760535,0.7977239,-0.21099786,-0.1187606,0.026823577,0.35847145,-0.03689395,0.051970758
Elmo1,0.80899,-1.2901915,0.65764767,-0.23017366,-0.101877265,0.19907789,-0.7119874,-0.4513278,0.5315837
Hist1h1b,3.058278,-6.5666428,0.24466795,0.47157073,-1.6396036,2.7787144,-0.46340775,1.1705228,-0.8907754
Hist1h1d,2.8515186,-4.7866025,-0.06563269,-0.29646075,-1.1785285,2.4804845,-0.9363298,0.1503238,-1.0128406
Hist1h1e,3.5203073,-5.4087667,0.10565118,-0.9448994,-1.08119,2.2384543,-0.9716872,0.58042973,-0.39116278
Hist1h1c,2.05543,-3.5232859,-0.40382233,-0.22363718,-0.65827,1.1911114,-0.4158884,0.20775999,-0.7084075
Cmah,1.2040635,-2.5747542,0.57800204,-0.0132123465,-0.32692832,0.37876558,0.63660806,-0.34890994,0.21585336
Prss16,0.61230755,-6.134486,0.5935654,1.094292,-1.9453093,0.9403404,0.87925273,0.74761486,0.7948245
Ripor2,-0.9202088,1.405722,0.39776853,-0.5858344,-0.17229344,-0.61491257,-0.36088923,-0.5648662,0.6961501
BC005537,-1.0917568,1.4761927,-0.5619692,0.11379605,0.63942283,-1.0220592,0.268375,-0.21448165,0.49883118
Cdkal1,0.6377718,-2.360571,0.941069,0.10317346,-0.40110335,-0.012765676,0.9080515,-0.21252201,-0.19293736
Sox4,0.17208302,-0.08367354,-0.4204281,0.14744626,0.50252086,-0.060233586,-0.20363179,-0.08395278,0.23288345
Exoc2,1.7830658,-2.232758,0.8417715,-1.0899702,-0.29314885,-0.013302857,0.22517335,-0.0035277489,-0.8016238
Gmds,0.8547604,-2.6065936,1.2226484,-0.7311682,-0.60605776,-0.13097063,0.9472034,-0.10885601,-0.44902265
Serpinb9,-4.565036,4.8358755,-1.2875149,-1.6355333,0.7857174,-2.508501,-0.48878264,-1.2097913,-0.8993669
Serpinb6a,-1.2039002,1.610929,-0.1315316,0.006398943,0.6800541,-0.38264865,-0.640951,0.04222503,-0.5137531
Psmg4,-0.10030258,0.34836137,-0.64577633,-0.85088193,-0.36221516,-0.07429657,-0.66334563,0.5024317,-0.95750976
Prpf4b,1.1955994,-2.0265894,0.18015222,-0.040049225,-1.1426771,0.09387577,0.4225167,-0.06883772,0.22217987
Fars2,0.79656947,-1.9550328,0.99379206,-0.20424902,-0.41845748,-0.3938605,0.6004598,-0.03344743,0.5148254
F13a1,3.134826,-6.7946844,0.9737562,0.15898368,-0.93784934,2.3259459,0.3889042,0.18932196,-0.6045406
Ssr1,-0.378787,1.3681421,-0.086608715,-0.24736297,0.3647808,-0.3973396,-0.6169237,-0.011613796,-0.0021437458
Rreb1,0.9760643,-3.1770535,0.9101097,-0.0734838,-0.30602944,-0.12300733,0.7115209,-0.0033012617,0.36302438
Dsp,-1.1859787,1.8113024,-0.48872215,-0.17007484,0.96464074,-1.0518047,0.08289589,-0.4964926,-0.31554112
Nedd9,1.2401747,-1.5782185,0.27206114,-0.4038492,-0.06968711,0.15510672,0.4673439,-0.036987025,0.39572102
Hivep1,0.49965155,0.52382565,0.31299734,-1.2722654,0.07295031,-0.15912718,-0.9492104,-0.11750311,-0.28696495
Nol7,0.6448793,-1.680891,-0.058835927,-0.065973535,-1.028346,0.36474335,-0.8974525,0.22691894,-0.5332203
Ranbp9,0.69502974,-1.3895388,0.7460297,-0.061805543,-0.77889836,-0.09354501,-0.024364272,-0.08127579,-0.9865432
Cd83,-0.16533953,-1.0778192,0.61776304,-0.20649523,-0.3439503,0.06553604,0.6981122,0.029289631,-0.2717949
Mylip,-0.0055481773,-0.74628234,-0.56476,0.028950237,-0.17271636,-0.011102422,-0.08916578,-0.0014187519,-0.016568616
Gmpr,-1.2728865,0.14659524,-0.50951016,0.612034,-0.011735862,-0.13182089,-0.492971,0.082065605,-0.4127361
Atxn1,-0.3438799,-0.5359812,0.9651988,-0.077818304,0.40352473,-0.031325586,-0.08914378,0.021780657,-0.50151443
Nup153,1.1557629,-1.7477524,0.2217529,-0.26665068,0.054727662,5.756365e-05,-0.6944952,0.023143046,-0.7110616
Dek,0.7713165,-1.8503046,-0.28038672,0.23160303,-0.8291465,0.0019983947,-0.71187866,0.3494104,0.24453749
Phf2,1.2883632,-2.933667,0.4076789,0.040120065,-0.72474426,0.34502256,0.6893351,-0.051890597,0.35693163
Fam120a,-0.05068755,-0.60224676,0.58078235,0.03132777,0.29261288,-0.029353146,0.5533317,-0.12181039,0.14886577
Spin1,0.70922357,-0.45802242,0.046269376,-0.8261291,-0.14443634,-0.08142814,-0.5198534,-0.055864617,0.47169763
Auh,0.7306835,-2.0535028,0.42787072,0.23496056,-0.16189627,-0.10039226,0.6427983,0.01653329,0.29307896
Sema4d,0.75064576,-1.8498476,0.2048138,0.09308945,-0.32489684,0.08152591,0.3980006,-0.23742402,0.20861551
Rnf44,-0.9010248,0.74556196,-0.34940863,0.03513538,0.17894284,-0.07088571,-0.07215051,-0.045089047,0.10880142
Nsd1,0.5384117,-0.77536786,0.019798988,-0.015406131,-0.2415849,0.009164781,0.012568126,-0.011299476,-0.095383145
Lman2,0.24219447,-1.0774509,-0.20239924,0.14315529,-0.5683606,0.014150672,-1.0730971,0.0039576795,-0.09711286
Grk6,-0.028911248,-0.34121037,-0.31926915,-0.06102326,-0.5900716,0.011857744,-0.6427535,0.016648281,0.01660712
B230219D22Rik,1.8751341,-2.5517378,-0.473623,-0.05838258,-0.99914455,0.6860997,-0.8534858,0.17692819,-0.7534121
Ddx46,0.8723657,-1.4050589,0.27937236,-0.32116255,-0.5469843,0.046499513,-0.6326874,-0.080290966,0.16551982
Smad5,-0.021175712,0.08186087,-0.5345285,0.072361976,0.2216945,-0.026694253,-0.9923948,-0.00905483,0.021040633
Idnk,-1.7764076,1.444623,-0.27124473,-0.035575554,0.5582613,-0.3396721,-0.8847012,-0.01678421,-0.1882659
Ubqln1,-0.13114494,-0.04037669,0.03506823,-0.009155625,-0.15696967,0.010749303,0.3448353,0.00059573166,0.004311876
Zcchc6,0.7395772,-0.9674319,0.045804325,-0.021779012,-0.5462044,0.051328078,0.032674152,-0.0061755637,-0.105034925
Dapk1,0.21327475,-1.6820295,0.31303197,0.4062148,-0.05203683,-0.020541653,0.9075976,-0.015521183,-0.081622995
2010111I01Rik,-1.1121707,0.49237418,0.5253559,0.35990766,0.55477375,-1.1047869,0.19415143,-0.09450189,0.3799223
Ctsl,-0.6829135,-2.524081,0.2373212,0.8276104,-0.7004855,-0.046013057,0.58505905,0.36856386,0.22394218
Nsun2,-0.86140776,-0.13273048,-0.54982406,0.72243124,0.28239262,-0.3784547,0.79155135,0.063219845,-0.56978834
Med10,0.602654,-0.5887331,-0.2974947,-0.66095287,-0.6079919,0.41219276,-0.957305,0.38296044,-0.6649382
Ice1,-0.18398541,0.13089478,0.1908628,-0.037663687,0.072497524,0.009464099,-0.4185606,-0.024979651,0.022502964
Ndufs6,-0.3164204,-0.70580673,-1.0775176,0.48273262,-0.15759286,0.043624926,-1.289384,0.16305147,-0.44741952
Clptm1l,-0.7772103,1.3353313,-0.3094905,-0.029711785,0.052716095,-0.2421048,-1.0625478,-0.02561174,0.641388
Slc12a7,-0.6632372,0.3454003,0.20365033,-0.09558643,0.96245724,-0.11152307,-0.15370372,-0.01631321,0.15366809
Pdcd6,-0.29016542,-0.18254316,-0.5359139,-0.08230248,-0.21898903,0.10938144,-0.53790367,0.10686226,-0.5972996
Sdha,-0.42384216,0.3851493,-0.4849808,0.03677005,0.345906,-0.0635856,-0.4268866,-0.0069189556,-0.06312087
Erap1,-0.64283115,0.72327864,-0.11146102,0.017618608,-0.13606946,-0.040498607,0.13109802,-0.006685386,0.030371368
Cast,0.35919297,-0.32524544,-0.72842234,-0.20345812,-0.5237282,0.03707449,-0.96101075,0.03796143,-0.49669924
Cetn3,1.2801852,-2.0013359,-0.8558279,0.16777445,-0.12518361,0.2865778,0.103549555,0.20528166,-0.70100564
Fam172a,1.4282353,-3.5167913,0.7855584,-0.27109393,-0.64313823,0.11063258,0.7077107,0.172534,0.20679975
Rasa1,1.4675014,-2.5945897,-0.1444259,-0.018887397,-0.59887403,0.5896293,-0.8976922,-0.0054175872,0.004317764
Tmem167,0.19848223,0.13520424,-0.41398963,-0.44915602,-0.23060584,0.058957353,-0.9159132,0.10739399,-0.45319483
Xrcc4,2.3021848,-3.9229274,0.53698146,-0.86197853,-1.0672106,1.0719125,0.17562602,0.39211538,-0.09832315
Serinc5,1.6699669,-4.38557,0.8091438,0.33872157,-0.94855714,0.66258365,0.29356223,0.23888442,0.26240954
Papd4,0.67991763,-1.1201726,0.17043254,-0.11137452,-0.25856835,-0.019774672,0.42072195,-0.07113967,-0.2671483
Tbca,-0.056255728,0.13900015,-0.82527596,-0.016166734,-0.5263865,0.0072911396,-0.8878141,0.011446348,-0.032616384
Ap3b1,0.5723487,-1.4953301,0.36272088,0.07231644,-0.58474153,0.011141911,0.008513298,-0.04794409,0.1962147
Iqgap2,0.2226171,-1.3363178,0.08706143,0.19560477,-0.44588065,0.08372977,-0.49868876,0.01812887,0.26363486
Ssbp2,2.4044454,-6.3208613,0.83610797,0.044891626,-0.69562715,1.2866203,0.81737715,0.35846922,0.19772254
Col4a3bp,1.2443137,-2.4509394,0.48249617,0.08034665,-0.1577999,-0.07847286,0.66669023,-0.082040824,-0.5278241
Fcho2,1.6275278,-1.7774158,0.3155253,-0.34999442,-0.40028316,0.22982529,-0.4131789,-0.02059129,-0.8802935
Tnpo1,-0.29397815,0.11585122,0.046665356,0.058201153,-0.39064577,-0.077132195,0.41459972,-0.1349312,0.3178801
Bdp1,0.8178485,-1.8664389,0.15110177,-0.1400434,-0.75467587,0.03628746,0.4905204,0.06969744,-0.44044897
Pik3r1,0.9372847,-1.6365472,0.05192403,-0.049503632,-0.34866238,0.124266505,-0.88945067,-0.008745166,0.028887128
Mast4,0.50567937,-0.8616575,0.650425,-0.21611698,0.0016042856,-0.08188568,0.37296098,0.0711874,-0.4142278
Srek1,0.52854675,-1.7142768,0.74190867,-0.025578758,0.07257973,-0.08251994,-0.03196463,0.02518618,0.1355523
Erbin,0.75465226,-1.5179048,0.119574375,-0.050845433,-0.6901254,0.25746584,-0.60438436,-0.0016530072,-0.15332194
Adamts6,1.913341,-2.6339524,0.5923709,-0.35778227,-0.48248327,0.002367556,0.44875124,-0.07721127,-0.6137264
Kif2a,1.5816004,-2.3336756,0.2422575,0.09948795,-1.0618432,-0.26651835,0.12635145,0.31140462,-0.45653573
Smim15,-0.46156663,1.1857697,-1.5046741,0.18383639,0.44358984,-0.23970196,-1.1227376,-0.06599758,0.12167204
Pde4d,-0.19508103,1.0605876,0.09397264,-1.0173475,0.5842461,-0.37253505,-0.13331635,-1.0116698,0.10444826
Gpbp1,0.9136963,-1.2402911,0.24108504,-0.23535313,0.3026656,0.4266162,-1.1939738,0.02800127,-0.4228519
Map3k1,0.4637345,-1.1359663,0.072898015,0.06697245,0.002153316,-0.011551162,-0.34682313,0.018476104,0.094994746
Hexb,-0.8586736,0.0642252,-0.16031536,0.37135172,0.8598188,-2.3104672,-0.034800753,-0.42811432,1.1857327
Skiv2l2,1.4125465,-1.5402793,0.45398998,-1.0472518,-0.32732505,0.44532096,0.07087681,-0.060654107,-0.7327546
Snx18,-2.9003694,2.186688,-0.82953024,0.511836,0.4895733,-1.0704072,-0.44411215,0.20209357,-0.44267315
Ndufs4,1.4237677,-1.9053411,0.04964393,-0.067148864,-0.69578755,0.18702641,-0.36767846,0.12552564,-0.16648306
Arl15,1.1499641,-2.9394999,0.6702014,0.14003104,-0.19318028,0.23098785,0.087979786,-0.017201446,0.033089634
Parp8,-1.1501049,1.9391738,0.31695136,-1.08813,-0.058212988,-0.68525136,-0.01621074,-0.25748068,0.12774009
Paip1,0.40599728,-0.5135238,-0.12064802,0.007232188,-0.1067199,0.0038251542,-0.49873847,0.008086612,-0.011658072
4833420G17Rik,0.9043722,-1.4315703,0.325381,0.028771367,-0.06583259,-0.024500877,-0.1621161,-0.020616105,-0.067072354
Emb,0.62429184,-1.9217222,0.005469641,0.09869075,-0.9029657,0.13046466,0.30238524,-0.020760406,0.033541974
Flnb,-1.6949471,1.9078407,0.1587965,-0.745456,0.14179596,0.12553534,-0.04667193,-0.57667726,-1.1439017
Pdhb,0.20672005,-0.27315554,-1.1328166,-0.017603282,-0.68159366,0.04244239,-0.28445783,0.034263752,-0.042652495
Fhit,1.8410476,-5.2136064,1.0961963,-0.1303067,-0.7411049,1.0134064,1.0334573,-0.23129395,0.3177826
Thoc7,0.85652995,-2.063634,-0.19051325,0.066946946,-0.7791588,0.6218168,-0.76984024,0.38504928,-1.0347183
Atxn7,-0.06153807,-0.744433,0.84005797,-0.026076267,-0.036200196,-0.09854229,0.019423353,-0.040830903,0.0474624
Ngly1,0.9856338,-1.2749289,-0.33076924,0.028405577,0.03358776,-0.030856114,-0.73058665,0.01773255,-0.050027978
Top2b,2.0047505,-3.4149046,-0.24164873,0.15307893,-0.94550985,1.6425136,-0.31904367,0.06976051,-0.68464524
Anxa7,-1.2717705,0.81472236,-0.79322463,0.41403693,0.20115781,-0.23188509,0.5078919,0.11528703,-0.4011587
Ppp3cb,1.5168674,-2.092387,0.2558533,-0.0889557,-0.6988798,0.19236013,-0.46948177,-0.10748269,-0.4745513
Sec24c,0.4408126,-1.6087701,0.40193045,0.16839822,-0.35666844,0.16723433,0.46522653,0.005528207,-0.5413279
Kat6b,1.2657274,-1.9104935,0.80570334,-0.81907713,-0.36092725,0.11209296,0.8482217,-0.06363729,-0.21436374
Vdac2,-0.4774405,0.6628205,-0.46310082,0.03520089,-0.2982135,0.025914788,-0.74433553,0.006747112,-1.1527585
Lrmda,-2.493693,0.6348116,1.0523599,0.039207075,0.22583592,-0.7892534,1.2142811,0.053219177,-0.5239833
Kcnma1,-5.1833763,2.9205813,0.50119585,0.5885312,0.29667625,-2.7904828,0.52689,-0.20388938,0.063017696
Zmiz1,-0.7170289,0.87145877,0.5123815,-0.3206731,0.64141506,-0.32015294,0.38902473,-0.02323933,-0.359681
Slmap,1.2826687,-1.7479749,0.31612408,-0.0034990723,-0.22136717,0.016771799,-0.8152137,0.082537055,-0.638383
Dennd6a,0.3262056,-0.91428703,-0.7264687,0.12467469,-0.47862002,0.02183749,-0.9413919,-0.010138166,0.046189044
Arf4,-0.3098616,0.6577425,-0.8164656,-0.03770655,-0.052767247,-0.045337535,-0.10977279,0.06855856,-0.25638834
Appl1,1.4232168,-1.7767029,0.4261015,-0.5593997,-0.56113803,0.7076261,-0.52338946,0.13980402,-0.5055598
Arhgef3,-1.0201759,0.99197257,1.0971463,-1.2148467,0.41589412,-0.61461926,0.51151526,-0.5687411,-0.6140923
Selenok,1.0627284,-1.4575421,-0.54776764,-0.3664559,-0.38262397,0.14215526,-0.9974522,0.5201351,-0.70135146
Tkt,-1.6442039,2.4465938,-0.85853827,-0.20913248,0.84745073,-0.6043818,-1.1223565,-0.37734032,-0.08942316
Prkcd,-0.93248403,1.6345874,0.1531182,-0.47045183,-0.12057996,-0.0642295,-1.1130598,0.019306859,-0.17838964
Smim4,1.4012513,-2.3958554,0.41188267,-0.3965008,-0.42776546,0.067458734,0.816816,0.09152774,-0.8398703
Pbrm1,1.1294724,-2.2656276,0.20539947,0.055273153,-0.0041362885,0.32606167,-0.2141643,0.0032615364,0.0069059334
Bap1,-0.22438425,-0.14244622,-1.0711166,0.089073926,-0.27226365,0.015237997,-0.33467224,-0.004886669,0.30030456
Sh3bp5,-4.222932,3.8927836,-1.7470075,0.16764626,1.0563954,-2.439196,-1.0243012,-0.43594,-0.20699753
Eaf1,1.1987319,-1.8113887,-0.4620011,0.6141933,-0.8851404,0.6023178,-0.7819699,0.085817665,-0.7291795
Colq,1.2389838,-3.3281662,0.9849877,0.14203641,0.3047228,-0.13040748,-0.6902425,-0.006476731,0.33620068
Ankrd28,1.5068278,-3.3472638,1.0481188,-0.47210762,-0.48101372,0.5816471,0.7382967,-0.036776867,-1.0322212
Parg,1.4383798,-2.1590772,0.33180448,-0.12568723,-0.80953646,0.43389213,-0.30094266,-0.30351394,-0.6224995
Wdfy4,-3.7039125,3.6811829,0.016564935,-0.8157805,0.7410031,-1.2835972,-0.9387568,-0.5931611,-0.39198357
Glud1,-0.18595757,1.364989,-1.1122293,-0.20320533,-0.44218957,-0.28699523,-0.6795031,-0.07300867,-0.24684244
Ccser2,-0.3581093,1.8269151,-0.55618894,-0.47896,0.29260123,-0.17940205,-0.017300166,-0.44028544,-0.39043805
Wapl,1.0825539,-1.8489351,-0.09586,0.08261284,-0.49829528,0.14363451,0.045242947,-0.028081764,-0.18218006
Ghitm,-1.2359308,0.9895454,-0.3721172,0.0011261544,-0.14279217,-0.16335022,-0.8690109,-0.030192424,-0.43180394
Tspan14,-2.8119905,2.1863034,-0.06524312,0.10878248,0.86868745,-0.96415854,0.3277909,-0.6350112,0.046126127
Psmc6,0.928836,-1.6959709,-0.49616066,0.08955891,-0.39554903,0.04198605,-0.19772367,0.096248664,-0.24547042
Ddhd1,-0.1835491,-0.47557864,0.6290972,-0.052732512,-0.13260451,-0.0028450023,0.74888635,-0.033012953,-0.061310004
Socs4,0.96819973,-1.4029601,0.0037178947,-0.06265676,-0.7657257,-0.033070564,0.08413966,0.051238567,0.12070179
Lgals3,-3.8239126,3.6681767,-0.3750004,-0.2735871,-0.41954282,-1.3083386,-0.5795733,-0.4316077,0.19632436
Mapk1ip1l,-0.11450833,-0.07959262,-0.37938625,0.029687455,-0.061323103,0.00095853535,-0.94360477,0.007189282,0.043466292
Ktn1,0.7085532,-0.46037015,0.45268354,-0.7460543,-0.50019777,-0.002689749,0.15898639,0.04511451,-0.16445705
Zfp219,-0.44804803,-0.0026682615,0.17030837,0.2400688,-0.013481534,-0.09466008,-0.39397857,-0.033162728,-0.079759225
Supt16,-0.10517737,-0.901755,-0.089996465,0.18222702,0.49549988,-0.053293854,-1.237431,0.019750018,0.2161902
Tox4,0.38560116,-0.59302604,-0.7111117,0.046220515,-0.25564948,0.0059777424,-0.8112811,-0.013652655,-0.12802288
Trac,0.6153673,-0.434244,-0.40806967,0.0033622687,-0.28570727,0.028315686,-0.50930125,-0.046161644,-0.10017953
Mrpl52,-1.0950372,0.5482902,-0.419207,0.14224227,-0.28341606,-0.13875268,0.24664047,0.057832833,-0.44833156
Mmp14,-5.327201,4.310067,-0.5809464,-0.5419871,1.0817835,-3.301059,0.5552628,-0.3796733,-0.7485772
Lrp10,0.3208515,0.23083802,-0.6144469,-0.30681342,0.19436662,-0.08051911,0.40233648,0.3155455,-0.58454686
Psmb11,1.8767042,-6.2749143,1.1141351,0.47765628,-1.1252934,1.3809571,1.4434819,0.61843866,-0.2622919
Gm20521,-0.75851816,1.2794938,-0.52706856,0.09543232,0.772156,-0.13949439,-0.6203212,-0.2697676,0.43203726
Ngdn,-0.76030904,1.0526563,-0.3217389,0.018899074,0.46277136,-0.3050109,-0.75433826,-0.027442489,0.010326824
Acin1,-0.018499106,-0.06557602,0.07221525,0.08230735,-0.18061212,-0.024980174,0.31625527,-0.0051755067,0.42482927
Psme1,-1.5047405,2.1060567,-0.28523713,-0.30598822,-0.31586576,-0.77686876,-0.40529865,-0.24710348,-1.109501
Irf9,-4.4803805,4.2452602,-1.1487914,-0.48118085,0.987363,-3.4720411,-1.1876467,-0.4706331,0.61257935
Mdp1,-0.96872795,1.4845893,-1.2414684,0.22244757,0.07585763,-0.12172713,-1.1629244,-0.041123506,-0.22350326
Nedd8,-0.91878396,-0.6930491,-0.17944802,0.056431767,-1.044608,0.1864334,0.16355327,0.22619458,-0.3547899
Mphosph8,0.20207393,-0.019287825,-0.10609234,-0.049312487,0.053183395,0.012080922,0.13192531,-0.009124772,-0.01869782
Pspc1,0.7968826,-1.9908581,0.864848,-0.10338311,0.0173469,-0.082175784,0.9811309,-0.14288096,-0.7303194
Zmym2,1.329155,-2.1557689,0.39618772,-0.37750414,-0.25955185,0.3363976,0.015409013,0.15747248,-0.49023142
Mrpl57,0.49175966,-1.4970064,-0.44908732,0.07700839,-0.6674105,0.30795136,-0.13877769,0.33738065,-0.53879535
Zdhhc20,0.15288068,-1.0020655,0.2557573,-0.015501164,-0.30471212,0.04901158,0.24072275,0.00984008,-0.032242756
Micu2,-1.4692956,1.8507965,-0.0039414098,-0.16304342,0.26804188,-0.22970623,0.027307376,-0.10334568,-0.066832185
Mtmr6,0.17219895,-0.26030457,-0.55928147,0.08138329,-0.7360383,-0.014582548,0.5418662,-0.024032662,-0.60274523
Spata13,0.64771366,-1.9463732,0.14317662,0.42882395,-0.87239575,-0.0017916709,0.19798714,-0.20035858,0.59110194
Kpna3,0.08261413,-0.44400045,-0.013381468,0.054968446,-0.61819494,-0.013203003,-0.9187378,-0.009713817,0.06402813
Ints6,0.26139975,-1.1305811,0.63294184,-0.054635666,-0.2264837,0.038073294,-0.7432185,0.010830438,-0.09371563
Wdfy2,0.8484421,-2.4238582,0.51303273,0.0062981476,-0.80573136,0.115070134,0.12652867,0.02941323,-0.11992006
Ctsb,-2.0001688,1.7255273,-0.95420223,0.52403605,0.3755713,-1.1969292,-0.5567228,-0.67012376,-0.14074747
Msra,-0.0148346275,-0.7703481,0.6373164,-0.11795863,-0.4774222,0.016132897,0.698356,-0.012504087,-0.3624763
Kif13b,0.48799965,-0.879703,0.5122558,0.036041316,-0.89723235,-0.03049941,0.35332954,0.06918124,-0.16827808
Hmbox1,0.1205371,-0.23324233,0.23076671,-0.0024224608,0.34320176,-0.040254354,0.19735496,-0.01166501,-0.035856765
Ccdc25,-0.010329336,0.028745357,-1.433814,0.09256626,-0.066202484,-0.040916108,-0.8136477,-0.009629532,-6.182882e-05
Clu,-6.132719,5.747246,-1.3030878,-1.5384274,1.1117518,-3.700871,-0.3475281,-1.0340154,-1.0758617
Trim35,-0.8480316,1.4768612,-0.4853022,-0.75654006,0.14315772,-0.17177048,0.019846164,-0.019563612,0.18445303
Dpysl2,-0.76036644,-0.17832026,0.49849072,0.017847681,-0.7947742,-0.015505079,0.87284195,-0.05584075,-0.47276685
Ptk2b,0.12058867,0.508255,0.0671788,-0.43879873,0.027461208,-0.045687616,0.34877697,-0.095252596,0.09321889
Bnip3l,-0.23658797,-0.15484935,-0.429515,0.008777517,-0.14562525,-0.013293839,-0.2859391,0.0074440916,0.002454819
Ppp2r2a,0.72751063,-1.5567538,-0.1991229,-0.01653171,-0.50907826,0.0519826,-0.15149947,0.008948884,0.026278127
Xpo7,0.9894618,-2.1841576,0.603335,-0.011691493,-0.69332737,-0.11055629,-0.022657799,-0.03820363,0.33585832
Fndc3a,0.9303184,-1.6090897,0.621626,-0.39351258,-0.04489808,0.05427549,0.8798989,0.003308615,-0.74128866
Lpar6,2.5485368,-3.8530865,-0.0023605125,-0.2181429,-0.69737184,1.3476403,-0.7515829,0.19417524,-0.5512177
Rcbtb2,2.9744735,-5.139126,0.59013206,-0.1617506,-1.2583935,1.2738361,0.40909117,0.73979807,-0.33550358
Rb1,1.5480527,-1.9641061,0.3611592,-0.48414072,-0.7762101,0.35195258,0.45746338,-0.227652,-0.08948821
Sucla2,0.53072155,-0.6603954,-0.43163493,-0.013139427,-0.24423154,0.02767268,-0.9917345,-0.043627866,-0.18365438
Itm2b,-0.575348,0.08483417,-0.14142565,0.029874686,-1.4393265,-0.09688065,-0.059497043,0.01981154,-0.8469259
Lrch1,-0.06164792,-0.19391862,0.4830999,0.014534307,-0.053607464,-0.02678739,-0.07360595,-0.03921505,0.014534753
Zc3h13,0.41975343,-1.3879334,-0.048940033,0.08150286,0.4640629,0.013232734,-0.8215299,-0.014423759,0.54334754
Lcp1,-2.3418975,2.5250273,-0.7507024,0.081096135,0.7543678,-0.97822464,-0.41727564,-0.39616728,0.18107495
Cog3,-0.122130066,0.49211755,-0.34399423,-0.06184913,0.34594378,-0.025009032,0.15065058,-0.015836947,-0.016739916
Tsc22d1,-0.24775746,-1.435163,0.2870322,0.63582623,0.05555415,-0.1718328,0.7870983,0.35990855,-0.7947994
Dnajc15,1.7663205,-3.026186,0.3423339,-0.07452307,-0.5493009,0.39558974,-0.8037794,-0.057851393,0.5775458
Akap11,0.73949695,-0.67794126,0.35925347,-0.27438578,-0.55770075,0.010871708,0.28090566,-0.07229008,-0.57257617
Epsti1,-0.9036317,1.4193255,0.09525702,-0.030962583,-0.40193766,-0.39976627,-0.109627925,-0.14859876,-0.1853233
Naa16,1.1948843,-2.097508,0.5433322,-0.059078176,-0.61783034,-0.0666182,-0.33833054,0.1691661,-0.22057897
Rgcc,1.3883975,-3.245757,-0.14240244,0.5828098,-1.2351166,0.599332,-0.58119816,0.5459995,0.12763536
Elf1,1.2530135,-2.0573509,0.23254429,-0.03653921,-0.77816206,0.27468702,-0.02469189,0.11931751,0.2655382
Tbc1d4,-3.3238912,3.6735692,-1.2472991,-1.2915593,0.115619294,-1.5879161,-0.11230906,-0.7410692,-0.7198839
Fbxl3,-0.3441433,0.055110276,0.009399593,0.08313743,0.19134232,-0.04966662,-0.3086622,0.026914723,0.08998015
Mycbp2,0.304403,-0.5367253,-0.063837446,-0.1925378,-0.30252188,-0.036055654,0.06717465,0.008192936,0.007889091
Rbm26,1.5965827,-2.233706,0.377486,-0.24790111,-0.35230237,0.3287616,-0.6715637,0.12661414,-0.64421606
Ndfip2,1.1523876,-1.3403575,-0.29243693,-0.28535458,0.119407564,0.3479248,-0.3019527,-0.34052718,0.019137941
Dnajc3,1.0121841,-2.8991723,0.3666491,0.2270137,-1.0260196,0.44668102,0.6222985,-0.12545231,0.10544685
Ipo5,0.2689071,0.640009,-1.5222148,-0.026208902,-0.4069053,0.021399206,-0.4104103,0.0032598833,-0.66539466
Mbnl2,1.4024198,-2.5415409,0.5494495,-0.22544041,-0.57735777,0.33316723,-0.25271252,-0.042186253,0.42536712
Dock9,-1.9943473,2.4746733,0.4188343,-1.2226822,0.5864255,-1.1193535,0.28396228,-0.37580162,-0.14785008
Ubac2,-0.26275906,0.7059602,0.40443033,-0.062039897,0.4460081,-0.04356792,-0.18760966,-0.0515834,-0.064147756
Fgf14,-0.0069138855,-0.7336539,1.1311347,-0.94595176,-0.26417437,-0.6848258,1.4339222,0.037155323,-0.4759259
Selenop,-0.99401605,-1.0901268,-0.8946028,0.7634513,-0.8495421,0.29082185,-0.23498696,-0.05388846,-0.024528347
Oxct1,-1.8422287,1.5961602,0.14708439,0.060133807,0.7390858,-0.5944308,-0.20972094,-0.15085496,-0.36375287
Fyb,1.2799507,-1.4346333,0.24561454,-0.45877552,-0.42188674,0.28176475,0.22450036,-0.2623182,0.35176337
Rictor,1.9353135,-3.5208917,0.49578977,-0.10729984,-0.45418414,0.8775852,-0.17670721,0.09709432,-0.6945394
Wdr70,0.9893215,-1.5198818,0.3203541,-0.03305233,0.2421135,-0.20127423,0.43976265,-0.10819041,0.054398037
