,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 5
Ifi206,-0.13831988,0.39822003,-0.025181381,-0.062273033
Ifi213,-0.046718165,0.05423017,0.008979045,-0.10352868
Ifi211,-0.024278244,0.15891644,-0.02854653,-0.07124465
Kmo,-0.17969942,-0.032276586,0.19491173,-0.07849784
Chml,-0.00038304087,-0.10131592,-0.062488146,0.07675597
Rbm8a2,-0.059854947,-0.052737024,-0.037106447,0.015788127
Adss,0.09959939,-0.007259419,-0.07526989,0.005688548
Ahctf1,0.08118961,-0.0535424,0.09610149,-0.093758166
Psen2,-0.035693273,0.09576909,0.055980515,-0.07658824
Parp1,-0.02493241,-0.09016178,0.14152643,-0.18808281
Acbd3,-0.049623303,0.053496487,0.03465724,-0.033629507
H3f3a,0.120116524,-0.0879527,-0.032963987,0.07322819
Tmem63a,0.004662188,-0.06460147,-0.10156844,0.0030135368
Cnih4,-0.11561246,0.14641796,0.04856182,-0.11476309
Lbr,0.023978624,-0.11381602,-0.09377651,0.016067598
Brox,-0.008082673,0.0022094834,0.0058708196,-0.02029419
Aida,-0.00479613,-0.019242456,0.07292202,-0.032910332
Dusp10,-0.13750666,0.17087479,0.023763498,-0.009077847
Hlx,-0.00042977137,-0.041313473,-0.14787404,-0.025821842
Marc2,0.058220323,-0.1115593,-0.004172692,-0.0094936825
Iars2,-0.0665165,0.068127185,0.00664982,0.0739295
Eprs,-0.008876208,0.087538704,0.19926283,-0.037458625
Nenf,-0.06571812,0.0049850345,-0.0072575696,0.066050455
Rcor3,0.03141451,-0.11087692,-0.004564763,0.021177929
Hhat,-0.07732753,-0.017985268,0.032896936,0.03270668
G0s2,0.15430894,-0.16634847,-0.109625906,0.121174455
Cr2,0.14497635,-0.31432977,0.066279694,-0.014904063
Prpf18,-0.08603504,0.004640065,-0.049995765,0.026479881
Phyh,-0.16531111,0.077919036,0.10022712,-0.010282073
Camk1d,0.019476106,-0.020539746,-0.053877924,0.009959387
Cdc123,0.07671045,0.025286218,0.10486221,-0.06119934
Nudt5,-0.02946318,-0.034396563,0.045356702,0.0781324
Upf2,0.012612143,0.0073445784,0.095079824,-0.015940737
Celf2,-0.074445665,0.0574961,0.026297493,-0.028138082
Atp5c1,-0.19167507,0.22310945,0.2527328,-0.12778133
Kin,-0.024316652,-0.002819862,0.034735236,0.058605894
Prkcq,0.025064021,0.3253457,-0.2073154,-0.021050144
Pfkfb3,-0.020587115,0.24420296,-0.05557687,-0.023185695
Rbm17,-0.0733321,-0.12167142,-0.033858616,0.11295974
Vim,-0.09425584,0.11243515,0.10053433,-0.07854903
Mrc1,0.19983242,-0.36368603,-0.48356426,0.64510816
Nebl,0.008061082,-0.08132102,0.18581119,-0.10562797
Apbb1ip,0.045955505,0.04266007,0.0034790598,0.004837206
Abi1,0.13317402,-0.0384004,-0.084257856,0.048064925
Psd4,0.07684357,-0.06844936,0.0022653623,-0.071229376
Tubb4b,-0.13211969,-0.026589569,0.01234122,0.2914598
Ndor1,-0.05482141,0.051766183,0.17854676,-0.11773057
Tprn,-0.020633854,0.0797399,-0.052884478,-0.037051324
Dpp7,-0.040448286,-0.040401813,-0.04683676,0.10311954
Abca2,-0.09497496,0.029396314,0.04152294,0.01969353
Rabl6,-0.022510763,0.10213336,-0.027465262,0.06317261
Fcna,0.07469836,-0.049599245,-0.25456172,0.04313422
Gpsm1,0.019023664,0.040218458,0.038772687,-0.017300414
Sec16a,0.076417886,0.0380596,0.070752725,-0.10592951
Notch1,-0.09489775,0.2728164,-0.06014205,-0.056849845
Agpat2,-0.07871389,0.034552146,0.029751312,-0.12053867
Surf2,0.0570378,0.08267819,0.060045883,-0.04390821
Adamtsl2,0.0040824413,-0.11595065,-0.20510913,0.24654606
Brd3,0.03900164,-0.09489976,-0.015408614,0.016282085
Rxra,-0.08903074,-0.0046578245,-0.04605113,0.0036344556
Ralgds,-0.087252736,-0.10707147,0.024991821,0.058254246
Gtf3c4,0.0033439063,0.02177671,-0.017864753,0.0473871
Ttf1,-0.056926828,0.02992492,0.08549207,-0.007471867
Setx,-0.034820534,0.04872657,0.15374921,-0.1920239
6530402F18Rik,-0.004189438,-0.035014097,0.0077989707,-0.02441362
Nup188,-0.080113396,-0.09359794,-0.023237104,0.06984098
Crat,-0.101998016,-0.07177074,0.04922247,0.14939484
Tor1b,-0.03249134,0.06430924,0.010177946,0.030537507
Fnbp1,0.0106979115,-0.053402267,-0.051741805,-0.008529523
Exosc2,-0.10575997,-0.0020364118,0.12676811,-0.02220209
Abl1,0.013236439,-0.07113469,-0.015317713,0.1183521
Uck1,-0.06748134,0.122628145,0.116498865,0.013985412
Fam102a,-0.095042616,0.15167905,-0.014488935,-0.06556016
Psmd5,-0.0081384955,0.044369012,-0.01187526,0.04133581
Traf1,0.06418895,0.081061564,-0.15240394,-0.09187193
Gsn,0.269113,-0.21591449,-0.336208,0.17854054
Dab2ip,0.07807574,-0.09615493,-0.06778993,0.059980053
Ndufa8,-0.12134005,0.13825724,0.18095152,-0.09310418
Zbtb26,0.06355175,-0.16941231,0.0017161965,0.009143919
Strbp,0.004284695,-0.05015502,0.20310722,-0.009941042
Psmb7,-0.30667794,0.18468244,0.32111466,-0.1545186
Arpc5l,0.15937015,-0.14734422,-0.010905993,0.00615507
Zeb2,0.21951017,-0.02538707,-0.05315285,-0.006309014
Mmadhc,-0.21477248,-0.056850396,0.15609008,0.048792902
Rbm43,-0.06453238,-0.01347123,0.056093052,-0.101627596
Rif1,-0.038766894,-0.010305034,-0.036169864,-0.04475705
Stam2,0.065182656,-0.08699753,0.033309855,0.018838476
Gpd2,-0.049036104,-0.026775239,0.20763803,-0.060087033
Cytip,0.057475664,-0.007936871,-0.06678373,-0.03809105
Ly75,0.05839228,0.12438345,-0.12221318,0.077649504
Spc25,-0.029385898,-0.13846986,-0.120631695,0.31386262
Ssb,-0.083231986,-0.0013641047,-0.0073824925,0.05023383
Mettl5,-0.1396859,0.1338076,0.08336829,-0.09977655
Gorasp2,-0.0665798,-0.061532993,0.0032989322,0.043297984
Metap1d,-0.16352767,0.23304306,0.20480655,-0.18203866
Itga6,0.023460664,-0.040877186,-0.073587336,-0.040184084
Gpr155,-0.005155973,-0.040954325,0.02193603,0.03422177
Wipf1,-0.041922946,0.028873201,0.07656427,-0.06332435
Atf2,0.1290988,0.016410077,-0.090195,0.060239606
Atp5g3,-0.08180794,0.06978658,0.13012645,-0.07741101
Hnrnpa3,0.08487159,-0.024780728,0.044423338,-0.1171888
Agps,-0.049563035,-0.074391074,0.054486226,0.028532753
Prkra,-0.15307885,-0.1093995,-0.056436542,0.03561585
Plekha3,0.08190005,-0.034947004,0.0030257339,-0.013919094
Ube2e3,0.020862425,-0.054677717,-0.026630612,0.057146836
Zc3h15,-0.15032107,0.10565831,0.09806349,-0.12742683
Calcrl,0.007370605,0.034837075,0.09115733,-0.040909663
Tmx2,-0.019097425,-0.06344135,-0.004467242,-0.031214796
Ypel4,-0.2427006,-0.15877527,-0.51981753,0.90768236
Serping1,-0.11380777,0.25168988,0.15068188,-0.018341664
Ube2l6,-0.056122694,-0.13297929,-0.42588505,0.7732111
Timm10,-0.0007582251,0.07494803,0.06560595,-0.11612445
Slc43a1,0.07044225,-0.37429553,-0.64090645,0.98467803
Slc43a3,0.12145212,0.018760677,-0.11552908,0.20553535
Ssrp1,0.003740497,-0.04449643,0.02090926,0.047370724
Nup160,0.021258209,0.090123,0.08509104,-0.087384954
Spi1,-0.06834558,0.0085214805,0.038844135,-0.08473077
Nr1h3,0.061052017,-0.11016738,-0.0809855,-0.020588992
Arfgap2,0.026968218,-0.029340731,0.01084823,-0.13021334
Phf21a,-0.057689235,-0.0649693,0.1530957,-0.008826988
Pex16,-0.04552552,-0.021848291,-0.055138092,-0.035068978
Trp53i11,-0.1193842,-0.011711999,0.2802464,-0.27882272
Ext2,0.032208238,0.03541987,-0.06543199,0.034633406
Hsd17b12,-0.0132422615,-0.013436379,-0.12358875,0.09463426
Commd9,0.0065975534,0.022392683,-0.053626426,0.035792593
Trim44,0.1427958,0.0458673,-0.01070119,-0.08367972
Cat,-0.007247893,-0.01991337,0.009451527,0.086075574
Caprin1,-0.057869278,0.010977259,0.11810575,-0.1215485
Fbxo3,-0.045014635,-0.10239529,-0.010836821,0.0457064
Cstf3,0.053346094,-0.11830301,0.09145064,-0.042973727
Eif3m,-0.065545775,0.09473211,0.016657956,-0.08600657
Nop10,-0.046518594,-0.030967854,-0.0093151685,-0.07421438
Emc7,0.07024482,-0.052561406,-0.020917729,0.0036938684
Aven,-0.113291696,0.06591214,0.12020954,-0.1061466
Arhgap11a,-0.026140276,-0.09086359,-0.038561277,0.12800771
Aqr,0.0009931743,-0.06138634,-0.01811535,-0.010289766
Spred1,-0.18925178,0.031060368,-0.095783874,0.11567612
Rasgrp1,-0.13400343,0.2265708,0.11063953,-0.11579125
Eif2ak4,0.019970423,-0.001123178,-0.11046335,0.005584698
Knstrn,-0.11389321,-0.052639246,-0.05895333,0.102355585
Zfyve19,-0.10371919,-0.13433625,0.1042864,0.01429745
Vps18,0.0006318893,0.06909286,0.09804698,-0.08381668
Ino80,0.052877948,0.058889568,0.12780286,-0.11686082
Rtf1,-0.105283655,0.063381985,-0.042551685,-0.021131769
Pla2g4b,-0.048262898,-0.13634227,-0.01194771,0.012262443
Ehd4,-0.110525444,-0.06912022,0.07496867,0.065528676
Ganc,0.07859506,0.024654334,0.0184085,-0.04690762
Ubr1,-0.04560274,0.10799984,0.13746133,-0.09370237
Pdia3,0.04819477,-0.0029624354,-0.026326206,-0.008010322
Mfap1b,-0.06330792,0.0049537094,-0.0016822228,0.011109486
Spg11,-0.028411394,0.17850755,0.026537566,-0.07047983
B2m,0.46051568,-0.10479678,-0.24794465,0.029567108
Myef2,0.01713806,0.008508361,0.08449414,-0.08513146
Galk2,-0.060224406,-0.013151379,0.050582908,-0.071191214
Usp8,-0.027690146,0.041422524,0.0961149,-0.083890185
Sppl2a,0.0457896,0.0015946658,0.0024716568,-0.018922217
Snrnp200,-0.18333904,0.020892961,0.16875178,-0.012070939
Ciao1,-0.057393603,-0.12795696,0.10597409,0.030337665
Tmem127,0.0064087138,0.1291247,0.022716105,-0.101756945
Dusp2,-0.14879684,0.015217581,0.13256648,-0.09209828
Mtln,-0.15887888,0.023258572,0.14846522,-0.044905566
Bcl2l11,-0.03255953,0.009977938,-0.006002713,-0.056683574
Chchd5,-0.10196863,-0.11319975,0.1048455,-0.0006569568
Stk35,-0.063749924,-0.044748716,0.11960954,-0.045245506
Nop56,-0.08034926,0.09319625,0.21634771,-0.12733915
Idh3b,-0.083795376,0.037260875,0.12921587,-0.1170279
Cpxm1,-0.06989438,0.33402762,-0.013190019,-0.12013487
Pced1a,0.0030491264,0.0830273,0.01987996,-0.021973316
Ptpra,0.02488129,-0.1301236,-0.063771695,0.03889126
Atrn,-0.17201377,0.116700545,0.16196124,-0.019947592
Adam33,-0.08951166,-0.011221255,0.008757956,0.07333088
Mavs,-0.07713691,-0.0067819483,-0.046060875,0.04063571
Pank2,0.02342364,-0.10181153,-0.0743871,0.15723756
Smox,0.08808833,-0.12413635,-0.068586424,0.26413497
Tmem230,0.033067044,0.004698587,-0.023234973,0.03047641
Pcna,0.0055478336,-0.016590104,-0.09633584,0.047981743
Cds2,0.05653097,0.039691873,-0.03277399,-0.03493338
Crls1,-0.00022148248,-0.0333541,-0.068173125,-0.08266955
Esf1,-0.061369948,-0.076578334,-0.022665242,-0.05206635
Dstn,0.13964692,-0.19000973,-0.22125308,0.1471723
Snx5,0.23554412,-0.16154817,-0.108302146,0.051770873
Sec23b,-0.014473793,-0.012059849,0.018600328,-0.042996813
Rin2,-0.031569626,-0.019389251,-0.058204975,0.013971348
Nxt1,-0.008361754,-0.040122308,0.01931069,-0.046336606
Cst3,0.13513042,0.0019456984,-0.21587211,0.0897086
Zfp120,-0.024419088,-0.029070444,0.028801903,-0.10046054
Apmap,0.022702936,0.110162385,0.06220735,-0.17025453
