,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
IL6ST,-0.7650721,0.13652912,-0.22271997,-0.08930386,0.30222806,0.5203702,0.85171854,0.15004231,0.4885539,-0.39326495,-1.1465088,-0.25651178,0.7251444,-0.2929192,0.611359,-0.32199308
PLK2,0.93334836,-0.5263521,0.1383785,0.13205074,-0.44966772,-0.95056987,-0.89268714,-0.39383218,-1.1849662,0.19077282,-3.008975,0.5133662,-1.6234878,0.20340762,0.5609807,0.8519847
MRPS36,2.6049263,-4.5813227,0.8010646,-0.29510498,-0.25799584,-2.9850936,-1.463914,-2.4676945,-0.17069598,-1.0927536,-2.6570656,1.0909437,-0.957757,2.252133,-2.170673,0.6574797
BTF3,-0.37705642,-0.063441664,-0.22394826,-0.028734624,0.097086236,0.7612014,0.9965932,0.5067376,0.27281263,0.93324095,0.5357909,0.43790355,0.19764374,-0.65382046,-0.4397031,-0.33005002
HEXB,-0.12504138,-0.044602912,0.39029652,-0.1709009,0.121757165,-0.01747049,-2.657768,-0.8077136,-3.0935895,0.718524,-2.4646094,0.38061386,0.64793754,0.096534565,0.32941002,0.52955675
NSA2,0.69430053,0.5241632,0.35910302,-0.20432234,-0.95563734,-2.0995352,-0.18587229,-0.18965334,-1.0384939,-0.11156887,-2.4358854,0.99452484,0.24204984,0.0051802695,-0.45904943,0.51515347
TBCA,0.01427047,0.2349794,0.09448138,-0.12229629,-0.41890413,0.067910165,-0.9759041,0.3676862,-1.8595899,0.039256554,0.12729807,0.57320184,0.40044728,-0.16011818,-0.22520696,0.31920716
BHMT2,3.3955884,-3.3983688,0.66313756,0.11880098,-3.6702952,-2.2313752,-2.5860317,-2.523971,-2.0926232,-2.875852,-2.8847294,1.6781802,-3.0917346,2.6178823,-1.0058587,-0.03628723
BHMT,3.062911,-3.5660424,1.017097,0.052059676,-3.3696873,-2.734977,-2.9023457,-2.5291972,-3.089129,-0.6893114,-2.7207189,1.3497378,-3.0113654,2.6604114,-0.23966119,-0.6838475
VCAN,-2.502287,-1.7822206,-2.085029,-0.48095232,-0.7602195,0.51779944,1.8588445,-0.59247434,2.0200102,0.4122157,-0.23133948,-0.054372046,-1.361112,-5.0570965,-0.797607,-1.2640022
EDIL3,-5.9173017,-0.7029404,-1.5385731,-1.9547379,1.3205924,0.08456766,1.7315578,-2.250076,1.9546497,-2.4177403,0.6652809,-3.1849828,1.7299572,-3.8702888,-1.6832125,-0.9364237
ARRDC3,-1.6565664,-0.2831796,-0.55455655,-0.25353792,-0.35756764,1.2302,1.0495294,0.46392968,0.5048965,0.6259369,1.2885747,0.21321662,-0.29918167,-2.1411576,0.20274538,-1.7893119
GLRX,1.8048934,-0.66983634,0.30925518,-0.15911174,-0.28158435,-0.42170915,-0.65857756,-2.5719945,-1.316011,0.06271773,-2.2432792,0.86475605,-0.24073333,1.1103042,-0.34475157,0.9115164
CAST,0.5763891,0.5839537,-0.0700662,-0.53136396,-0.13728298,-0.65138453,-1.3241749,0.42728314,-2.185231,-1.6754287,-0.60527027,0.88374037,0.8409801,-0.681321,0.27380574,0.32832673
PAM,0.25426012,-0.58031833,-0.09349011,-0.093030564,-0.033235274,-0.6217984,0.8204785,-1.6077945,1.1147445,0.00037777092,-1.8236399,0.5673238,-0.083250225,-0.34530413,0.36998665,-0.14157996
PJA2,-0.15010065,0.2447541,0.0948763,-0.510165,-0.031244922,0.41919005,0.4094187,-0.8480306,0.80371535,-2.153117,-2.8362954,0.27017653,0.6840422,-0.5440789,0.02216232,0.79410154
NREP,1.2310119,0.5177855,0.4921807,-0.42856434,-0.12555142,-2.5588555,-2.9801173,0.21923588,-2.9294634,-1.95729,-1.7502815,-0.26550514,0.69685656,1.0715939,-0.752057,1.0507272
EPB41L4A-AS1,0.6379025,-0.31534627,0.779351,0.041268673,-0.13576697,-0.54607344,-2.920885,-0.6620964,-3.319723,-0.88026726,-1.6040646,0.4568462,-0.23641863,0.80377764,0.07856381,0.9537699
REEP5,0.1374176,0.025857806,-0.13895983,0.006051902,0.016947133,-2.1866994,0.0011042659,0.56775403,-1.1577569,-2.868614,-0.9136152,0.55026454,0.89775324,-0.12937325,-0.15624166,-0.45463526
TMED7,0.75930536,-0.73878616,0.4072765,-0.41439375,-0.027766611,-0.49807203,-0.49702832,-1.38365,0.28918967,-1.9943587,-2.3153863,0.50939614,0.63212156,0.43416658,0.15439567,0.7014014
AP3S1,1.2764677,-0.13540486,0.50283754,-0.3281413,0.1654605,-2.8228714,-2.371824,-0.8783062,-2.8496292,-2.7458992,-1.4252877,0.26315758,0.9601449,1.0884063,0.043403883,0.47004333
LOX,0.26067415,-0.6954204,0.21163787,-0.2580062,-0.10910257,-0.7949371,0.57309455,-2.4878652,0.54082096,0.17428325,-0.3174225,0.36028627,0.50624436,-0.0635825,0.1573291,0.11847147
SNX2,0.8535957,0.35420054,0.60477364,-1.2580327,0.15684289,-2.0733626,-1.2036928,-1.2597022,-1.6830008,-0.44895765,-2.5688384,-1.1892636,0.69654095,1.3461854,-0.21412252,0.42494753
ALDH7A1,3.6985655,-4.58576,0.30709916,-0.37066478,-3.4679239,-2.7105992,-2.1303575,-2.4935882,-1.3451129,-1.1356288,-2.1817837,0.48673666,-2.561563,3.3924959,-1.8055834,-0.7919907
CDC42SE2,1.2300798,-0.08632037,0.5147077,-0.30195284,-0.6022339,-1.2487249,-0.5166383,-2.5912051,-0.5254236,-3.0680482,-0.21962482,0.71876884,0.5046849,0.5171357,-0.0022743463,1.2038455
P4HA2,2.5438404,-0.84208316,-0.37657148,0.023149056,-0.334961,-2.7348583,-2.8460782,0.29558206,-2.7500145,-2.6978054,-2.6915808,0.5862299,-0.15121487,1.2528834,-1.4590132,1.2536287
IRF1,0.6636611,-0.43703786,-0.9555283,-0.84475464,0.7820589,-0.0016985674,-0.043626264,0.6678807,-2.4603486,-0.7114233,-2.5135317,-2.7178082,1.2841333,0.27993083,-2.122279,0.8158338
UQCRQ,-0.46059275,-0.8654087,-0.7687004,-0.19957727,-0.5076165,1.0093024,1.2246358,0.39334366,0.9656713,0.92957264,1.0155025,0.25319174,-1.3340299,-0.92162514,-0.5939578,-1.5437136
C5orf15,1.396874,0.08722967,0.86874056,-0.34287435,-0.13932952,-2.788609,-2.1643596,0.06274909,-2.9718068,-2.4094124,-2.3513453,-0.3446417,0.44975695,1.5332258,0.8794323,0.80221826
VDAC1,0.90008754,-0.116592675,-0.054555226,-0.07789836,0.087048516,-0.9636866,-1.0742884,-0.12400517,-1.3053681,-0.3684821,-2.3852298,0.8569981,0.58090454,0.38128865,-0.0386939,0.0055372673
SKP1,-0.42606208,0.022160139,-0.25276083,-0.044111893,-0.00072800677,0.4587291,1.1919855,0.7648242,1.0611,0.85353357,-0.8578313,0.28753155,0.12264529,-0.56313396,-0.06882701,-1.1019576
PPP2CA,0.5940426,-0.3181362,-0.0721736,-0.009702611,-0.46974245,0.42140996,-0.8807209,-1.4106766,-0.030110624,-1.1263195,-0.44653025,-1.10736,-0.024520084,0.49131587,-0.28460708,0.928299
UBE2B,0.122624956,-0.5758932,0.15102145,-0.47728387,0.28250495,-0.2375019,-1.3719883,-2.4650917,-0.16942476,-0.5350105,-1.4508985,0.3436967,0.5471915,-0.17215931,0.43004695,0.42972964
CAMLG,1.0694379,-0.9779263,0.8718641,-0.7166395,0.4248389,-0.2120242,-3.071577,-1.5279369,-2.180501,-2.830756,-1.5643964,0.31428674,0.27018058,1.5389382,-0.8408238,1.3280665
H2AFY,1.0799402,0.245905,-0.010481407,-0.20946567,0.38754562,-2.3760579,-2.892868,-1.6168919,-3.0164568,-1.8936042,-2.3677068,-0.5496218,0.9509653,0.42348891,-0.34497118,1.417608
CXCL14,1.1649485,-0.8492713,0.026379317,0.32933733,-1.9852853,0.43625787,-1.0290966,-0.8933578,-2.815836,0.6447444,0.30868638,0.8741497,-2.683731,0.62078226,-0.28989214,0.3049154
HNRNPA0,0.16436118,0.18729067,0.20211488,-0.524673,0.3740697,-0.38086033,-2.608228,-1.0999576,-1.6565325,-2.1197999,0.16556135,-0.23134862,0.7528922,-0.18152785,-0.08425501,0.8642395
EGR1,-1.6613333,-0.07320583,-0.51729804,-0.32478464,0.11969775,0.77661365,1.0189471,0.6090069,0.88417715,0.12796794,0.30503336,0.4126156,0.2956451,-3.416052,0.30180314,-0.44882375
CTNNA1,-0.41742384,-0.18878147,-0.4540233,-0.0036870232,0.05954637,0.26438853,1.013889,0.15453373,0.8797107,0.39624715,0.39205176,0.51130044,-0.052343886,-0.68590426,0.17386743,-1.0834103
PAIP2,0.18478109,-0.0087322295,0.54317814,-0.83575165,0.41658023,-0.56457716,-1.8375754,-0.69116896,-0.36020616,-2.5621126,-0.2205853,0.6894823,0.899564,0.48499325,0.03885594,-0.3130118
ECSCR,-5.296078,1.1601393,0.5277953,-0.43154293,0.7594412,-0.09768055,0.43175152,-0.00026854692,-2.3339968,-2.7182205,0.785659,-3.072172,1.1910421,-1.0598617,1.0545486,0.11902385
UBE2D2,0.5400983,-0.69962263,0.37766767,-0.045470435,0.26974767,-1.9893255,-0.6148428,-0.29142183,-1.6162803,-0.3226721,-3.1640692,0.3949113,0.2967669,0.47248858,-0.5700493,0.6532101
CXXC5,0.13217953,0.058875844,-0.27697727,-0.04801658,0.009871732,0.03416947,-0.83359975,0.52044666,-3.3732386,0.36352503,-0.5620692,0.38052872,0.23567896,-0.34721267,0.12756388,0.1248268
CYSTM1,0.9761845,-0.30651188,-0.1177762,0.06858428,0.011707091,-2.912728,-1.5208764,0.22355856,-3.232909,0.35294813,-2.8223672,0.6539551,-0.5370074,0.505901,-0.49420726,0.7226147
PFDN1,1.5012081,-0.79273343,0.4336709,-0.21808188,0.12620063,0.08806633,-2.5302215,0.41954777,-0.7337238,-2.3158863,-2.5039084,0.5728391,-0.0072236266,1.1835895,-1.9728415,1.049895
EIF4EBP3,1.4903154,-1.3950608,0.45626912,-0.026429273,-0.9553063,-0.38711542,-0.334257,-0.9835418,-1.5229459,-2.3263123,0.19729674,0.029723732,-2.2919562,1.0624125,-1.2509397,1.4032438
NDUFA2,0.20112301,-0.22638129,-0.3911547,0.0110315895,-0.069216885,0.36160174,0.6380944,0.59723705,0.2248643,0.79872,0.25371587,0.37036377,-0.42182103,-0.1530504,-0.17378367,-0.6383701
