,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,ATAC private topic 3,ATAC private topic 4,ATAC private topic 10
221.18619238088982,5.143608,6.006545,-2.7782726,-4.3174925,-4.4128695,-4.2482867,-2.2731035,-0.87587655,-11.694084,-2.871416
223.10945238689277,4.539866,3.3322911,-2.975921,-4.1163282,-4.601171,1.0303947,-0.85322404,-2.5492284,-11.948813,-2.9373403
227.06803885421309,4.5243855,4.0732183,-2.7843492,-4.635695,-5.049099,0.6330016,-0.26250517,-0.9671987,-12.797258,-3.6297135
233.02111811266192,3.3446646,4.9816136,-1.9065279,-4.6000156,-4.6471925,0.08077167,0.019074468,1.8599305,-10.822123,-3.1877747
241.0473618927395,5.067219,4.8120213,-3.2944145,-4.4094453,-4.7255917,0.8381007,-0.52264947,-2.5206497,-11.903949,-3.6506364
243.0829710976259,2.386578,4.272313,-1.301465,-3.9193091,-4.26369,0.1935796,0.15940702,1.941288,-11.12532,-2.9099116
243.09931152472012,3.4554186,5.683178,-0.75513726,-4.503855,-4.279452,0.19404568,-0.041681673,2.672428,-11.167191,-3.3569083
251.10447077523585,4.9876504,5.0766306,-2.9633121,-3.665831,-4.390706,0.38699886,-0.53804666,-2.0162563,-10.592455,-3.6784506
253.08364230631653,4.432269,4.921765,-2.6836927,-4.5465264,-4.8386164,0.55236125,-0.18465105,-0.51980686,-11.493061,-3.5400314
255.09915080142363,4.089272,5.335469,-1.5945933,-4.584625,-4.7454205,0.20988338,0.06919068,-0.15070379,-12.007859,-3.5060253
255.1356014347429,1.7527587,3.7074337,-2.9841337,-3.713654,-4.4936185,1.1319886,0.31744692,-0.46564054,-10.397873,-2.926556
261.05228436757915,4.8122535,3.2498362,-2.5401113,-4.256065,-4.2971153,0.42972502,0.031783212,-1.4741528,-11.077015,-3.067254
261.10966185035926,3.3711472,4.754827,-1.7220583,-3.8937185,-3.973474,0.35492826,-0.77699614,-0.44263506,-10.971149,-2.9030142
267.09922367205917,2.9226794,5.849044,1.3905015,-3.6499493,-3.921126,-0.10063406,-0.10028473,2.6195178,-6.7367516,-1.8894277
267.1355665990693,3.1167507,3.1908937,-3.7186365,-4.5527396,-4.4938064,0.9272968,-0.6304628,-1.1376729,-11.648278,-3.5989392
269.114922695292,4.463951,3.4102817,-2.0012386,-4.62459,-4.754655,0.42844653,0.4228532,-0.017287374,-12.401968,-3.2558866
277.1046854722379,5.0567493,4.835989,0.90667266,-1.5800875,1.1057092,0.6641192,-1.3083804,-3.4196177,0.3792473,1.3995816
283.1305129141175,3.2779765,6.011661,1.3955228,-4.388183,-3.3617392,-0.04216102,0.068589516,3.0123847,-6.8472977,-3.0672915
293.1149201372592,4.0201464,4.8782835,-2.3864841,-4.2391567,-4.412704,0.7520212,0.1590859,-1.4527624,-11.058998,-2.7984707
305.1568601303938,-7.880025,2.2759848,1.0370579,1.8879912,2.8325825,1.192072,-1.8223884,-3.4967413,8.45559,1.3717604
317.11518519135484,1.4447228,6.102586,2.6312883,0.4586525,-0.0365816,-0.5948153,0.17774047,3.7983541,1.1939521,1.2875822
321.13096874610164,2.5902705,-0.48163605,-0.14991604,1.614913,2.2687764,1.0925012,0.6873881,-4.8548794,4.1624174,2.9856284
325.177311613809,2.8156605,5.960928,1.4993875,-4.2324114,-3.3017995,-0.16823494,-0.27198228,2.9597208,-6.7754993,-3.0713906
331.20901611987676,2.9766545,5.2163696,2.4227626,-4.5794168,-4.8979583,-0.5971152,-2.4438217,3.6648524,-12.612136,-2.9686365
365.1570478361734,-1.855198,-1.5157907,-3.9076374,2.2824647,2.8737075,1.210589,0.8025889,-7.2556033,8.485653,3.069613
409.18336016445807,-10.577881,-2.076129,-3.9853988,2.6122088,3.192601,1.4795448,-1.2830324,-7.316238,9.666057,1.9941994
450.55301652070364,-14.289604,-8.253551,-4.4079156,3.0979214,3.0475771,1.6448249,1.963392,-8.47007,10.628421,2.5318093
450.8877268561712,-14.118662,-8.268528,-4.3270025,3.151943,3.2221138,1.6790907,-0.5375068,-8.430853,10.844292,0.8978512
453.2095792347797,-10.078253,-8.379272,-4.1108203,3.1192343,3.3827167,0.9680681,-3.0365205,-7.195506,10.8422985,-2.4974253
463.9115409998158,-13.439142,-7.7565975,-3.9910989,3.4612193,3.060942,1.0238853,-2.16964,-7.4599056,8.362481,-2.503343
465.2283399515315,-13.794352,-8.486984,-4.5060606,3.0761137,2.6244082,1.554759,2.9031582,-8.505312,9.645966,4.4004693
465.5631258867581,-14.557051,-8.513824,-4.4783154,3.153437,2.8587642,1.7383217,2.1727102,-8.465931,10.437639,3.5723605
465.89656668656824,-13.830351,-8.412346,-4.1931276,3.2547693,3.1529646,1.5408709,-0.056860704,-7.9377527,11.158503,1.0354024
466.2306747417568,-13.496147,-7.6208744,-4.0265093,3.2034109,3.2015438,1.0811346,-2.363793,-7.9544106,10.778544,-2.77896
