,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,ATAC private topic 3,ATAC private topic 4,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
33,4.4024177,1.114176,0.44494945,13.499054,1.0323772,1.0178936,0.67986065,1.3433795,31.770115,1.2965118,1.0419884,0.6510731,0.77546704,0.6337161,1.8402413,0.58058363,3.814394,0.3021179,2.195669
34,3.674631,0.9205542,0.53394175,15.7944145,1.0188401,1.0647771,0.7257737,0.9850639,31.105047,1.1643324,0.83689904,0.71723396,0.5529078,0.69254315,1.0056007,0.7646777,2.7113667,0.29633927,2.3297698
35,2.5710425,0.97575295,0.35399407,20.52187,1.1191784,1.7989914,1.1792693,0.8253347,38.41486,1.0601239,2.0028465,0.757047,1.9863805,0.7945595,2.5964708,0.48870555,1.3935438,0.37908778,0.82703805
36,1.7832588,0.86044115,0.29375643,14.694912,0.9934012,3.0258687,2.0601728,0.8949388,71.45377,1.4880099,1.0157166,1.0405004,18.635296,1.1834903,5.2214794,0.45046717,1.1828301,0.42403084,0.3422926
37,1.5770062,0.78663284,0.27185264,12.795552,0.89983827,1.8452723,3.441783,0.9265404,81.36252,1.6008939,1.0441566,1.4515518,202.65341,0.99434215,7.4321575,0.6664921,1.7574149,0.7600314,0.5422472
38,1.5593828,0.8463808,0.26277295,11.679455,1.0844476,2.2996166,3.0124626,0.8960141,91.471725,1.6176863,0.9080008,1.4455866,711.8083,1.2576487,1.996393,0.8381297,2.038491,0.7280593,0.69840044
39,1.5204997,0.7841375,0.25265396,11.3873825,0.9535388,5.7247705,2.8883247,0.8599404,71.89799,1.445024,1.0653563,1.3786908,755.5779,1.4709337,1.2521367,0.84679323,2.0314746,0.73637074,0.75482565
40,1.7325594,0.8211032,0.29399818,12.907858,1.0100288,3.1375859,1.3231716,0.864449,74.95534,1.5975951,0.92953223,0.90572053,80.233116,1.0900211,0.46378475,0.9968273,2.6681542,1.0082517,24.056517
41,10.440773,0.40022793,0.90302956,1.8244143,0.87902963,0.5782855,0.78258204,1.9425762,19.962599,1.2346362,0.6783103,0.5596779,0.69773275,0.6396063,5.608149,0.6332689,38.290985,0.44417167,1.1676204
42,10.364744,0.49932563,0.9229245,1.7406375,0.9332798,0.6326293,0.7809742,1.8547945,4.4043303,2.8633873,0.68657666,0.56310666,0.65636945,0.6036535,3.6416235,0.67318463,30.906933,0.49936706,1.3233504
43,10.876487,0.68032086,0.75110877,1.0979228,0.7460995,0.58941233,1.035901,2.0252273,3.846773,2.7161906,0.70436054,0.58527726,0.7312432,0.6825605,5.962988,0.5860728,34.312553,0.53757614,1.0196217
44,12.484415,0.5863045,0.7907955,1.293801,0.8061234,0.591992,0.7226993,1.9503274,5.6630564,2.0995493,0.669044,0.53373003,0.73229396,0.6466868,17.445646,0.47382915,46.779327,0.39871076,0.94980747
45,16.861462,0.49583274,0.68732214,1.4015399,0.8101852,0.6355748,0.7699385,2.055952,6.1184726,1.9348913,0.6235833,0.4880547,0.7339423,0.61462647,30.9799,0.4536066,48.307053,0.28691304,1.0289009
46,8.979204,0.61184883,0.71143675,1.8065758,0.8608192,0.60240734,0.6495614,1.8389319,7.4735746,1.7197818,0.5953737,0.5302258,0.64412826,0.58511156,10.337628,0.5383697,33.919178,0.36127597,1.7569995
47,8.402036,0.84549093,0.50800025,3.0335588,0.9092542,0.6543733,0.53908026,1.0738776,11.300894,1.424633,0.6983101,0.5148364,0.58432126,0.57773477,1.776617,0.7823474,17.389715,0.44618616,3.4157248
48,7.5112906,0.7106917,0.60440534,2.9837656,0.9145299,0.69680554,0.4873224,1.3649721,16.845655,1.070531,0.60547507,0.5104407,0.53900075,0.5212042,1.8577026,0.7634788,15.736086,0.41891834,4.0932155
49,8.57626,0.98598486,0.54785156,6.514494,0.8355609,0.7376542,0.52293533,1.2472218,15.025244,0.9455623,0.6555365,0.5588603,0.67179817,0.56324536,2.070259,0.60477155,13.395617,0.44070396,3.530494
50,2.9772482,1.6359742,0.4473905,22.71767,0.9838252,2.0012465,0.8034128,1.031576,11.090699,0.88630646,3.0037825,0.7091921,1.4763335,0.6971643,1.5198889,0.4631883,2.601792,0.23526455,1.0306224
51,3.9148712,0.9549342,0.49446338,21.835217,0.96838677,1.1544913,0.8272985,1.1799686,13.361477,0.70035136,0.8188788,0.7417458,0.5841097,0.68033975,0.9409493,0.71636266,2.409552,0.2864845,2.2660868
52,3.4961598,1.0110376,0.64691705,14.3575325,0.85503733,0.97457623,0.7502473,1.8285842,37.484234,0.9729596,0.87179637,0.761977,0.6092064,0.7002748,1.054513,0.7051632,2.6452038,0.29827207,2.06148
53,2.3723629,0.9544983,0.38224363,18.407316,1.3356833,0.9657169,0.7640127,0.83110625,64.23483,1.2432852,0.9032937,0.77295107,0.96910566,0.8012139,0.94928706,0.7328382,1.474412,0.35610422,1.225104
54,1.7896322,0.9964829,0.27795854,14.998703,0.99040854,4.4978914,1.5072452,0.821154,60.357452,1.2109585,1.565672,1.0132122,21.49601,0.9689879,2.0470576,0.5081985,1.1927767,2.3330023,0.3422084
55,1.6739097,0.8022697,0.27260125,14.361877,0.84885657,3.5630324,2.6687546,0.85879314,67.276184,1.4037554,1.3837805,1.8387334,231.65608,0.99892896,3.9152508,0.7471148,1.9116852,0.76783484,1.1170483
56,1.555029,0.77427673,0.25548697,12.533673,0.8942887,7.467576,2.7815044,0.83364606,62.675316,1.222315,0.9762011,1.4192127,755.5044,1.31175,1.573751,0.90224934,2.0959954,0.7210377,0.7667447
57,1.6099817,0.7815362,0.26160595,13.253956,0.9725147,7.54936,2.3356678,0.89468396,75.521675,1.4556171,1.1993136,1.3096002,705.19476,1.7065841,0.88640255,0.7807038,1.9620097,0.765403,0.8239574
58,1.7534418,0.8431152,0.30234307,10.870959,1.0216264,2.1623652,1.1409873,0.80238205,50.177322,1.4224058,0.8937425,0.91386986,56.711887,1.0264469,0.51737654,0.975313,2.7703893,0.9901091,21.97943
59,1.711471,0.96195066,0.28546324,9.792803,1.0279315,2.594554,1.1056213,0.766827,58.350124,1.3264549,0.39998603,0.9339845,0.4871434,3.622564,0.49970838,0.58577657,2.8681288,1.1283394,0.5960789
60,1.4917855,0.79546213,0.2431573,9.944891,0.88108623,3.2985675,3.8069012,0.73517585,45.932915,1.2875901,0.5940354,1.4750948,1.5078399,33.53459,0.66074014,0.6697551,1.5907278,0.8933845,0.49844602
61,10.043982,0.4045166,0.71099246,2.1961057,0.8890287,0.574543,0.63567716,1.9045416,22.200592,1.1705275,0.6889847,0.5681538,0.7099129,0.6542819,5.8576436,0.5486793,31.313498,0.56873,1.0343729
62,10.520335,0.4778369,0.9229449,1.5595512,0.86125374,0.5966643,0.83555114,2.376711,4.030467,2.9743016,0.6932397,0.5561931,0.65748984,0.59764785,3.8697906,0.6956409,32.581882,0.4619103,1.3272656
63,16.581074,0.5659165,0.96690154,1.0046872,0.6991672,0.5700741,0.81132674,2.4966598,2.6688313,3.1952136,0.7029474,0.58943284,0.7084425,0.63769895,5.101694,0.6439411,28.858885,0.4658465,1.236103
64,16.267117,0.8371929,0.9039937,0.71905065,0.5836303,0.5825615,1.049662,2.4850354,2.5599835,3.011299,0.69123894,0.5652123,0.7503176,0.6383319,8.158932,0.55885464,33.3291,0.37986097,0.962971
