,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Asb8,-0.999472,-0.029510288,-0.033911668,-0.14947285,0.34911123,0.13001329,0.053576574,-0.0039427485,-0.15008874,-0.04657709,0.33072197,0.13586792,-0.1812256,0.13909666,0.005175214,-0.46839836,-0.36876717,0.04345674,-0.9114832
Ddx23,-0.4457412,0.34195217,-0.00016051823,0.08995832,-0.15250899,-0.48726836,0.0054152906,-1.4815398e-05,0.0019394048,-0.031028826,-0.0029907948,-0.0025048405,0.042622507,0.045487948,0.050623503,0.0094580855,0.020291416,-0.49811545,-0.3253964
Spats2,-0.34864327,0.42179027,0.10517667,-0.32381338,-0.10243682,-0.84957564,0.043284684,0.07973014,-0.27556676,-0.038260065,-0.03175419,-0.03446119,0.044584844,0.4872864,0.28752407,-0.418257,-0.6119443,-1.004455,-0.70843494
Tmbim6,0.25573546,-0.36173204,-0.39040202,0.39982277,-0.053689513,0.6612368,-0.44672754,-0.053798713,-0.023545137,0.032688662,-0.15918839,0.020638151,-0.39481822,-0.40738985,0.23089285,-0.35004857,0.19554745,0.62367606,0.45630926
Cers5,-0.5625092,0.119548135,-0.0039658756,0.04023109,0.020253845,0.17378978,0.0077852723,0.01763473,-0.18312901,0.00614091,-0.022576775,-0.10617642,0.025693305,-0.08528766,0.24715999,-0.072899885,0.017542677,-0.104860224,-0.72277534
Larp4,0.028225888,0.072412945,0.0063633607,0.031934943,-0.06390233,-0.21891695,0.006872655,-0.01433887,-0.0081534,-0.008997188,0.0053473487,-0.046668522,-0.010561112,0.038107872,0.051785287,-0.026000246,0.050944258,-0.056495752,-0.25650913
Tfcp2,0.1502113,-0.08824267,0.014196124,0.28499058,-0.6836381,0.3322448,0.009923559,0.053250287,-0.12031889,-0.7398144,0.15877403,-0.27635378,0.18989792,-0.117378555,-0.23979995,-0.13348308,0.08739226,0.39624202,-0.9634019
Slc4a8,0.16609256,0.19216284,0.6319383,-0.23222949,-1.4647223,-0.7363112,0.6870367,0.37846595,-0.7415469,-0.8081664,0.8174339,-0.51274014,-0.10120858,0.5192125,-0.28709602,-1.0717869,-0.15644425,-0.35789186,0.20624547
Eif4b,0.19479868,0.26271787,0.0117683355,-0.48408386,-0.05458061,-0.056071877,-0.0056174085,-0.010784999,-0.05793851,-0.021598505,0.037624933,-0.023699794,0.059606265,0.043395016,-0.13797465,-0.034080178,-0.3150161,-0.0558664,-0.18970329
Spryd3,0.39250076,-0.2887929,0.037193432,-0.01814452,-0.0404634,-1.4522647,0.007031899,0.022268904,-0.046507534,-0.01001339,0.41519025,-0.01785667,-0.074963234,-0.16156481,-0.010690526,-0.07771356,-0.002716272,-0.85940534,-0.6372254
Pfdn5,-0.4815766,-0.5829005,-0.31401455,0.72423434,-0.9394533,1.0269675,-0.49859172,0.011586575,0.16696887,-0.25349608,0.015074485,-0.6566384,-0.17959021,-0.2839839,-0.21777512,0.6798667,0.089095384,0.53331494,0.6338675
Atp5g2,-0.35285997,-0.40328225,-0.018101836,0.009517232,0.029643059,1.021343,-0.26889792,-0.13524276,0.18405323,-0.08005671,-0.19925828,0.21455422,-0.27613205,-0.04069544,-0.6966256,0.7217156,-0.2660422,0.5359054,-0.08687063
Copz1,-0.02372756,-0.025084771,-0.014453898,0.055224672,-0.09774827,0.29201245,-0.0034441156,-0.0015795056,0.0068460223,-0.009087488,0.024878945,-0.09281308,0.018944386,-0.049083147,0.019671082,0.025453951,0.027605763,-0.06381662,-0.40104684
Pde1b,-1.3834398,-0.81197983,-1.4481151,-1.9172277,2.2236395,-1.4636928,-1.674916,-1.1285181,1.2871627,0.69838715,-1.136299,1.4859692,-1.5333835,-1.5117953,-0.87215877,1.4117991,-1.6298977,-0.66068125,-1.287332
Ppp1r1a,0.21380308,0.21671388,0.086892985,-1.2484316,-0.20945573,-0.12912385,-0.012196878,0.14490308,-0.06789045,-0.25755763,0.9518613,0.3474421,-0.010063252,-0.018084506,-1.08843,-0.64545274,-1.2208244,-0.36929145,-0.15704146
Cluap1,-0.47048724,-0.2319298,-0.06343998,-0.14015606,0.49509323,-0.71146566,-0.053269632,0.043768648,0.10993902,-0.06073919,-0.17382738,0.021902038,0.11031705,-0.0674189,0.3892942,0.11782334,-0.26078638,-0.46645397,-0.4695058
Trap1,0.17132509,-0.1796867,-0.085518025,-0.17787515,0.05740606,-0.0066868546,-0.0116143115,-0.011400517,-0.004557646,-0.009798672,-0.010437761,0.0069305715,0.035738334,-0.0059654894,-0.035805907,-0.028815283,-0.08518618,0.24024798,0.7276562
Crebbp,0.12680727,0.0475806,-0.16953462,0.07365276,0.032784294,-0.58699894,-0.09117316,-0.009405627,0.042657513,-0.027976088,0.04494902,0.04055871,0.006988041,-0.09014836,0.04591767,0.06172227,-0.035951033,-0.8809533,0.53059244
Pam16,-0.49483767,0.0035342758,-0.069058485,-1.3795053,0.22724387,0.3722767,-0.052411243,-0.0046211453,0.12007459,-0.18813922,-0.035505176,0.5021008,-0.07791124,0.021979425,0.025429796,0.021411002,0.025788672,0.063582525,-0.63657176
Coro7,-0.70790744,0.004205892,-0.10855786,-0.743363,0.9470424,-0.18394303,-0.044034436,-0.1542869,0.39934364,-0.41465992,-0.5099793,0.65582126,-0.36314258,-0.27581787,0.079947025,0.44218764,0.27359685,-0.046157308,-0.8774864
