,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 6
TAP1,-0.0017750384,0.061392475,-0.9496919,-0.43890363,0.0013384048,-0.29649115,-0.0006183044,-0.5344094,-0.008566834,0.0017133912,-0.0061277063,0.003019933
RXRB,0.01079978,0.054252423,-0.6797082,-1.2802099,-0.0019841106,-0.005023562,0.00018502762,-1.2908419,-0.020653097,0.0010803905,-0.03867619,-0.0018340785
SLC39A7,-0.008305788,-0.046613142,0.07620991,-0.31122363,-0.0012528138,-0.037960853,0.0033718357,-2.1043043,0.0014005483,-0.0020241712,0.0022917741,0.0028075892
WDR46,0.017026987,-0.05216088,-0.028793937,-0.39982024,-0.004567512,0.023464687,0.0007725663,-0.05787709,-0.008202048,0.0010764125,-0.007871916,-0.00024529835
PFDN6,-0.032807186,0.024444535,0.15046243,-0.09061581,0.015571832,0.17936124,-0.003098171,0.48820803,-4.3875723e-05,-0.00726422,-0.00831949,-0.0020294925
ZBTB22,-0.009889095,-0.05001975,-1.1701547,-0.1671906,0.09013676,0.023127433,-0.00019332337,-0.0666948,0.022518832,-0.0077643236,-0.015039724,0.0027161094
DAXX,-0.011409755,0.036972642,-0.72730285,-0.100646645,-0.012084842,0.1096905,-0.0026273045,-0.70460427,0.00439983,0.004610868,-0.00311557,-0.0023855513
BAK1,0.008576069,0.04754487,-0.579242,-0.6171262,-0.005911927,-0.06633305,0.0025683702,-1.7144009,0.008975624,0.010871521,-0.010939953,-0.0022420315
HMGA1,-0.110027835,1.036356,-0.5040825,-0.3510077,-0.13448605,0.8147385,-0.36213177,-0.6732934,0.19694681,0.07838508,-0.41271433,-0.077025376
SMIM29,0.009402813,-0.1979755,-0.21239239,-0.10988823,0.024780918,0.044597786,-0.0017970213,-0.7877681,-0.00761365,-0.004092388,0.0012294224,-0.0020220259
SNRPC,-0.005200666,0.1629452,-0.8271868,-0.22006682,-0.00062380446,0.009882064,-0.0002882338,-0.8190779,-0.0005075919,0.008938929,0.00077819073,-0.0056670466
TAF11,0.0005825842,0.073010534,-0.748394,0.026529359,0.00279937,0.019777762,-0.0064186687,-1.6191047,0.0049335817,0.005662634,-0.0037830018,-0.002386924
ZNF76,0.010416006,-0.07577619,-0.7327685,-1.5015115,0.050517716,-0.05473773,0.002432295,-0.6369228,0.006194471,0.004807479,-0.013542042,0.009348797
DEF6,0.011654799,0.41423744,-2.7142572,-1.0100001,-0.05165992,-0.059332058,0.0035590436,-1.9387435,-0.11850466,0.117922634,-0.5806531,-0.0017528622
PPARD,-0.011703319,-0.055633888,-0.7327272,0.5935227,0.04096762,-0.021623086,3.851505e-05,-2.1620352,-0.031618014,0.0027919584,-0.016395753,0.00524014
FKBP5,0.012509415,0.76779467,0.83292043,-1.6693585,-0.2482176,0.08950904,-0.09251642,1.4218118,-0.29519752,-0.00086034206,-0.1257473,-0.1445567
STK38,0.1042638,0.06739386,-1.1281354,-1.2094902,0.027313514,-0.45378765,0.002757298,-0.96232647,0.0027698635,0.023680734,-1.1505883,-0.016094958
CDKN1A,-2.988585,-2.2134094,2.2022576,0.77162224,-0.469512,-1.2067151,-1.5458771,1.533842,-0.48923585,-2.3887181,-0.55197036,-1.2234951
CPNE5,-0.58064836,-1.8096671,-0.9502019,0.3740469,0.033565618,0.4034489,0.36845475,-1.0389555,-0.02670659,-0.5728822,0.12115476,0.095254004
FGD2,-0.14210688,-1.2790704,-1.6370963,0.25428623,0.0965829,0.12511522,0.05088771,-1.6438566,-0.0027287474,-0.37835914,0.002382502,0.051617455
PIM1,0.46214193,0.27966046,0.7375147,-1.8639815,-1.208834,-0.7575678,-0.08584032,0.6343681,-0.012159318,0.09467733,-0.99409926,-0.45084858
CMTR1,0.00082415657,0.028779957,-0.7592782,-0.48908064,0.015298008,-7.8418016e-05,-0.0015412528,-0.5449541,-0.005126731,-0.0006752172,-0.007975076,2.7179165e-05
CCDC167,0.017724592,0.13540816,-1.5159461,-0.17538223,-0.060700726,0.03783775,0.0007063448,-1.546625,0.00254405,0.0028402738,0.0016754663,-0.0027537735
BTBD9,0.047250748,0.12802255,-1.4500406,-0.68018,-0.044348612,-0.11488054,0.0018410035,-2.5422118,0.007368283,0.039053045,-0.0123804575,0.0028859724
OARD1,0.014367491,0.03592549,-1.841985,-0.4172349,0.0016239887,-0.056220304,0.0014003345,-1.5127722,-0.023037499,0.017798465,-0.04076559,-0.0013890218
