,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
10_39,2.0596085,0.8776788,0.6741594,1.2407278,0.9593378,14.992529,1.4356029,0.55625933,5.762617,0.6075964,5.352771,2.013664,2.3014212,3.8567212,2.3410628,246.55759,0.9959961,2.202872
10_4,25.75852,0.6963507,0.62061197,0.68437105,0.80884564,1.4464453,1.2404573,2.9658475,3.0686784,1.5394293,1.0933564,17.006348,1.2216009,0.9324143,5.1526756,0.8446748,0.95886195,0.82661414
10_40,3.3082552,6.2830524,1.1299992,2.13835,0.7940957,1.825029,1.7238114,0.93173563,3.8827317,0.6360725,11.766235,1.2975383,0.81493235,5.4526296,2.6450841,3.7933736,1.4592142,2.2387676
10_41,6.8873873,1.4895933,0.9493338,2.4683616,0.9881873,1.1571069,1.3712083,2.0824594,2.76312,0.7522059,13.475185,2.4733067,1.3806485,2.149451,23.240368,1.4159127,1.9123919,1.0303155
10_42,27.645653,0.68248045,0.7821759,0.7586501,0.8568871,1.0453975,1.3780737,9.686436,2.7959576,1.236717,1.9112663,4.895991,1.2988378,1.1979582,7.4443355,1.0680928,1.9173168,1.2543275
10_43,2.590669,1.1724057,0.5752125,2.637229,2.7673352,1.3207638,2.1432557,9.275788,12.3981,0.29881024,5.15417,2.1744795,10.675291,3.3255806,4.8410206,3.6417756,0.37159184,0.57137984
10_44,12.110849,1.1133153,3.2834775,0.9518372,1.3526819,1.0801077,1.3958611,2.8565528,5.455292,1.6663016,1.0573368,3.716782,1.2905039,1.1988411,4.38657,0.92356545,4.0520096,2.6248791
10_45,1.9071028,0.9189537,0.5811411,3.2967334,1.1470194,8.110339,2.1256351,0.55696315,3.4934177,0.6595856,4.2871943,2.339233,3.883588,14.352474,2.5456362,262.90997,0.58556855,0.6913082
10_46,4.1326547,4.1063685,1.0204835,11.284982,0.9167136,0.9367332,1.3849154,1.6540849,5.0975657,0.5755537,11.898321,1.6358159,0.80312806,1.3648059,4.8361387,1.3903354,1.8590177,0.8313632
10_47,6.4510765,0.75868124,0.5533778,0.78824574,1.395136,0.9800265,1.2559369,46.0972,5.171215,0.7559426,4.923852,10.613588,2.742068,0.87095153,3.2465887,0.9957993,0.53320295,0.5560913
