,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
Grap,0.22792342,-0.24737181,0.2248291,-0.5010435,-0.46966377,0.7818629,-0.68482447,-0.06321568,0.008883789,-0.14087072,0.05785819,-0.008886119,-0.07513478,0.026749164,-0.68099505
Ulk2,0.44824436,0.2482613,0.1129501,-0.8434146,-1.0720521,-0.14787011,-1.3911629,0.14843652,0.265027,-0.93825877,0.029314537,0.010011973,-0.89385414,0.36385414,-0.3306801
Akap10,-0.18330234,0.49424422,0.49473217,0.34014115,-0.23945165,-0.33314747,-0.2373187,-0.44726965,-0.19677618,-0.003526707,-0.3249718,-0.00806175,-1.2032907,0.2815195,0.48203176
Map2k4,0.3125926,0.5220806,0.21035753,0.27754536,-1.1902999,-0.75719756,-0.10957572,-0.08268005,-0.084269345,0.031561766,-0.08484293,0.000661541,-0.41039896,-0.025850805,0.6530869
Ntn1,0.34289235,0.35231295,0.32822576,-0.16232592,-0.5877374,-0.6867378,-1.0924917,0.2643639,0.09776549,-0.91649806,-1.1322087,-0.022432467,0.55000514,0.08314343,0.7298484
Stx8,-1.0204753,0.83675253,0.40615055,0.10230001,-0.74634707,0.31310156,0.8175181,-0.17334943,-0.2734396,0.118007384,0.42036018,-0.07228804,-0.3603213,0.17433782,0.5955419
Ndel1,0.84798634,-0.110771194,-0.48792955,-0.7907372,-0.8597121,-0.22369145,0.12217976,0.2298365,0.09376629,-0.06836647,-0.048093304,0.005131875,-0.36063066,-0.29170203,-0.10711118
Pik3r5,-0.22088367,0.45000872,-0.18838729,-0.31178042,0.17954327,0.5071564,0.08589618,-0.6637815,-0.08799808,-0.59201545,0.2726622,0.0048396615,0.05864224,0.06926309,-0.705863
Chd3,-0.61096406,0.16902453,-0.40874937,0.2824267,0.4220103,0.95095,-0.72865915,-0.36233616,-0.6562851,0.36553144,0.2456803,-0.034213427,0.8317106,-0.4146511,0.21500738
Naa38,0.8626137,-1.2753493,-0.89786667,-1.4181455,0.3517165,0.017982299,-0.817916,0.39810044,0.6787106,0.24918427,0.16842116,0.007323958,-0.61932385,-0.95610255,-1.3252484
Kdm6b,0.10425782,0.60836875,-0.22244343,0.38677347,-1.4914995,0.19687654,-0.6443146,-0.4899443,-0.020833107,-1.1713369,0.60556984,0.02005728,0.34751067,0.04761488,-0.41317654
