,Shared topic 1,Shared topic 2,Shared topic 7
Tor1b,0.037679333,0.007376842,0.04610166
BC005624,0.04426972,0.07321549,-0.037243944
Usp20,-0.02599436,-0.03568542,0.053568937
Fam78a,-0.15573464,-0.035281606,0.36202037
Prrc2b,0.042714227,-0.12430069,-0.040944807
Uck1,-0.12020464,0.121905215,0.12622307
Swi5,-0.00021001883,0.00944718,-0.065868326
Ciz1,-0.009014745,-0.022412805,-0.008700896
1110008P14Rik,0.031744227,-0.017260525,-0.12504059
Dpm2,-0.03611455,0.05073739,-0.010960381
St6galnac4,0.05709651,-0.07164688,-0.08045919
Eng,-0.015083905,0.022621345,0.03020804
Sh2d3c,0.07682441,-0.12587228,-0.09487317
Zbtb43,-0.045122366,0.0037683933,0.02228351
Mvb12b,0.17183493,-0.2081229,-0.011471535
Fbxw2,0.00021306332,-0.036112268,-0.051595706
Traf1,-0.023026083,-0.040983938,0.06729032
Stom,0.2541897,-0.17154364,-0.14069092
Ndufa8,-0.11850493,0.11217313,0.07405188
Rc3h2,0.04023859,-0.021783978,0.045645725
Zbtb26,-0.079413734,0.07109465,0.031040791
Psmb7,-0.3611871,0.26886624,0.25748134
Arpc5l,0.0428045,-0.0508833,-0.14083
Mbd5,0.011164146,-0.068786606,0.07703287
Nmi,-0.11331735,0.13022842,0.19197959
Rif1,-0.043534607,0.032277152,-0.039448418
Stam2,0.02266125,-0.040637836,0.033813983
Arl6ip6,0.0073453886,-0.061417997,0.0032424012
Gpd2,0.01577125,0.020573495,-0.09802038
Cytip,-0.008191236,-0.034376338,0.02221642
Pkp4,0.17747226,-0.08898737,-0.19260505
Ly75,-0.081505954,0.05734255,0.110737175
Dpp4,0.01446928,-0.039860405,-0.0024101022
Cobll1,0.05178661,0.03206864,-0.11596248
Galnt3,0.14995696,-0.12771794,-0.13294692
Spc25,0.018820755,-0.10669832,-0.05388887
Ppig,-0.038506076,0.059497323,0.05863438
Ssb,-0.071551576,0.07899817,0.009804146
Mettl8,-0.02640918,0.07360858,0.07737057
Slc25a12,0.0010660402,-0.050464317,0.101535805
Metap1d,-0.3112254,0.27283165,0.13555944
Pdk1,0.02705876,-0.0578612,0.028555071
Wipf1,-0.038092148,0.05143501,0.047593933
Atp5g3,-0.05995693,0.13452369,0.035223328
Agps,-0.009802718,0.04910178,-0.0101133045
Prkra,0.13144746,-0.16283101,-0.1773929
Plekha3,0.00949479,-0.014068533,-0.03665482
Ube2e3,0.035349675,-0.037667975,-0.0040636626
Calcrl,-0.094908774,0.0632942,0.025898263
Zdhhc5,-0.058586065,0.118835896,0.04572181
Ypel4,0.62211335,-0.35598272,-0.29953727
Serping1,-0.103772596,0.12495252,0.19008377
Timm10,-0.02960988,0.09153158,0.003882135
Slc43a1,0.83711815,-0.5501237,-0.3473805
Ssrp1,0.043165684,-0.051468033,-0.0512884
Ptprj,-0.043705735,0.16952232,-0.059813797
Mtch2,0.042041328,-0.015093039,0.02655818
Ndufs3,0.009907524,0.01063281,-0.059521385
Ptpmt1,-0.06493257,0.046882533,0.02540973
Slc39a13,-0.014473244,0.03935912,-0.022417353
Spi1,-0.1425722,0.22687048,0.04660407
Ddb2,-0.08591463,0.08757766,-0.054017108
Arhgap1,-0.012309135,-0.014218436,0.033390854
Atg13,-0.049494665,0.055902656,0.07009662
Mdk,-0.10134732,0.08180608,0.22306934
Phf21a,-0.037403215,0.07105602,0.04100034
Slc35c1,-0.013957777,-0.062274918,-0.031079581
Trp53i11,-0.1804828,0.27412045,0.010477234
Alkbh3,-0.06093602,0.033168733,0.047879737
Trim44,-0.0061521037,0.046163417,0.059433945
Caprin1,-0.088472076,0.11538608,0.016121253
Hipk3,-0.029037215,-0.0028453767,-0.02609632
Eif3m,-0.014866122,-0.055867046,-0.086452864
Rcn1,0.08318351,-0.12482815,-0.08870015
Nop10,0.017283203,0.04084113,-0.01902439
Emc7,-0.06525849,0.069366306,0.090043016
Aven,-0.023423253,-0.013973679,0.080407
Aqr,-0.043190926,0.07664838,-0.031100165
Spred1,-0.04123638,0.025227178,0.08009801
Fam98b,-0.021413416,0.03477224,-0.0020920476
Eif2ak4,-0.030833967,0.045181487,-0.022186944
Bub1b,0.051791858,-0.037914097,-0.12723023
Ivd,0.021537129,0.017844833,-0.036491018
Mga,0.0012438335,-0.02566596,-0.040045068
Ehd4,0.022065781,-0.00806136,-0.053434517
Tmem87a,0.054340195,-0.07459585,0.0015159986
Ganc,-0.05252423,0.15154062,-0.07531774
Snap23,-0.021852855,0.13564405,0.10704144
Tmem62,-0.04962953,0.034433626,0.0057998993
Pdia3,-0.027316928,0.018862722,0.023699764
Mfap1a,-0.037937615,-0.038929816,0.038378015
Ctdspl2,-0.0067885797,0.024724506,-0.08690941
B2m,0.20445088,-0.222769,-0.11263176
Bloc1s6,-0.05308406,0.06873451,0.109977484
Cops2,-0.014179062,0.01691507,0.07227843
Galk2,-0.04673136,0.008326506,0.16237462
Snrnp200,-0.009588035,0.03646308,-0.06340187
Tmem127,-0.071536176,0.134805,0.036487635
Mtln,-0.078214906,0.07154516,0.18294424
Anapc1,-0.023238618,0.018504288,-0.04022701
Chchd5,-0.020692281,0.057907328,-0.04949637
Stk35,0.059548944,-0.0969419,-0.0060796915
Nop56,-0.24929008,0.28569716,0.07836055
Cpxm1,-0.17642388,-0.010027425,0.2831476
Vps16,-0.0027042143,0.02675125,-0.029531768
Mrps26,-0.03569469,-0.03556861,-0.011014732
Itpa,0.04557009,0.03339165,-0.09399662
Cenpb,-0.07952683,0.122755095,-0.011726472
Ap5s1,0.01201335,-0.10335116,-0.019267725
Smox,0.23350273,-0.22753367,-0.047106482
Rassf2,-0.0110462215,0.01792178,0.004382312
Slc23a2,0.05581619,-0.03322348,-0.08201051
Tmem230,0.0016212724,-0.07546787,0.06598314
Pcna,0.012329807,-0.032994293,0.08612588
Cds2,0.0010388233,0.004538657,-0.012105785
Shld1,0.052294947,-0.019894408,-0.04889122
Trmt6,0.007606185,0.032073513,-0.061113738
Crls1,-0.011868123,0.069849275,-0.06132624
Esf1,0.020369273,-0.027968079,0.030441016
Sec23b,-0.013787382,0.026585154,-0.020031594
Dtd1,-0.1477125,0.14838946,0.127371
Thbd,0.057841033,0.008600717,-0.0043222266
Cst3,0.13106334,-0.24708894,-0.0007173841
Zfp120,-0.016481891,-0.024389513,-0.0147505095
Acss1,0.020065106,0.006548457,-0.012772708
Entpd6,-0.05474594,0.13380055,0.06688032
Fkbp1a,0.00041474123,-0.032455865,0.07526178
Psmf1,0.023951204,0.023924222,0.10073557
Csnk2a1,-0.033782985,0.04258421,-0.011433764
H13,0.0050209104,-0.09104133,-0.059997763
Pdrg1,-0.06039503,0.103442,0.09177239
Mapre1,0.031157091,-0.061273467,-0.10120352
Raly,-0.1380109,0.150823,0.18189548
Eif2s2,-0.20768383,0.18585633,0.07833879
Dynlrb1,-0.019564122,-0.024514865,-0.013386706
Map1lc3a,0.026436111,-0.06910177,0.06984323
Trp53inp2,-0.01973101,0.048569575,-0.0036523975
Trpc4ap,-0.014732011,0.037596524,0.020824233
Uqcc1,-0.1088987,0.119314454,-0.011583008
Cep250,-0.033013362,0.032009337,-0.0736613
Nfs1,0.03898622,-0.0034568142,0.017013315
Romo1,-0.075736,0.09108069,0.023703182
Scand1,0.03076214,-0.04527164,-0.061087947
2900097C17Rik,0.013238941,-0.0729022,-0.09513428
Myl9,0.04944206,-0.07650216,-0.009094716
Samhd1,0.047310397,-0.014937797,-0.050296307
Manbal,-0.009266741,-0.0003068745,-0.03920808
Src,-0.014424926,-0.028117005,0.04977661
Blcap,0.01909957,-0.049303904,-0.08737184
Ralgapb,0.02234393,0.091614544,-0.056453604
Plcg1,-0.025082937,-0.016609102,0.15213162
Ift52,-0.034750618,0.03830491,-0.032456268
Ywhab,-0.14813304,0.10780147,0.16420099
Stk4,-0.057874598,0.039262976,0.14794405
Slpi,0.4571719,-0.32892585,-0.081053525
Sdc4,0.012043147,0.04201583,-0.04091582
Sys1,0.0031021703,-0.041825514,0.022270437
Pigt,0.061626535,0.019098764,-0.074096344
Dnttip1,0.06155514,-0.1124981,-0.057981957
Ube2c,0.79586506,-0.4937349,-0.3130725
Pltp,-0.121384785,0.009768864,0.2639987
Cd40,-0.017469961,0.039949596,-0.10161958
Elmo2,-0.039789263,0.03175483,0.052629076
Prex1,-0.04505105,0.05637917,0.100449905
Cse1l,-0.016759105,0.015600294,-0.0477056
Spata2,-0.04235515,0.0806966,0.060605112
Tmem189,-0.018104143,0.095313236,0.02525702
Cebpb,0.015870208,-0.09506888,-0.057688322
Ptpn1,-0.09262425,0.08956133,0.07524583
Dpm1,0.009144358,-0.08631781,-0.06439762
Mocs3,-0.0068722367,0.039794,-0.05683749
Zfp64,0.00056319125,-0.070387095,0.086967
Cstf1,0.014746781,-0.041372474,-0.08697602
Pmepa1,-0.024744079,-0.020881109,0.11758841
Npepl1,-0.051359322,0.024500487,0.03315908
Gnas,-0.2540919,0.25116837,0.22525437
Atp5e,0.07223256,-0.12243801,-0.11851235
Lsm14b,-0.034362696,0.00012168195,0.118072934
Psma7,-0.040991466,-0.005355985,0.15506062
Cables2,0.12635563,-0.1422967,-0.00555914
Mrgbp,-0.020185033,-0.03165235,0.09039056
Ppdpf,-0.14708176,0.25570756,0.10640519
Dnajc5,-0.020301228,0.021991778,-0.075285584
Uckl1,-0.019933462,-0.03555173,0.07845953
Prpf6,-0.038964435,0.005716031,0.09932211
Sox18,0.2572624,-0.2253683,-0.21838097
Pcmtd2,0.007442859,0.043658286,-0.059301052
Pag1,-0.062435053,0.09742956,-0.0049395408
Fabp5,0.023518424,-0.119363844,0.119128585
Impa1,-0.019170253,0.08702363,-0.062053423
Car2,0.8918785,-0.5728722,-0.34038797
Pde7a,-0.092354886,0.07648326,-0.030233074
Cp,-0.13664658,0.1799637,0.030501576
Hps3,0.022786345,0.0034734812,-0.19472845
Skil,-0.017834827,0.034208164,0.021408709
Gnb4,0.02474375,-0.15011291,0.08755624
Actl6a,-0.042724997,0.087637365,0.02262742
Ndufb5,0.030544145,-0.06996179,-0.03969002
Atp11b,-0.09406867,0.096138805,0.13961981
Anxa5,-0.05143553,0.05663787,-0.0001879433
4932438A13Rik,0.0011555273,-0.029513266,0.08823951
Il2,0.08660153,-0.02903072,-0.16863565
Pgrmc2,0.037887268,-0.0248806,-0.0057504633
Slc7a11,-0.26405397,0.28748882,0.07567278
Ndufc1,0.006281888,-0.023512434,-0.050455935
Naa15,0.022463653,-0.09310756,-0.03494572
Rab33b,0.06493533,-0.08394185,-0.07805434
Foxo1,-0.03320892,0.0010231305,0.029038709
Cog6,0.056859147,-0.03870129,-0.097928636
Dclk1,-0.08556126,0.037890844,0.046628833
Tm4sf1,0.03529187,-0.116066776,0.002942675
Rnf13,-0.011892583,0.04676082,0.011296107
Siah2,-0.087586656,0.115726784,-0.0383533
Gpr171,-0.11374292,0.13908133,0.008315137
Ssr3,-0.04615619,-0.019377735,0.019524664
Ccnl1,0.018493485,-0.040281173,-0.007158614
Mfsd1,-0.08064881,0.041166533,0.120165855
Il12a,-0.040044,0.17342886,-0.055200666
Ift80,-0.0765876,-0.0753393,0.19925451
Kpna4,-0.0453064,-0.02382198,0.06958274
Pdcd10,-0.109762415,0.078258485,0.07422847
Lrat,-0.04778261,0.16952617,0.06307004
Arfip1,0.044671133,-0.10257424,-0.093110606
Tmem154,-0.091600284,0.10832645,0.022717407
Etv3,0.005221463,-0.044838008,0.0432534
Arhgef11,0.032615103,-0.01505386,-0.091289334
Sh2d2a,-0.017206375,-0.043721177,0.091507815
Mrpl24,-0.032531682,0.02101247,0.09527964
Isg20l2,-0.020629123,0.033434182,-0.03644304
Gpatch4,-0.042924367,0.07458689,0.011459303
Cct3,-0.10591254,0.16618502,0.026134327
Smg5,0.013097528,0.05057538,-0.04470407
Pmf1,0.008032853,0.07585053,-0.05514686
Ssr2,-0.027395474,-0.040934335,0.035694897
Syt11,-0.057498574,0.13890931,0.11475732
Ash1l,-0.07142462,0.08694263,0.004852773
Clk2,0.00024837488,0.020762518,-0.022188885
Gba,-0.0633678,0.011313055,-0.070906766
Dpm3,-0.034194626,0.029731628,0.1515359
Zbtb7b,-0.15848497,0.13631232,0.1298836
Cks1b,0.13008603,-0.16689187,-0.10938134
Pmvk,-0.040584795,0.06314523,-0.038536698
Hax1,-0.041885376,0.06077595,0.023352586
4933434E20Rik,-0.08683537,0.10565157,0.052309636
1700094D03Rik,-0.012793646,0.070742995,-0.014184562
Tpm3,-0.017517574,0.048963808,-0.05742006
Dennd4b,0.081260495,-0.096786216,-0.064974084
Ilf2,0.008029614,-0.037840202,0.002598954
Snapin,-0.010085936,0.036909256,0.031506848
S100a16,0.0016134102,0.013148229,-0.04701286
S100a4,-0.15214914,-0.023204323,0.29344487
S100a6,-0.0112736635,-0.023521561,-0.016197626
S100a9,0.13922241,-0.08047371,-0.08922647
S100a11,-0.14135516,0.05859359,0.2016294
S100a10,0.111580566,-0.05476981,0.04478487
Mrpl9,-0.1812219,0.25432965,0.21263956
Psmd4,0.030262783,-0.065249555,-0.08490828
Pip5k1a,0.12933594,-0.10622436,-0.03615123
Scnm1,-0.0843074,-0.040674374,0.09548086
Setdb1,-0.09138555,0.029610116,0.12920555
Ctss,-0.012420787,0.01719985,-0.04698927
Ensa,0.07898777,-0.07044908,-0.089597784
Ecm1,-0.014504973,-0.036893025,-0.046983134
Tars2,0.031027127,-0.030506352,-0.06882115
Mrps21,-0.030198049,-0.00026456825,0.03982091
BC028528,-0.15248993,0.2766788,-0.02247551
Plekho1,-0.09145327,0.12203973,0.042981636
Rbm8a,-0.044870447,-0.022885378,-0.0061829085
Polr3c,-0.072756454,0.04183101,0.13209143
Pde4dip,0.074390404,-0.05321758,-0.08215282
Tent5c,0.7847668,-0.5046065,-0.31454006
Ttf2,0.10347672,-0.09157047,-0.011871122
Cd2,-0.037542023,-0.072202966,0.07035323
Atp1a1,0.07469461,-0.11413766,-0.085076936
Nras,0.007946068,-0.047065727,-0.012839056
Bcas2,0.06647168,-0.01619143,-0.12513565
Ptpn22,-0.045751818,0.06938609,0.024285465
Slc16a1,0.3760774,-0.23103358,-0.1064622
Rhoc,0.0073378645,-0.04089963,0.028062815
Atp5f1,-0.046023373,0.10862426,0.01914798
Cept1,0.0037274584,0.108732924,-0.04356626
Cd53,0.005241808,-0.020783143,-0.02840579
AI504432,-0.031567752,0.04228793,0.15838075
Strip1,-0.08426786,0.043073647,0.0633972
Ahcyl1,-0.024967592,-0.009225481,0.15997411
Gstm2,-0.0291164,0.13575295,-0.044320893
Ampd2,0.012453075,-0.008123727,-0.017047135
Gnai3,0.029042128,-0.016942646,-0.06953999
Psma5,-0.18503937,0.24333511,0.07054204
Sars,0.037011337,-0.0455481,-0.04016599
Clcc1,-0.059591036,0.02875667,0.05802952
Vav3,-0.005782753,0.0123983305,-0.018976795
Slc30a7,0.025751654,-0.048686825,-0.008141669
Cdc14a,0.0023984853,-0.036265653,-0.0863561
Gclm,0.09469421,-0.10608381,-0.03642766
Dnttip2,-0.06172777,0.013838008,-0.018716987
Gm4610,-0.10671027,0.1520885,-0.07420414
1810037I17Rik,0.02604783,-0.107568264,-0.0047887107
Synpo2,0.029966129,-0.07588267,0.04318738
