,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Crhbp,-0.23746225,-0.22074468,-0.81889147,1.195987,-0.529111,0.051264256,-1.4685949,-0.9665775,1.3917528,0.5654839,0.58200896,-0.707965,-0.15480995,-0.84976393,-0.82285017,-0.17487444,-1.1487303,1.5040723,-0.8573627
Iqgap2,0.30148998,-1.2657633,-1.1175122,0.5331578,-0.2848778,-1.6956254,1.0610211,0.47811857,-0.89291775,-0.5337849,-1.0545838,0.38116926,-2.00251,0.23671518,0.3127248,0.97938293,0.839255,-0.60768574,-0.747379
Sv2c,-0.9533356,0.497967,-0.22671552,-2.6035962,-0.82087225,-1.0370618,1.1468519,1.130476,-1.4335688,-0.8563144,-1.3163211,0.86599797,-0.03299226,0.8111103,0.6567794,-0.5002586,0.83606935,0.4224221,-1.5552033
Poc5,-0.0060131783,-0.0024559302,-1.2168864,0.0041013835,-0.21591899,-0.5888965,0.31677482,0.0022623022,-0.12232936,-0.034971867,-0.16474982,0.31828073,-0.3617661,0.027245704,-0.013663073,0.00720268,0.004778598,0.11693425,-0.009798834
Col4a3bp,0.18337162,0.50759095,-0.24092063,-0.013792834,-0.3826383,-0.49257183,-0.108514495,-0.22090246,0.22522777,0.12350919,-0.5655209,0.17072015,-0.5681868,-0.17252013,-0.2598773,0.13434698,-0.20343822,0.6373523,-0.031369824
Hmgcr,0.41341567,-0.37886438,-0.038298167,0.14999567,-0.47356135,0.522429,0.098695524,-0.41559297,-0.14387776,0.6158086,-0.16560192,0.10605179,-0.29184684,-0.3848526,-0.14782222,0.015758933,-0.24710423,-0.10326344,-0.5009028
Fam169a,0.2978391,0.62420654,-0.6886581,0.9190822,-0.77234477,-1.1285243,-0.22079803,-0.7592627,0.22879083,-0.50316405,-1.0638869,0.17277312,-0.6464934,-0.52916104,-0.5002587,0.676509,-0.3109406,0.61702937,0.32683653
Hexb,-0.13091378,-0.01519796,0.4372013,-1.210869,0.26421905,0.6183324,-0.18543394,0.14533673,0.25605366,-0.7436857,0.6940261,-0.3222615,0.46968058,-0.20188925,0.7222499,-0.21029738,-0.053978,-0.3646531,-0.8036236
Arhgef28,0.24022003,0.33328757,0.19866824,1.0742204,0.050486974,0.7677611,-1.4590056,-1.2535546,-0.7769267,0.60897374,0.35973856,0.034795616,0.23613691,-0.8362224,0.06803262,-0.8280168,-1.0553787,-0.8430172,-0.9773471
Utp15,0.09905492,-0.19910541,-0.14167674,0.023608275,-0.13814345,-0.6043621,0.37937045,-0.042996053,-0.4117926,-0.05467588,-0.33309808,-0.007351754,-0.25428292,0.031410325,-0.076078944,-0.002345337,-0.013214715,-0.038227834,0.020295905
Fcho2,-0.014823775,-0.120006524,0.10087925,-0.043043286,0.21638964,0.26168936,-0.25012442,0.12922208,0.06763011,-0.17659277,0.108427905,-0.11012511,0.05900307,0.045803696,0.0093318205,0.005757185,-0.011528351,-0.02065945,0.006196432
Ptcd2,0.034215447,0.28359932,0.35428515,0.00056902727,-0.45480174,-0.24022329,0.17005362,-0.4555022,-0.48307955,-0.02240427,-0.040325798,-0.06843036,-0.031016046,-0.05657629,-0.024457831,-0.026458751,-0.010843295,0.57780915,-0.06590126
Mrps27,0.53746754,0.08584181,-0.3216933,0.108577415,-0.44246182,-0.13151094,-0.4056346,0.32497668,-1.146086,-0.06779585,-1.1695188,-0.6107171,0.34120598,-0.152039,0.25896528,-0.16438065,-0.14491263,0.052013617,-0.14848155
Cartpt,-1.3934759,1.0275917,-0.38108426,-1.0027139,0.28821585,-0.7614929,0.47770718,0.29648566,-0.057077676,-1.043119,-0.0990392,1.9800447,0.044714015,-1.0898483,-1.2812047,-1.1207786,-0.8669014,-0.20499395,0.31203374
Mccc2,-0.47542134,0.11562023,-0.5666466,-0.15954465,0.22069785,-0.1315099,0.6238259,0.7200854,-0.8452756,-0.3254318,-0.96323663,0.3387178,-0.9420648,0.42162934,-0.30866927,-0.14268301,0.021970408,0.52036244,0.016909575
Smn1,0.022099284,-0.011907613,-0.05579884,-0.005585413,-0.053925235,-0.2696621,0.24893536,-0.033527218,0.14350174,-0.014782429,-0.3102746,0.012594199,-0.025748374,-0.01711343,-0.055221513,-0.009506098,0.0041290503,-0.05737069,0.0013875565
Rad17,-0.13692787,-0.054983225,0.10016297,-0.020450223,0.5157944,-0.026226653,0.41838324,0.11965367,-0.3431604,-0.1774824,-0.161344,0.32730165,-0.25921655,0.13764675,-0.054708946,-0.25145152,-0.018709749,-0.20179918,-0.03580114
Mrps36,-0.017434703,0.14146371,0.44574627,-0.008749574,-0.78595513,0.202948,-0.31501836,-0.8835031,0.42171672,-0.62760276,0.7297561,0.31795505,0.15246014,-0.854437,-0.17240068,0.3610012,-0.5201521,0.58528316,-0.100426845
Nln,0.22268856,0.017586872,-0.7234186,0.41258472,0.11635638,-0.71317065,0.040792264,-0.43322945,-0.06497023,0.4354277,-0.78371245,-0.3231682,-0.5791918,-0.4139624,-0.5878701,-0.18669306,-0.037157882,0.42311135,0.11802332
Sgtb,0.49053636,-0.4034412,-0.46591282,0.3423987,-0.9155548,-1.3420078,0.0648855,0.054854568,0.45604005,0.3960874,-0.4089335,-0.8606814,-0.41372275,0.2972731,-0.32078433,0.54598945,-0.21861278,-0.018527891,0.2530742
Trappc13,-0.10139003,-0.25994077,0.39549428,0.019548202,-0.5301909,0.29190916,-0.09413589,0.17335422,-0.65125775,-0.11035381,0.061940268,-0.083237916,-0.20417638,0.18450323,0.049782716,-0.040706757,-0.039793137,0.21046156,-0.047398366
